,Equipe,# J,90s,SCA,SCA90,Passe em jogo,Passe de bola parada,TO,TC,FltsP,Def,GCA,GCA90,Passe em jogo,Passe de bola parada,TO,TC,FltsP,Def
0,Ath Paranaense,41,38.0,765,2013,564,71,42,40,39,9,68,179,49,3,10,5,1,0
1,Atl Goianiense,35,38.0,801,2108,572,75,51,36,54,13,72,189,47,6,7,7,3,2
2,Atlético Mineiro,34,38.0,1103,2903,830,68,58,74,54,19,106,279,77,4,6,8,9,2
3,Bahia,39,38.0,903,2376,636,79,63,59,55,11,88,232,59,5,9,9,6,0
4,Botafogo (RJ),45,38.0,903,2376,654,87,37,56,59,10,49,129,31,1,3,9,3,2
5,Ceará,34,38.0,780,2053,530,76,62,48,43,21,89,234,58,7,9,6,8,1
6,Corinthians,36,38.0,819,2155,607,68,41,47,41,15,75,197,49,7,7,8,4,0
7,Coritiba,47,38.0,696,1832,530,53,34,30,37,12,54,142,42,2,3,2,5,0
8,Flamengo,38,38.0,1018,2679,750,81,63,55,57,12,115,303,78,9,11,9,8,0
9,Fluminense,37,38.0,766,2016,513,89,43,54,55,12,91,239,57,9,5,10,9,1
10,Fortaleza,31,38.0,734,1932,513,74,56,31,51,9,57,150,39,3,3,6,6,0
11,Goiás,49,38.0,732,1926,488,84,36,49,63,12,61,161,37,4,3,10,6,1
12,Grêmio,37,38.0,951,2503,683,80,63,34,79,12,93,245,66,7,4,4,11,1
13,Internacional,39,38.0,768,2021,547,73,42,53,42,11,90,237,56,10,5,11,7,1
14,Palmeiras,36,38.0,904,2379,660,74,48,69,39,14,77,203,53,3,3,15,2,1
15,Red Bull Bragantino,35,38.0,1004,2642,761,75,49,52,52,15,77,203,54,5,5,10,3,0
16,Santos,40,38.0,752,1979,509,68,55,41,72,7,86,226,57,6,4,8,11,0
17,São Paulo,28,38.0,987,2597,757,75,33,48,63,11,95,250,66,9,5,7,7,1
18,Sport Recife,38,38.0,655,1724,446,65,32,45,60,7,55,145,38,2,2,7,6,0
19,Vasco da Gama,34,38.0,671,1766,472,62,43,37,42,15,60,158,34,5,2,11,5,3
