,Squad,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
0,Arminia,558,16.4,371,60,40,27,48,12,38,1.1,27,2,4,2,2,1
1,Augsburg,566,16.6,377,65,39,28,44,13,57,1.7,40,4,4,5,4,0
2,Bayern Munich,1040,30.6,823,67,59,55,27,9,171,5.0,134,8,13,8,7,1
3,Dortmund,879,25.8,655,61,57,46,47,13,131,3.8,99,7,11,7,5,2
4,Eint Frankfurt,806,23.7,595,81,35,43,41,11,114,3.4,75,11,5,10,11,2
5,Freiburg,666,19.6,474,73,22,47,44,6,83,2.4,55,8,3,10,6,1
6,Gladbach,779,22.9,556,77,39,53,46,8,109,3.2,70,9,3,14,13,0
7,Hertha BSC,644,18.9,447,62,47,31,44,13,68,2.0,50,3,3,5,7,0
8,Hoffenheim,768,22.6,584,63,34,35,42,10,91,2.7,62,6,9,7,7,0
9,Köln,630,18.5,444,69,33,36,43,5,56,1.6,36,5,4,7,4,0
10,Leverkusen,781,23.0,580,61,60,46,27,7,92,2.7,62,7,11,9,3,0
11,Mainz 05,628,18.5,440,68,34,31,42,13,64,1.9,42,6,2,8,6,0
12,RB Leipzig,973,28.6,731,67,47,60,55,13,104,3.1,71,4,8,10,8,3
13,Schalke 04,519,15.3,340,65,27,39,40,8,41,1.2,30,4,3,2,2,0
14,Stuttgart,805,23.7,580,73,41,49,45,17,93,2.7,63,8,6,5,9,2
15,Union Berlin,683,20.1,475,73,26,41,50,18,86,2.5,59,10,2,4,8,3
16,Werder Bremen,619,18.2,448,54,31,34,41,11,62,1.8,44,7,2,3,5,1
17,Wolfsburg,811,23.8,593,72,45,54,39,8,99,2.9,76,4,6,8,4,1
