,Squad,# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%
0,Arminia,1,52,1.5,170,118,72.4,9,8,17,11,32.4
1,Augsburg,1,54,1.6,178,126,73.0,10,6,18,7,20.6
2,Bayern Munich,2,44,1.3,127,82,66.1,24,6,4,9,26.5
3,Dortmund,2,46,1.4,136,91,70.6,20,4,10,11,32.4
4,Eint Frankfurt,2,53,1.6,156,104,68.6,16,12,6,4,11.8
5,Freiburg,2,52,1.5,175,124,72.6,12,9,13,6,17.6
6,Gladbach,2,56,1.6,151,95,66.9,13,10,11,7,20.6
7,Hertha BSC,2,52,1.5,141,89,68.1,8,11,15,9,26.5
8,Hoffenheim,2,54,1.6,145,91,66.9,11,10,13,6,17.6
9,Köln,2,60,1.8,158,97,67.1,8,9,17,5,14.7
10,Leverkusen,3,39,1.2,112,74,66.1,14,10,10,9,26.5
11,Mainz 05,2,56,1.6,162,107,69.1,10,9,15,5,14.7
12,RB Leipzig,2,32,0.9,84,52,65.5,19,8,7,15,44.1
13,Schalke 04,3,86,2.5,234,152,66.2,3,7,24,4,11.8
14,Stuttgart,2,55,1.6,166,110,69.9,12,9,13,5,14.7
15,Union Berlin,2,43,1.3,136,93,71.3,12,14,8,7,20.6
16,Werder Bremen,1,57,1.7,157,101,66.2,7,10,17,6,17.6
17,Wolfsburg,2,37,1.1,122,84,72.1,17,10,7,14,41.2
