,Squad,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Atalanta,22063,20351,1656,508,28,181,657,689,201,104,82,0,18066,56,395
1,Benevento,15318,13338,1919,685,12,95,645,658,169,52,96,0,11573,61,296
2,Bologna,18539,16629,1837,533,31,105,669,697,201,134,38,0,14683,73,346
3,Cagliari,16868,14915,1896,563,8,96,721,755,170,51,92,0,13040,57,345
4,Crotone,17229,15358,1814,600,9,99,544,619,138,72,22,0,13532,57,329
5,Fiorentina,17136,15159,1916,617,10,203,740,742,168,34,113,1,13430,61,332
6,Genoa,17948,16092,1777,519,15,146,579,703,129,43,62,0,13954,79,331
7,Hellas Verona,17419,15491,1823,551,10,102,732,711,185,64,107,0,12926,105,343
8,Inter,21624,19951,1608,450,29,152,702,651,206,64,85,0,18384,65,355
9,Juventus,23031,21302,1636,496,25,158,754,576,221,53,121,0,19839,93,326
10,Lazio,20795,19069,1639,468,25,151,744,653,189,97,63,1,16972,87,346
11,Milan,19459,17686,1681,491,20,140,688,646,213,98,78,0,15889,92,309
12,Napoli,22210,20306,1832,611,27,198,665,699,219,85,66,0,18892,72,345
13,Parma,18427,16577,1772,542,15,188,643,654,154,52,68,1,14837,78,327
14,Roma,19977,18303,1615,527,57,133,679,562,213,91,98,1,16561,59,323
15,Sampdoria,17643,15658,1923,609,7,187,787,758,199,65,96,0,13423,62,338
16,Sassuolo,23660,21905,1698,549,22,110,588,574,208,81,82,0,20368,57,320
17,Spezia,19566,17599,1885,677,16,201,602,744,150,9,98,0,15563,82,338
18,Torino,17163,15195,1909,659,23,210,740,663,171,39,110,0,13369,59,314
19,Udinese,17414,15576,1756,574,21,101,703,651,163,50,83,0,13917,82,307
