,Squad,# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%
0,Ath Paranaense,3,36,0.95,151,115,78.1,15,8,15,14,36.8
1,Atl Goianiense,2,45,1.18,154,108,74.7,12,14,12,9,23.7
2,Atlético Mineiro,3,45,1.19,139,94,69.1,20,8,10,14,36.8
3,Bahia,3,59,1.55,168,108,67.9,12,8,18,7,18.4
4,Botafogo (RJ),4,62,1.63,181,117,70.7,5,12,21,5,13.2
5,Ceará,2,51,1.34,176,125,76.7,14,10,14,11,28.9
6,Corinthians,2,45,1.18,174,130,76.4,13,12,13,14,36.8
7,Coritiba,2,54,1.42,177,123,73.4,7,10,21,9,23.7
8,Flamengo,4,48,1.26,146,100,69.2,21,8,9,9,23.7
9,Fluminense,2,42,1.11,132,91,72.0,18,10,10,11,28.9
10,Fortaleza,2,44,1.16,148,101,73.0,10,11,17,13,34.2
11,Goiás,2,63,1.66,203,141,71.4,9,10,19,10,26.3
12,Grêmio,3,40,1.05,135,95,77.8,14,17,7,11,28.9
13,Internacional,3,35,0.92,105,71,70.5,20,10,8,15,39.5
14,Palmeiras,3,37,0.97,141,106,77.3,15,13,10,12,31.6
15,Red Bull Bragantino,2,40,1.05,135,95,74.8,13,14,11,11,28.9
16,Santos,3,51,1.34,162,111,74.7,14,12,12,7,18.4
17,São Paulo,1,41,1.08,141,97,70.9,18,12,8,10,26.3
18,Sport Recife,2,50,1.32,193,147,76.7,12,6,20,10,26.3
19,Vasco da Gama,2,56,1.47,187,129,74.3,10,11,17,11,28.9
