,Squad,# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%
0,Atalanta,2,47,1.24,112,63,62.5,23,9,6,11,28.9
1,Benevento,2,75,1.97,177,107,59.9,7,12,19,7,18.4
2,Bologna,3,65,1.71,193,128,69.9,10,11,17,5,13.2
3,Cagliari,2,59,1.55,203,144,73.4,9,10,19,7,18.4
4,Crotone,3,92,2.42,216,126,59.7,6,5,27,3,7.9
5,Fiorentina,2,59,1.55,152,92,66.4,9,13,16,9,23.7
6,Genoa,3,58,1.53,188,132,72.9,10,12,16,9,23.7
7,Hellas Verona,3,48,1.26,145,99,71.0,11,12,15,7,18.4
8,Inter,3,35,0.92,118,82,74.6,28,7,3,14,36.8
9,Juventus,3,38,1.0,121,82,73.6,23,9,6,8,21.1
10,Lazio,2,55,1.45,151,98,70.2,21,5,12,12,31.6
11,Milan,2,41,1.08,133,92,71.4,24,7,7,14,36.8
12,Napoli,2,41,1.08,123,83,70.7,24,5,9,14,36.8
13,Parma,2,83,2.18,191,111,58.1,3,11,24,5,13.2
14,Roma,3,55,1.45,167,114,70.1,18,8,12,11,28.9
15,Sampdoria,2,54,1.42,174,119,73.0,15,7,16,7,18.4
16,Sassuolo,2,56,1.47,186,130,72.0,17,11,10,8,21.1
17,Spezia,3,72,1.89,178,105,64.6,9,12,17,5,13.2
18,Torino,3,69,1.82,157,88,61.8,7,16,15,8,21.1
19,Udinese,4,58,1.53,159,101,72.3,10,10,18,8,21.1
