,Squad,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Ath Paranaense,53.8,23283,2451,7332,11254,4888,605,23282,560,328,58.6,232,41.4,13968,71266,36676,578,441,120,546,307,16079,1611
1,Atl Goianiense,46.8,19665,2253,6438,8444,5044,610,19661,582,339,58.2,242,41.6,10527,61114,33605,668,416,106,491,296,11952,1412
2,Atlético Mineiro,60.6,26772,1917,6399,13407,7157,966,26759,622,364,58.5,258,41.5,16145,75715,40468,695,614,188,542,268,19124,2203
3,Bahia,46.8,20699,2078,6469,9727,4746,638,20691,638,393,61.6,245,38.4,12159,65594,34128,691,471,136,513,306,13243,1491
4,Botafogo (RJ),47.8,20990,2278,6520,9995,4729,707,20983,565,338,59.8,227,40.2,12622,66302,34436,604,490,111,522,293,13544,1422
5,Ceará,43.6,19392,2121,5826,9113,4688,636,19385,585,355,60.7,230,39.3,11018,58208,28800,574,424,140,546,306,11698,1325
6,Corinthians,49.9,22267,2209,6995,10151,5324,731,22262,556,340,61.2,216,38.8,12587,61823,32382,606,466,121,570,331,14281,1618
7,Coritiba,46.6,20951,2547,7570,9410,4212,487,20945,583,352,60.4,231,39.6,12027,63343,33208,566,450,87,543,292,13458,1272
8,Flamengo,60.3,25938,1969,6591,12030,7620,1071,25928,739,500,67.7,239,32.3,17295,89143,45963,919,728,197,553,387,18540,2151
9,Fluminense,48.7,21543,2058,6937,10255,4595,607,21535,637,395,62.0,242,38.0,12536,65819,33378,545,460,95,600,407,13863,1335
10,Fortaleza,49.8,20616,2102,6145,10224,4477,573,20608,636,418,65.7,217,34.1,12284,65889,34704,598,477,143,435,260,13860,1385
11,Goiás,42.4,18885,2480,6936,8073,4100,503,18880,543,341,62.8,202,37.2,9960,55169,28036,491,425,82,512,369,11002,1084
12,Grêmio,52.4,23774,1663,5670,12163,6205,775,23767,723,452,62.5,271,37.5,13775,72224,35686,743,591,167,518,321,16624,1579
13,Internacional,49.4,21402,1839,6054,10490,5098,665,21392,567,349,61.6,218,38.4,12152,66893,34471,663,512,117,598,324,13416,1377
14,Palmeiras,52.1,22399,2069,6850,10613,5167,610,22392,532,351,66.0,181,34.0,13845,69474,35334,609,522,104,560,278,14927,1596
15,Red Bull Bragantino,49.4,21811,1875,6346,9756,5946,776,21803,622,376,60.5,246,39.5,12610,67455,35685,730,526,184,610,322,13725,1684
16,Santos,50.7,20303,2225,7061,8991,4487,602,20290,591,359,60.7,232,39.3,11726,64175,32860,638,443,127,532,285,12817,1327
17,São Paulo,57.2,25002,2140,7226,12091,5897,724,24995,562,349,62.1,213,37.9,15653,79380,43376,701,583,101,550,337,17760,1674
18,Sport Recife,45.0,20237,2265,6592,9328,4548,562,20229,502,274,54.6,228,45.4,11044,56584,29398,569,458,84,521,314,12447,1335
19,Vasco da Gama,46.6,20722,2165,6655,9833,4480,515,20718,666,421,63.2,245,36.8,12589,69734,35351,659,551,101,538,372,13262,1279
