,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Arminia,10582,14604,72.5,214163,88686,16,23.9,25.4,-7.9,229,795,172,50,880
1,Augsburg,10257,14168,72.4,193960,77974,23,25.9,22.9,-2.9,245,691,182,56,987
2,Bayern Munich,18358,22039,83.3,327421,111389,75,55.2,69.4,19.8,461,1578,464,113,2084
3,Dortmund,18812,22396,84.0,330898,107300,57,51.2,52.4,5.8,389,1374,401,45,1745
4,Eint Frankfurt,14241,18424,77.3,253275,99451,52,44.0,46.8,8.0,361,1143,301,103,1548
5,Freiburg,12177,15960,76.3,235666,88608,34,29.5,26.6,4.5,286,858,222,85,1170
6,Gladbach,15207,18955,80.2,258868,94260,44,37.1,34.4,6.9,333,974,248,42,1371
7,Hertha BSC,12566,16169,77.7,248502,87307,29,29.1,27.9,-0.1,278,839,224,75,1176
8,Hoffenheim,14269,18046,79.1,259701,96648,38,37.4,37.5,0.6,328,1113,313,101,1517
9,Köln,11954,15870,75.3,227260,90858,23,25.5,27.1,-2.5,254,837,214,83,1131
10,Leverkusen,17887,21683,82.5,323019,109005,41,34.7,38.0,6.3,351,1252,263,75,1522
11,Mainz 05,9531,13776,69.2,176200,76432,23,34.9,33.7,-11.9,274,781,218,73,1046
12,RB Leipzig,17500,21450,81.6,292079,103411,44,43.7,51.9,0.3,418,1436,367,81,1719
13,Schalke 04,11084,14706,75.4,202831,76224,20,20.6,19.2,-0.6,217,668,182,39,943
14,Stuttgart,14115,17768,79.4,245018,95221,42,37.1,38.0,4.9,358,1063,267,53,1467
15,Union Berlin,11859,15951,74.3,222470,86090,39,33.4,31.3,5.6,296,835,193,87,1059
16,Werder Bremen,11648,15559,74.9,211793,84074,25,21.5,24.3,3.5,252,822,190,81,1065
17,Wolfsburg,13133,17236,76.2,251433,91864,48,37.7,38.8,10.3,353,1004,282,70,1397
