,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90
0,52,5,0,5,1,54.1,0.29,3.1,0.09
1,54,6,0,2,3,53.2,0.26,2.2,0.07
2,44,1,0,6,0,45.4,0.35,1.4,0.04
3,46,6,0,7,1,43.4,0.28,-1.6,-0.05
4,53,4,1,5,2,45.4,0.26,-5.6,-0.17
5,52,4,2,3,2,52.6,0.28,2.6,0.08
6,56,6,0,6,0,45.0,0.26,-11.0,-0.32
7,52,7,1,4,1,46.9,0.28,-4.1,-0.12
8,54,6,1,4,2,53.5,0.32,1.5,0.04
9,60,8,1,5,0,54.9,0.29,-5.1,-0.15
10,39,1,1,0,2,37.9,0.33,0.9,0.03
11,56,6,1,4,1,49.5,0.27,-5.5,-0.16
12,32,3,0,2,0,27.7,0.3,-4.3,-0.13
13,86,7,1,17,5,69.8,0.28,-11.2,-0.33
14,55,5,1,3,1,55.3,0.3,1.3,0.04
15,43,4,0,5,2,40.7,0.27,-0.3,-0.01
16,57,4,0,7,3,48.7,0.28,-5.3,-0.16
17,37,3,1,4,1,36.1,0.26,0.1,0.0
