,Squad,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Arminia,42.3,18394,2538,7581,7559,3417,529,18392,435,233,53.6,202,46.4,9625,46369,23235,358,224,71,557,262,10498,874
1,Augsburg,41.4,18181,2500,7266,7815,3296,496,18176,474,282,59.5,192,40.5,9465,52254,25936,431,344,79,557,321,10183,977
2,Bayern Munich,60.7,25817,1855,6669,12031,7356,1178,25807,690,437,63.3,252,36.5,15272,85823,45041,829,613,216,656,349,18243,2073
3,Dortmund,59.6,25939,2072,7088,12665,6400,1004,25932,630,400,63.5,229,36.3,15275,82267,42706,763,558,211,532,294,18713,1734
4,Eint Frankfurt,53.7,22260,2238,6633,10666,5179,784,22252,514,277,53.9,237,46.1,11914,64571,33489,664,491,154,565,312,14146,1534
5,Freiburg,47.3,19508,2360,7174,8373,4125,609,19502,423,230,54.4,193,45.6,10518,53310,26290,463,326,111,531,231,12048,1155
6,Gladbach,51.7,22732,2265,7428,11085,4422,763,22721,533,319,59.8,214,40.2,12817,63854,33959,613,415,187,548,299,15116,1363
7,Hertha BSC,49.6,19978,2070,6901,9353,3935,652,19972,571,329,57.6,242,42.4,11197,62916,31992,589,394,171,563,310,12472,1163
8,Hoffenheim,51.2,21927,2268,7085,10005,5044,741,21921,553,279,50.5,274,49.5,12424,62580,31672,581,420,136,613,280,14162,1510
9,Köln,46.3,19708,2347,7305,8641,3948,524,19702,420,238,56.7,182,43.3,10391,52262,25676,429,304,84,576,264,11840,1120
10,Leverkusen,59.7,25357,2233,7430,12821,5329,785,25354,710,426,60.0,284,40.0,14600,78526,39850,724,500,202,620,335,17759,1510
11,Mainz 05,40.7,17743,2093,6262,7633,4007,638,17738,488,268,54.9,220,45.1,8673,45474,23394,442,303,110,577,279,9456,1034
12,RB Leipzig,59.7,25102,1819,6354,12853,6087,936,25092,523,315,60.2,208,39.8,14430,72649,37531,624,530,164,546,326,17381,1703
13,Schalke 04,44.7,18697,2520,7325,8398,3172,478,18694,617,333,54.0,284,46.0,9957,52079,25372,452,336,92,592,352,11016,936
14,Stuttgart,51.5,21757,2468,7152,10263,4594,745,21749,668,413,61.8,255,38.2,11998,68676,36144,701,512,188,640,410,14042,1462
15,Union Berlin,44.9,19568,2073,6988,8984,3800,562,19561,389,206,53.0,183,47.0,9945,52102,26037,464,372,90,547,230,11751,1045
16,Werder Bremen,43.9,19371,2267,7028,9010,3529,503,19366,367,188,51.2,179,48.8,9948,49831,25337,414,293,83,521,268,11552,1054
17,Wolfsburg,51.1,21358,2083,6589,10048,4952,747,21355,483,296,61.3,186,38.5,11549,60072,30460,595,469,139,618,296,13031,1381
