,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance
0,1,Atlético Madrid,38,26,8,4,67,25,42,86,2.26,52.8,37.1,15.7,0.41,
1,2,Real Madrid,38,25,9,4,67,28,39,84,2.21,61.5,37.6,23.9,0.63,
2,3,Barcelona,38,24,7,7,85,38,47,79,2.08,73.5,40.8,32.7,0.86,
3,4,Sevilla,38,24,5,9,53,33,20,77,2.03,54.4,34.8,19.6,0.52,
4,5,Real Sociedad,38,17,11,10,59,38,21,62,1.63,60.7,39.2,21.5,0.57,
5,6,Betis,38,17,10,11,50,50,0,61,1.61,49.1,46.8,2.2,0.06,
6,7,Villarreal,38,15,13,10,60,44,16,58,1.53,56.4,42.5,13.9,0.37,253.0
7,8,Celta Vigo,38,14,11,13,55,57,-2,53,1.39,50.4,51.0,-0.6,-0.02,91.0
8,9,Granada,38,13,7,18,47,65,-18,46,1.21,41.1,56.2,-15.0,-0.4,
9,10,Athletic Club,38,11,13,14,46,42,4,46,1.21,43.1,37.7,5.4,0.14,
10,11,Osasuna,38,11,11,16,37,48,-11,44,1.16,38.7,47.8,-9.0,-0.24,
11,12,Cádiz,38,11,11,16,36,58,-22,44,1.16,34.7,55.4,-20.7,-0.54,
12,13,Valencia,38,10,13,15,50,53,-3,43,1.13,42.6,52.2,-9.6,-0.25,142.0
13,14,Levante,38,9,14,15,46,57,-11,41,1.08,40.4,53.4,-13.0,-0.34,
14,15,Getafe,38,9,11,18,28,43,-15,38,1.0,34.4,40.3,-5.9,-0.16,
15,16,Alavés,38,9,11,18,36,57,-21,38,1.0,42.6,49.9,-7.3,-0.19,
16,17,Elche,38,8,12,18,34,55,-21,36,0.95,29.9,60.9,-31.0,-0.82,185.0
17,18,Huesca,38,7,13,18,34,53,-19,34,0.89,38.9,48.4,-9.5,-0.25,
18,19,Valladolid,38,5,16,17,34,57,-23,31,0.82,40.1,52.9,-12.8,-0.34,
19,20,Eibar,38,6,12,20,29,52,-23,30,0.79,45.2,45.7,-0.5,-0.01,
