,Squad,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Arminia,14604,12895,1660,493,13,114,471,714,118,54,43,1,10582,49,274
1,Augsburg,14168,12411,1690,497,17,114,500,690,121,69,38,0,10257,67,337
2,Bayern Munich,22039,20252,1713,477,23,160,828,727,237,108,86,0,18358,74,370
3,Dortmund,22396,20771,1556,396,41,150,532,674,173,65,73,0,18812,69,316
4,Eint Frankfurt,18424,16631,1724,440,20,86,776,714,206,79,78,0,14241,69,321
5,Freiburg,15960,14251,1653,426,15,155,636,721,123,54,50,0,12177,56,338
6,Gladbach,18955,17199,1674,473,29,107,561,676,177,66,94,0,15207,82,342
7,Hertha BSC,16169,14352,1740,460,16,155,585,751,152,59,61,1,12566,77,312
8,Hoffenheim,18046,16275,1722,509,15,151,658,745,156,52,60,1,14269,49,374
9,Köln,15870,14088,1725,490,10,105,655,756,135,60,53,1,11954,57,331
10,Leverkusen,21683,19980,1631,409,17,152,674,733,184,65,75,0,17887,72,361
11,Mainz 05,13776,11989,1730,425,22,80,605,808,130,58,59,0,9531,57,339
12,RB Leipzig,21450,19713,1656,472,19,99,649,761,185,90,68,0,17500,81,338
13,Schalke 04,14706,12891,1747,486,19,123,425,715,124,46,71,0,11084,68,321
14,Stuttgart,17768,15983,1730,474,23,113,539,723,155,59,77,2,14115,55,356
15,Union Berlin,15951,14267,1600,420,15,97,640,728,140,63,70,2,11859,84,321
16,Werder Bremen,15559,13764,1727,536,11,142,548,706,116,40,61,0,11648,68,298
17,Wolfsburg,17236,15503,1656,431,20,118,643,759,176,92,48,0,13133,77,348
