,Squad,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
0,Alavés,595,15.7,375,98,24,35,50,13,59,1.6,28,10,3,5,9,4
1,Athletic Club,723,19.0,539,66,37,25,43,13,73,1.9,52,5,3,5,7,1
2,Atlético Madrid,796,21.0,585,71,55,42,35,8,120,3.2,90,7,12,3,7,1
3,Barcelona,1064,28.0,833,50,76,34,61,10,136,3.6,105,2,12,9,7,1
4,Betis,799,21.0,578,74,59,39,36,13,91,2.4,58,12,6,5,9,1
5,Cádiz,517,13.6,330,65,38,27,42,15,53,1.4,37,2,3,6,4,1
6,Celta Vigo,624,16.4,460,51,31,36,38,8,98,2.6,69,6,5,6,10,2
7,Eibar,758,20.0,503,88,49,52,51,15,48,1.3,30,3,6,4,2,3
8,Elche,460,12.1,318,60,22,25,30,5,54,1.4,35,8,3,4,3,1
9,Getafe,618,16.3,413,70,37,37,52,9,38,1.0,22,0,6,6,4,0
10,Granada,592,15.6,387,66,37,43,50,9,69,1.8,45,4,5,9,4,2
11,Huesca,719,18.9,517,71,44,34,43,10,56,1.5,41,6,2,4,1,2
12,Levante,671,17.7,519,48,36,25,29,14,80,2.1,60,4,5,4,3,4
13,Osasuna,615,16.2,441,70,31,35,30,8,61,1.6,45,4,0,6,3,3
14,Real Madrid,981,25.8,745,79,55,51,41,10,114,3.0,89,6,8,5,4,2
15,Real Sociedad,749,19.7,532,76,35,45,48,13,100,2.6,72,9,2,9,8,0
16,Sevilla,830,21.8,635,61,55,36,35,8,87,2.3,65,4,8,6,4,0
17,Valencia,687,18.1,482,58,47,34,59,7,86,2.3,58,10,5,5,8,0
18,Valladolid,652,17.2,471,50,33,31,55,12,56,1.5,36,2,3,5,9,1
19,Villarreal,742,19.5,576,46,49,27,37,7,99,2.6,69,3,12,7,7,1
