,Equipe,# J,90s,SCA,SCA90,Passe em jogo,Passe de bola parada,TO,TC,FltsP,Def,GCA,GCA90,Passe em jogo,Passe de bola parada,TO,TC,FltsP,Def
0,Alavés,30,38.0,595,1566,375,98,24,35,50,13,59,155,28,10,3,5,9,4
1,Athletic Club,27,38.0,723,1903,539,66,37,25,43,13,73,192,52,5,3,5,7,1
2,Atlético Madrid,25,38.0,796,2095,585,71,55,42,35,8,120,316,90,7,12,3,7,1
3,Barcelona,25,38.0,1064,2800,833,50,76,34,61,10,136,358,105,2,12,9,7,1
4,Betis,25,38.0,799,2103,578,74,59,39,36,13,91,239,58,12,6,5,9,1
5,Cádiz,34,38.0,517,1361,330,65,38,27,42,15,53,139,37,2,3,6,4,1
6,Celta Vigo,30,38.0,624,1642,460,51,31,36,38,8,98,258,69,6,5,6,10,2
7,Eibar,30,38.0,758,1995,503,88,49,52,51,15,48,126,30,3,6,4,2,3
8,Elche,30,38.0,460,1211,318,60,22,25,30,5,54,142,35,8,3,4,3,1
9,Getafe,31,38.0,618,1626,413,70,37,37,52,9,38,100,22,0,6,6,4,0
10,Granada,34,38.0,592,1558,387,66,37,43,50,9,69,182,45,4,5,9,4,2
11,Huesca,27,38.0,719,1892,517,71,44,34,43,10,56,147,41,6,2,4,1,2
12,Levante,29,38.0,671,1766,519,48,36,25,29,14,80,211,60,4,5,4,3,4
13,Osasuna,28,38.0,615,1618,441,70,31,35,30,8,61,161,45,4,0,6,3,3
14,Real Madrid,30,38.0,981,2582,745,79,55,51,41,10,114,300,89,6,8,5,4,2
15,Real Sociedad,30,38.0,749,1971,532,76,35,45,48,13,100,263,72,9,2,9,8,0
16,Sevilla,26,38.0,830,2184,635,61,55,36,35,8,87,229,65,4,8,6,4,0
17,Valencia,30,38.0,687,1808,482,58,47,34,59,7,86,226,58,10,5,5,8,0
18,Valladolid,32,38.0,652,1716,471,50,33,31,55,12,56,147,36,2,3,5,9,1
19,Villarreal,29,38.0,742,1953,576,46,49,27,37,7,99,261,69,3,12,7,7,1
