,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance
0,1,Milan,38,26,8,4,69,31,38,86,2.26,59.7,35.9,23.8,0.63,44015
1,2,Inter,38,25,9,4,84,32,52,84,2.21,81.6,39.1,42.5,1.12,44473
2,3,Napoli,38,24,7,7,74,31,43,79,2.08,57.8,32.5,25.3,0.67,28119
3,4,Juventus,38,20,10,8,57,37,20,70,1.84,51.4,38.1,13.4,0.35,22621
4,5,Lazio,38,18,10,10,77,58,19,64,1.68,55.3,47.7,7.6,0.2,23263
5,6,Roma,38,18,9,11,59,43,16,63,1.66,65.1,38.4,26.8,0.7,41929
6,7,Fiorentina,38,19,5,14,59,51,8,62,1.63,60.0,40.6,19.4,0.51,21107
7,8,Atalanta,38,16,11,11,65,48,17,59,1.55,62.4,45.3,17.2,0.45,10447
8,9,Hellas Verona,38,14,11,13,65,59,6,53,1.39,50.4,49.0,1.4,0.04,13894
9,10,Torino,38,13,11,14,46,41,5,50,1.32,48.7,38.9,9.8,0.26,9846
10,11,Sassuolo,38,13,11,14,64,66,-2,50,1.32,55.7,66.4,-10.7,-0.28,8362
11,12,Udinese,38,11,14,13,61,58,3,47,1.24,51.3,52.4,-1.0,-0.03,12144
12,13,Bologna,38,12,10,16,44,55,-11,46,1.21,44.9,52.6,-7.7,-0.2,14158
13,14,Empoli,38,10,11,17,50,70,-20,41,1.08,44.9,66.0,-21.2,-0.56,6356
14,15,Sampdoria,38,10,6,22,46,63,-17,36,0.95,36.7,56.1,-19.3,-0.51,9417
15,16,Spezia,38,10,6,22,41,71,-30,36,0.95,40.1,64.4,-24.3,-0.64,6709
16,17,Salernitana,38,7,10,21,33,78,-45,31,0.82,36.5,65.2,-28.7,-0.76,15073
17,18,Cagliari,38,6,12,20,34,68,-34,30,0.79,39.0,61.0,-21.9,-0.58,9718
18,19,Genoa,38,4,16,18,27,60,-33,28,0.74,37.2,54.1,-16.9,-0.44,12326
19,20,Venezia,38,6,9,23,34,69,-35,27,0.71,36.5,71.8,-35.3,-0.93,6648
