,Squad,# Pl,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90
0,América (MG),2,37,3,1,1,0,42.9,0.25,5.9,0.16
1,Ath Paranaense,2,45,5,0,6,2,42.1,0.26,-0.9,-0.02
2,Atl Goianiense,3,36,4,0,2,1,38.1,0.21,3.1,0.08
3,Atlético Mineiro,2,34,3,1,7,2,33.6,0.26,1.6,0.04
4,Bahia,3,51,9,2,6,0,47.1,0.25,-3.9,-0.1
5,Ceará,3,38,3,1,6,1,42.7,0.28,5.7,0.15
6,Chapecoense,3,67,8,0,8,1,59.6,0.26,-6.4,-0.17
7,Corinthians,2,36,3,1,3,0,37.8,0.23,1.8,0.05
8,Cuiabá,2,37,1,1,4,0,39.8,0.25,2.8,0.07
9,Flamengo,3,36,0,0,4,0,38.8,0.27,2.8,0.07
10,Fluminense,2,38,9,1,6,2,41.0,0.22,5.0,0.13
11,Fortaleza,2,45,7,1,4,2,44.6,0.25,1.6,0.04
12,Grêmio,3,51,4,3,3,1,47.7,0.27,-2.3,-0.06
13,Internacional,2,42,5,2,4,2,49.2,0.28,9.2,0.24
14,Juventude,2,44,4,2,6,2,39.2,0.28,-2.8,-0.07
15,Palmeiras,3,43,4,2,3,0,45.7,0.26,2.7,0.07
16,Red Bull Bragantino,2,46,3,1,4,1,48.6,0.27,3.6,0.1
17,Santos,3,40,6,0,6,1,48.9,0.26,9.9,0.26
18,São Paulo,1,39,0,1,5,1,42.2,0.28,4.2,0.11
19,Sport Recife,2,37,5,0,7,3,42.9,0.21,8.9,0.23
