,Equipe,# J,90s,SCA,SCA90,Passe em jogo,Passe de bola parada,TO,TC,FltsP,Def,GCA,GCA90,Passe em jogo,Passe de bola parada,TO,TC,FltsP,Def
0,Alavés,33,38.0,628,1653,392,88,38,46,53,11,48,126,27,6,4,5,6,0
1,Athletic Club,26,38.0,821,2161,581,94,46,42,47,11,72,189,52,9,1,2,5,3
2,Atlético Madrid,26,38.0,828,2179,593,86,56,41,40,12,111,292,86,6,5,8,3,3
3,Barcelona,38,38.0,942,2479,728,62,68,34,41,9,123,324,95,5,7,8,6,2
4,Betis,31,38.0,902,2374,670,75,55,46,41,15,94,247,65,5,10,5,8,1
5,Cádiz,33,38.0,687,1808,459,86,38,47,41,16,55,145,32,7,3,5,6,2
6,Celta Vigo,25,38.0,701,1845,540,43,25,50,34,9,70,184,52,2,3,11,1,1
7,Elche,28,38.0,592,1558,426,60,42,23,28,13,68,179,50,4,7,3,2,2
8,Espanyol,34,38.0,721,1897,521,59,47,40,41,13,67,176,45,5,4,8,3,2
9,Getafe,31,38.0,700,1842,464,85,32,40,61,18,53,139,38,7,3,2,1,2
10,Granada,32,38.0,702,1847,488,67,43,49,40,15,68,179,45,8,3,6,2,4
11,Levante,31,38.0,720,1895,486,80,48,65,28,13,79,208,55,3,5,9,6,1
12,Mallorca,33,38.0,761,2003,495,90,47,55,55,19,59,155,32,6,4,7,8,2
13,Osasuna,29,38.0,721,1897,502,85,28,49,44,13,62,163,42,7,0,7,4,2
14,Rayo Vallecano,28,38.0,862,2268,603,98,37,54,52,18,63,166,36,5,7,8,5,2
15,Real Madrid,31,38.0,1195,3145,922,68,83,56,49,17,139,366,102,2,13,11,8,3
16,Real Sociedad,32,38.0,773,2034,530,70,56,57,46,14,69,182,38,3,6,12,10,0
17,Sevilla,33,38.0,784,2063,578,78,35,35,43,15,95,250,63,9,8,7,5,3
18,Valencia,34,38.0,718,1889,479,93,45,26,64,11,83,218,53,8,7,3,11,1
19,Villarreal,29,38.0,800,2105,593,73,57,38,28,11,112,295,73,12,11,10,5,1
