,Equipe,# J,Posse,90s,Contatos,Def Pen,Terço Def,Terço Central,Terço de Ataque,Att Pen,Em jogo,Tent,Suc,Suc%,Tkld,Tkld%,Conduções,DistTot,DistPrg,PrgC,1/3,CPA,Perda de Domínio,Dis,Rec,PrgR
0,Atalanta,32,55.0,38.0,25624,1875,6739,11602,7525,1135,25618,679,372,548,307,452,14869,76829,38201,796,631,257,696,376,16998,1848
1,Bologna,36,50.6,38.0,22181,2573,7497,9928,4964,630,22176,598,326,545,272,455,11905,63323,30938,540,455,106,563,302,14304,1264
2,Cagliari,33,44.5,38.0,19878,2390,6906,8724,4452,643,19874,479,252,526,227,474,10278,51842,25151,474,393,83,572,261,11383,1078
3,Empoli,28,47.4,38.0,20894,2792,7114,8751,5240,789,20887,547,291,532,255,466,11739,64693,34764,658,438,129,584,335,12671,1465
4,Fiorentina,28,57.7,38.0,24439,2417,8057,10824,5796,923,24427,542,301,555,240,443,14623,77944,39314,755,546,184,618,275,17288,1567
5,Genoa,40,43.9,38.0,20229,2408,6913,9038,4503,696,20222,581,302,520,278,478,10185,50318,24651,517,384,133,732,373,11085,1090
6,Hellas Verona,31,50.6,38.0,21791,2173,6491,10061,5483,883,21783,590,313,531,276,468,11502,60870,30016,677,468,175,683,383,12927,1572
7,Inter,27,56.5,38.0,25692,2568,8099,11248,6574,1193,25680,471,255,541,216,459,15187,75463,39052,782,500,205,544,245,18155,1768
8,Juventus,32,51.5,38.0,23918,2492,7794,11044,5316,885,23911,637,367,576,271,425,13534,68320,34106,701,483,184,607,312,16334,1456
9,Lazio,27,55.4,38.0,26867,2495,8040,13314,5750,804,26858,610,334,548,274,449,15747,79463,41085,788,564,183,555,273,19495,1516
10,Milan,28,54.0,38.0,23507,2057,6813,10934,6067,987,23499,779,456,585,323,415,13142,77523,41919,806,583,198,627,312,15548,1468
11,Napoli,27,58.3,38.0,26604,2258,7411,13013,6400,969,26590,595,357,600,238,400,16522,80220,42230,827,571,243,525,294,19439,1658
12,Roma,29,51.4,38.0,22920,2037,7038,10754,5378,950,22911,631,331,525,299,474,12532,69249,35320,733,538,178,615,287,15103,1572
13,Salernitana,42,41.2,38.0,18655,2352,6217,8257,4416,685,18650,586,314,536,272,464,9642,51208,25814,528,429,95,616,330,10598,1021
14,Sampdoria,34,46.1,38.0,20985,2663,7609,9149,4408,639,20981,422,228,540,194,460,11438,53480,25783,467,358,79,543,270,12778,1175
15,Sassuolo,29,54.9,38.0,24369,2657,8125,11171,5330,792,24362,678,403,594,275,406,14716,79816,42134,815,598,207,601,386,16865,1499
16,Spezia,30,42.7,38.0,19686,2657,7663,8066,4175,585,19681,546,292,535,254,465,10353,53481,25772,511,390,129,649,353,11519,992
17,Torino,31,53.3,38.0,22240,1992,6337,10386,5725,744,22234,512,295,576,216,422,12481,64081,31432,628,538,156,643,286,13797,1302
18,Udinese,29,42.7,38.0,19617,2307,6580,8424,4863,847,19613,680,363,534,316,465,10325,57488,30348,669,464,205,653,334,11548,1219
19,Venezia,39,42.3,38.0,19705,2975,8135,7823,3969,548,19701,577,300,520,276,478,10506,57625,29460,540,378,103,609,313,11485,1075
