,Equipe,# J,Posse,90s,Contatos,Def Pen,Terço Def,Terço Central,Terço de Ataque,Att Pen,Em jogo,Tent,Suc,Suc%,Tkld,Tkld%,Conduções,DistTot,DistPrg,PrgC,1/3,CPA,Perda de Domínio,Dis,Rec,PrgR
0,Arminia,26,40.7,34.0,17629,2294,6755,7291,3796,556,17627,567,284,501,283,499,8495,45239,21867,405,290,102,618,307,9290,875
1,Augsburg,26,41.5,34.0,17060,2244,6480,7037,3743,606,17055,511,262,513,249,487,8178,45128,21470,441,323,94,597,298,9088,882
2,Bayern Munich,30,64.5,34.0,27678,2045,7345,13202,7367,1266,27673,832,492,591,340,409,16502,84467,44476,833,622,241,598,338,19963,2151
3,Bochum,28,44.7,34.0,17579,2362,6682,7348,3759,571,17573,443,226,510,216,488,8977,48731,23584,467,333,112,588,282,9487,921
4,Dortmund,33,59.2,34.0,24819,2177,7538,12136,5317,835,24808,636,352,553,284,447,14990,75201,36738,670,481,180,579,310,17301,1454
5,Eint Frankfurt,27,49.6,34.0,21105,2288,7030,9752,4528,675,21103,544,285,524,258,474,11595,59438,29061,609,408,153,631,294,12527,1243
6,Freiburg,26,49.0,34.0,19480,2322,6642,8357,4649,750,19474,420,226,538,194,462,9662,49455,24484,401,331,102,538,219,11501,1223
7,Gladbach,26,54.0,34.0,21886,2151,7493,10390,4173,745,21879,610,359,589,251,411,12219,58910,30071,527,348,163,573,309,14453,1287
8,Greuther Fürth,29,43.6,34.0,17946,2396,6666,7952,3509,505,17941,536,266,496,270,504,9290,47683,22121,413,281,107,621,308,10087,967
9,Hertha BSC,36,43.7,34.0,18046,2255,6954,7844,3430,547,18043,526,281,534,245,466,8883,47745,22989,462,296,92,537,316,10214,959
10,Hoffenheim,32,53.2,34.0,21823,2385,7462,9467,5067,866,21823,525,249,474,275,524,12635,63453,31714,588,350,151,551,241,14184,1462
11,Köln,26,54.8,34.0,20891,2450,7559,8852,4687,781,20890,509,252,495,256,503,11262,57192,28130,550,391,105,584,258,12515,1398
12,Leverkusen,29,53.7,34.0,22247,2353,7516,10602,4364,806,22241,706,401,568,305,432,13043,70540,37410,709,494,177,608,296,14605,1334
13,Mainz 05,28,46.5,34.0,19090,1958,6503,8458,4323,753,19086,506,269,532,237,468,9359,44413,21380,445,312,114,670,295,10664,1169
14,RB Leipzig,29,56.1,34.0,23539,2043,6990,11522,5238,926,23530,561,347,619,213,380,13246,62485,31289,542,412,161,647,356,16072,1454
15,Stuttgart,34,50.7,34.0,21548,2343,7263,10064,4479,666,21545,693,372,537,321,463,12162,62523,31412,571,420,137,707,302,13666,1262
16,Union Berlin,28,43.7,34.0,18570,2048,6538,8339,3889,646,18565,413,244,591,168,407,9551,48478,22821,429,282,105,572,231,10576,1114
17,Wolfsburg,30,50.5,34.0,20456,2349,7267,9364,4020,633,20452,541,319,590,222,410,11258,55405,26778,502,364,99,603,284,12511,1212
