,Squad,# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%
0,Alavés,3,65,1.71,168,100,64.9,8,7,23,6,15.8
1,Athletic Club,2,36,0.95,131,96,74.8,14,13,11,13,34.2
2,Atlético Madrid,1,43,1.13,106,65,66.0,21,8,9,12,31.6
3,Barcelona,2,38,1.0,123,84,70.7,21,10,7,11,28.9
4,Betis,2,40,1.05,132,94,72.0,19,8,11,13,34.2
5,Cádiz,1,51,1.34,170,117,76.5,8,15,15,13,34.2
6,Celta Vigo,1,43,1.13,136,91,71.3,12,10,16,14,36.8
7,Elche,2,52,1.37,174,121,74.1,11,9,18,8,21.1
8,Espanyol,3,53,1.39,169,118,71.0,10,12,16,10,26.3
9,Getafe,2,41,1.08,132,91,70.5,8,15,15,14,36.8
10,Granada,2,61,1.61,193,132,72.0,8,14,16,8,21.1
11,Levante,4,76,2.0,203,126,65.0,8,11,19,7,18.4
12,Mallorca,4,63,1.66,152,91,62.5,10,9,19,9,23.7
13,Osasuna,2,51,1.34,151,99,68.9,12,11,15,12,31.6
14,Rayo Vallecano,2,50,1.32,163,112,73.6,11,9,18,9,23.7
15,Real Madrid,2,31,0.82,129,97,78.3,26,8,4,16,42.1
16,Real Sociedad,2,37,0.97,127,89,74.8,17,11,10,20,52.6
17,Sevilla,3,30,0.79,121,90,76.9,18,16,4,17,44.7
18,Valencia,3,53,1.39,163,112,71.8,11,15,12,12,31.6
19,Villarreal,2,37,0.97,128,91,74.2,16,11,11,14,36.8
