,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance
0,1,Atlético Mineiro,38,26,6,6,67,34,33,84,2.2,57.8,34.0,23.8,0.6,21827
1,2,Flamengo,38,21,8,9,69,36,33,71,1.9,66.5,40.3,26.3,0.7,10419
2,3,Palmeiras,38,20,6,12,58,43,15,66,1.7,56.3,48.5,7.8,0.2,5850
3,4,Fortaleza,38,17,7,14,44,45,-1,58,1.5,50.6,48.2,2.3,0.1,9133
4,5,Corinthians,38,15,12,11,40,36,4,57,1.5,40.2,37.0,3.3,0.1,13772
5,6,Red Bull Bragantino,38,14,14,10,55,46,9,56,1.5,47.2,48.5,-1.3,-0.0,1032
6,7,Fluminense,38,15,9,14,38,38,0,54,1.4,44.3,46.4,-2.1,-0.1,5647
7,8,América (MG),38,13,14,11,41,37,4,53,1.4,56.1,46.8,9.3,0.2,1223
8,9,Atl Goianiense,38,13,14,11,33,36,-3,53,1.4,37.0,50.6,-13.6,-0.4,2506
9,10,Santos,38,12,14,12,35,40,-5,50,1.3,44.7,51.1,-6.4,-0.2,3527
10,11,Ceará,38,11,17,10,39,38,1,50,1.3,47.9,49.9,-2.0,-0.0,7926
11,12,Internacional,38,12,12,14,44,42,2,48,1.3,50.6,54.5,-3.9,-0.1,6623
12,13,São Paulo,38,11,15,12,31,39,-8,48,1.3,45.5,41.6,3.9,0.1,11890
13,14,Ath Paranaense,38,13,8,17,41,45,-4,47,1.2,41.8,45.5,-3.7,-0.1,3362
14,15,Cuiabá,38,10,17,11,34,37,-3,47,1.2,36.6,45.5,-8.9,-0.2,4164
15,16,Juventude,38,11,13,14,36,44,-8,46,1.2,37.5,42.4,-4.9,-0.1,2768
16,17,Grêmio,38,12,7,19,44,51,-7,43,1.1,50.5,43.2,7.3,0.2,3956
17,18,Bahia,38,11,10,17,42,51,-9,43,1.1,45.6,46.2,-0.6,-0.0,7738
18,19,Sport Recife,38,9,11,18,24,37,-13,38,1.0,39.8,50.7,-10.8,-0.3,2177
19,20,Chapecoense,38,1,12,25,27,67,-40,15,0.4,39.5,65.4,-25.8,-0.7,725
