,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Arsenal,16176,19843,81.5,280868,91114,41,40.2,34.6,0.8,437,1354,329,74,1655
1,Aston Villa,12748,16499,77.3,220973,85405,42,34.8,30.0,7.2,356,1019,293,70,1300
2,Brentford,11676,16272,71.8,211867,85983,33,33.0,33.8,0.0,311,942,262,81,1189
3,Brighton,16410,20588,79.7,288827,95307,30,32.3,31.5,-2.3,356,1187,342,72,1547
4,Burnley,9454,14107,67.0,178791,80195,26,31.2,28.0,-5.2,286,877,240,84,972
5,Chelsea,21190,24888,85.1,342325,113085,52,44.9,42.6,7.1,439,1614,437,66,1967
6,Crystal Palace,14983,19081,78.5,265538,92523,31,31.0,30.2,0.0,305,990,270,75,1229
7,Everton,10366,14557,71.2,184813,76163,29,28.5,25.1,0.5,323,898,255,77,1100
8,Leeds United,13989,18288,76.5,242664,89161,26,31.3,25.1,-5.3,347,995,272,53,1483
9,Leicester City,16129,20137,80.1,269547,94214,46,34.2,26.9,11.8,312,1025,254,57,1356
10,Liverpool,21163,25552,82.8,370621,127087,71,63.5,56.2,7.5,527,1878,511,92,2243
11,Manchester City,24406,27902,87.5,412596,117964,63,65.5,57.1,-2.5,536,2110,535,74,2421
12,Manchester Utd,16690,20641,80.9,280259,93084,46,42.5,37.1,3.5,407,1315,312,65,1568
13,Newcastle Utd,10201,14036,72.7,188373,77685,23,25.8,23.3,-2.8,308,791,193,55,923
14,Norwich City,12164,16070,75.7,217007,80065,16,24.3,23.7,-8.3,264,739,226,46,1031
15,Southampton,12505,16941,73.8,211003,80089,26,32.5,28.7,-6.5,353,1016,249,58,1326
16,Tottenham,17204,20696,83.1,283871,93464,50,47.0,41.3,3.0,379,1172,338,81,1459
17,Watford,10423,14640,71.2,193942,80054,26,32.5,22.4,-6.5,298,834,213,70,1070
18,West Ham,14326,18378,78.0,251152,89191,46,37.4,32.4,8.6,320,1106,271,87,1449
19,Wolves,15253,19103,79.8,275607,92814,22,26.4,23.4,-4.4,294,1096,212,57,1283
