,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Alavés,9676,14175,68.3,191044,85739,20,25.5,22.8,-5.5,260,835,199,84,984
1,Athletic Club,12947,17283,74.9,229197,91473,34,37.5,36.0,-3.5,351,1056,306,82,1572
2,Atlético Madrid,15076,19098,78.9,253140,88718,45,40.2,39.6,4.8,347,989,325,66,1463
3,Barcelona,21489,25006,85.9,359280,114923,52,47.6,54.7,4.4,402,1698,390,99,2079
4,Betis,15702,19444,80.8,273534,99419,45,37.7,35.1,7.3,395,1136,294,51,1518
5,Cádiz,10136,14415,70.3,195586,77863,21,24.6,28.9,-3.6,277,829,233,120,1080
6,Celta Vigo,16007,20591,77.7,286771,95793,29,28.8,31.6,0.2,286,1105,285,84,1447
7,Elche,12948,16836,76.9,237191,93098,29,27.6,24.8,1.4,261,861,204,78,1102
8,Espanyol,13360,16919,79.0,237866,88599,25,25.8,24.8,-0.8,300,993,212,59,1212
9,Getafe,10278,14607,70.4,196813,82509,26,19.4,19.7,6.6,288,808,166,73,917
10,Granada,10582,14889,71.1,199289,81817,28,26.7,25.9,1.3,306,840,205,82,1047
11,Levante,12584,16422,76.6,226757,88940,34,31.7,25.8,2.3,318,968,254,63,1343
12,Mallorca,11046,15023,73.5,194935,82006,23,25.7,28.3,-2.7,303,806,235,64,1129
13,Osasuna,11904,16522,72.0,228055,96276,23,22.9,27.6,0.1,297,1099,298,124,1328
14,Rayo Vallecano,12747,16933,75.3,237761,93060,28,30.7,35.8,-2.7,359,1012,267,109,1312
15,Real Madrid,21373,24517,87.2,355560,112655,59,50.7,55.1,8.3,526,1694,455,57,2078
16,Real Sociedad,15403,19304,79.8,269268,98185,22,32.9,35.0,-10.9,313,1067,315,69,1462
17,Sevilla,18327,22234,82.4,341688,109518,40,32.5,34.6,7.5,342,1207,305,112,1596
18,Valencia,9627,13777,69.9,187440,77723,30,25.4,27.4,4.6,288,900,256,75,1202
19,Villarreal,16679,20401,81.8,294002,103203,51,50.9,49.9,0.1,363,1278,349,66,1698
