,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Arminia,9382,13511,69.4,182069,82699,18,17.2,22.4,0.8,247,763,195,55,887
1,Augsburg,9181,13035,70.4,181255,75935,26,23.9,25.8,2.1,264,657,218,85,895
2,Bayern Munich,20087,23780,84.5,342875,124219,70,66.7,80.3,3.3,516,1677,500,71,2164
3,Bochum,9624,13679,70.4,200296,84521,22,26.7,28.2,-4.7,276,761,179,66,926
4,Dortmund,17410,21052,82.7,292378,101967,57,45.0,46.0,12.0,331,1091,301,48,1468
5,Eint Frankfurt,12628,17023,74.2,229563,88663,33,32.0,33.1,1.0,331,908,223,78,1255
6,Freiburg,11641,15652,74.4,219063,88322,37,34.5,39.9,2.5,333,919,293,73,1229
7,Gladbach,14537,17978,80.9,251602,93864,38,37.8,39.2,0.2,357,920,250,46,1291
8,Greuther Fürth,10180,13971,72.9,187432,77521,15,18.8,19.8,-3.8,208,737,150,43,976
9,Hertha BSC,10314,14077,73.3,185733,76968,23,25.0,26.4,-2.0,271,650,181,56,975
10,Hoffenheim,14323,18141,79.0,256560,98199,42,46.8,53.2,-4.8,336,1046,343,112,1474
11,Köln,12636,16910,74.7,245192,96608,40,38.6,42.3,1.4,355,921,319,125,1406
12,Leverkusen,14735,18338,80.4,258289,94652,58,46.2,47.1,11.8,351,991,296,60,1341
13,Mainz 05,10773,15000,71.8,190321,80921,36,36.4,35.9,-0.4,317,878,255,72,1178
14,RB Leipzig,16163,19771,81.8,265026,97087,53,49.2,56.9,3.8,329,1144,376,75,1467
15,Stuttgart,13753,17353,79.3,244827,91553,31,33.1,37.8,-2.1,337,976,239,60,1269
16,Union Berlin,10673,14818,72.0,204003,82846,33,31.5,31.7,1.5,299,815,248,111,1123
17,Wolfsburg,12596,16439,76.6,238876,90051,25,33.8,38.8,-8.8,295,862,253,69,1220
