,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,América (MG),12255,16199,75.7,219341,87810,5479,6349,86.3,4964,6061,81.9,1408,2699,52.2,27,38.6,30.7,-11.6,438,1115,283,88,1507
1,Ath Paranaense,14288,17893,79.9,287963,98088,5191,5958,87.1,6645,7593,87.5,2229,3568,62.5,31,31.0,29.3,0.0,389,1322,260,107,1437
2,Atl Goianiense,13678,17320,79.0,256254,90374,5436,6219,87.4,6341,7337,86.4,1623,2937,55.3,20,26.5,26.0,-6.5,306,1222,192,51,1401
3,Atlético Mineiro,17120,20562,83.3,299757,107347,7769,8621,90.1,7332,8302,88.3,1648,2702,61.0,47,39.6,37.5,7.4,403,1461,322,71,1756
4,Bahia,12756,16621,76.7,227616,87376,5560,6481,85.8,5538,6675,83.0,1324,2532,52.3,29,32.8,31.1,-3.8,357,1129,260,92,1511
5,Ceará,11834,15625,75.7,214807,86694,5282,6148,85.9,4678,5721,81.8,1463,2697,54.2,23,33.0,29.1,-10.0,377,1122,261,64,1386
6,Chapecoense,11455,15199,75.4,209309,81571,4980,5772,86.3,4823,5810,83.0,1326,2660,49.8,17,27.1,22.4,-10.1,302,902,183,77,1106
7,Corinthians,18288,21763,84.0,320382,104543,8353,9263,90.2,7753,8632,89.8,1793,2880,62.3,29,28.6,25.9,0.4,323,1367,245,52,1554
8,Cuiabá,12902,16500,78.2,239740,90405,5552,6375,87.1,5393,6356,84.8,1658,2838,58.4,20,27.1,24.7,-7.1,324,1028,210,56,1351
9,Flamengo,17882,21355,83.7,312657,105860,8216,9143,89.9,7605,8601,88.4,1716,2683,64.0,55,50.3,44.1,4.7,435,1764,349,79,2055
10,Fluminense,14421,17969,80.3,248306,91888,6836,7643,89.4,5796,6741,86.0,1397,2569,54.4,27,31.2,28.6,-4.2,309,1092,221,64,1415
11,Fortaleza,12862,16426,78.3,246186,92601,4980,5790,86.0,5858,6906,84.8,1724,2874,60.0,26,32.6,30.0,-6.6,398,1224,277,73,1474
12,Grêmio,15076,18831,80.1,265022,91099,7007,7899,88.7,5955,7029,84.7,1684,2878,58.5,33,37.2,33.8,-4.2,431,1409,256,87,1621
13,Internacional,14134,17928,78.8,250441,89852,6474,7350,88.1,5692,6725,84.6,1563,2841,55.0,33,39.0,31.5,-6.0,354,1145,257,72,1354
14,Juventude,12716,16168,78.6,230199,84200,5486,6248,87.8,5305,6227,85.2,1510,2751,54.9,18,23.4,22.0,-5.4,289,928,179,82,1181
15,Palmeiras,14104,17562,80.3,276379,97484,5373,6095,88.2,6458,7420,87.0,2007,3238,62.0,41,41.4,31.7,-0.4,414,1226,275,90,1499
16,Red Bull Bragantino,13916,17616,79.0,275874,94411,5228,5998,87.2,6395,7444,85.9,2064,3416,60.4,44,34.6,32.7,9.4,385,1243,230,77,1467
17,Santos,15420,19145,80.5,268374,87120,7069,7929,89.2,6556,7615,86.1,1463,2689,54.4,22,29.3,26.2,-7.3,335,1305,223,73,1546
18,São Paulo,15519,19489,79.6,277406,98272,6646,7541,88.1,6843,7945,86.1,1611,2922,55.1,20,31.4,31.7,-11.4,331,1380,270,95,1633
19,Sport Recife,13074,16541,79.0,247092,90858,5118,5913,86.6,6122,7077,86.5,1560,2772,56.3,15,28.4,24.5,-13.4,333,1008,218,93,1258
