,Squad,# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%
0,Arsenal,2,48,1.3,147,100,70.7,22,3,13,13,34.2
1,Aston Villa,3,54,1.4,149,96,66.4,13,6,19,11,28.9
2,Brentford,3,56,1.5,179,125,71.5,13,7,18,9,23.7
3,Brighton,2,44,1.2,146,102,71.9,12,15,11,11,28.9
4,Burnley,2,53,1.4,178,127,73.0,7,14,17,9,23.7
5,Chelsea,2,33,0.9,115,83,76.5,21,11,6,16,42.1
6,Crystal Palace,2,46,1.2,144,99,70.1,11,15,12,12,31.6
7,Everton,2,66,1.7,188,127,66.0,11,6,21,8,21.1
8,Leeds United,2,79,2.1,224,146,67.0,9,11,18,5,13.2
9,Leicester City,2,59,1.6,192,132,72.9,14,10,14,7,18.4
10,Liverpool,2,26,0.7,107,82,75.7,28,8,2,21,55.3
11,Manchester City,2,26,0.7,85,59,70.6,29,6,3,21,55.3
12,Manchester Utd,1,57,1.5,180,124,70.0,16,10,12,8,21.1
13,Newcastle Utd,3,62,1.6,165,104,65.5,13,10,15,8,21.1
14,Norwich City,2,84,2.2,222,139,66.2,5,7,26,6,15.8
15,Southampton,3,67,1.8,183,118,64.5,9,13,16,8,21.1
16,Tottenham,1,40,1.0,137,98,72.3,22,5,11,16,42.1
17,Watford,2,77,2.0,188,113,62.2,6,5,27,4,10.5
18,West Ham,2,51,1.3,165,113,70.3,16,8,14,8,21.1
19,Wolves,2,43,1.1,167,125,79.6,15,6,17,11,28.9
