,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance
0,1,Manchester City,38,29,6,3,99,26,73,93,2.4,88.7,24.6,64.0,1.7,52774
1,2,Liverpool,38,28,8,2,94,26,68,92,2.4,88.7,33.8,54.9,1.4,53352
2,3,Chelsea,38,21,11,6,76,33,43,74,2.0,63.4,33.2,30.1,0.8,36443
3,4,Tottenham,38,22,5,11,69,40,29,71,1.9,61.2,39.3,21.9,0.6,56523
4,5,Arsenal,38,22,3,13,61,48,13,69,1.8,60.5,45.7,14.9,0.4,59665
5,6,Manchester Utd,38,16,10,12,57,57,0,58,1.5,55.8,53.0,2.8,0.1,73150
6,7,West Ham,38,16,8,14,60,51,9,56,1.5,51.4,53.5,-2.1,-0.1,58370
7,8,Leicester City,38,14,10,14,62,59,3,52,1.4,47.8,59.3,-11.5,-0.3,32493
8,9,Brighton,38,12,15,11,42,44,-2,51,1.3,46.2,42.9,3.3,0.1,30966
9,10,Wolves,38,15,6,17,38,43,-5,51,1.3,37.5,56.9,-19.4,-0.5,30841
10,11,Newcastle Utd,38,13,10,15,44,62,-18,49,1.3,38.1,57.1,-19.0,-0.5,51487
11,12,Crystal Palace,38,11,15,12,50,46,4,48,1.3,46.4,40.7,5.7,0.2,24588
12,13,Brentford,38,13,7,18,48,56,-8,46,1.2,45.8,48.5,-2.7,-0.1,16918
13,14,Aston Villa,38,13,6,19,52,54,-2,45,1.2,44.0,49.0,-4.9,-0.1,41681
14,15,Southampton,38,9,13,16,43,67,-24,40,1.0,44.8,60.0,-15.2,-0.4,30134
15,16,Everton,38,11,6,21,43,66,-23,39,1.0,41.2,55.4,-14.2,-0.4,38446
16,17,Leeds United,38,9,11,18,42,79,-37,38,1.0,44.4,67.8,-23.5,-0.6,36308
17,18,Burnley,38,7,14,17,34,53,-19,35,0.9,39.7,57.1,-17.4,-0.5,19278
18,19,Watford,38,6,5,27,34,77,-43,23,0.6,40.0,64.5,-24.5,-0.6,20614
19,20,Norwich City,38,5,7,26,23,84,-61,22,0.6,32.3,75.5,-43.2,-1.1,26836
