,Equipe,# J,Posse,90s,Contatos,Def Pen,Terço Def,Terço Central,Terço de Ataque,Att Pen,Em jogo,Tent,Suc,Suc%,Tkld,Tkld%,Conduções,DistTot,DistPrg,PrgC,1/3,CPA,Perda de Domínio,Dis,Rec,PrgR
0,Alavés,33,42.0,38.0,18371,2222,6215,8104,4235,605,18364,504,271,538,233,462,8699,42737,20539,420,310,102,616,278,9576,969
1,Athletic Club,26,48.1,38.0,21254,2066,6214,9532,5722,799,21247,530,297,560,232,438,10777,57778,30509,653,461,146,569,341,12839,1559
2,Atlético Madrid,26,50.6,38.0,23038,2006,6787,10729,5702,868,23033,600,383,638,217,362,12629,65613,34800,705,531,164,555,353,14978,1456
3,Barcelona,38,64.2,38.0,28778,2236,7093,14319,7567,1055,28771,747,474,635,273,365,18228,93372,52508,961,704,280,623,358,21334,2059
4,Betis,31,53.7,38.0,23691,2299,7311,10969,5603,826,23685,655,372,568,283,432,13042,66497,33876,666,482,187,588,364,15573,1501
5,Cádiz,33,41.3,38.0,18574,2215,6501,7898,4374,646,18568,519,281,541,238,459,9062,51953,26751,571,382,106,576,291,10039,1063
6,Celta Vigo,25,55.2,38.0,24789,2272,7479,11772,5737,719,24783,591,346,585,244,413,13606,72693,38568,665,544,125,572,310,15869,1434
7,Elche,28,48.4,38.0,20889,2493,7657,9086,4313,498,20888,597,339,568,258,432,11059,55476,26247,531,403,89,650,330,12844,1087
8,Espanyol,34,46.9,38.0,20970,2604,7525,9167,4471,581,20965,616,373,606,243,394,11191,60124,30222,610,468,119,563,331,13239,1196
9,Getafe,31,41.5,38.0,18658,2003,5988,8734,4125,551,18653,452,242,535,210,465,9326,44746,20748,399,328,92,603,301,10197,910
10,Granada,32,44.7,38.0,19055,2401,6704,8239,4287,600,19050,495,270,545,225,455,9255,49523,24761,435,354,96,588,321,10466,1036
11,Levante,31,47.2,38.0,20500,2377,7382,8840,4535,719,20487,683,348,510,335,490,10842,56754,29187,569,405,154,614,302,12487,1334
12,Mallorca,33,45.3,38.0,19305,2231,6593,8320,4619,647,19298,612,368,601,244,399,10034,55423,27611,575,449,112,613,404,10923,1110
13,Osasuna,29,46.9,38.0,20565,2013,6066,9272,5397,697,20557,467,261,559,206,441,10211,50361,23279,417,358,76,597,309,11775,1313
14,Rayo Vallecano,28,49.9,38.0,21279,2161,6591,9702,5241,734,21275,639,357,559,282,441,10829,61444,32089,697,497,151,696,371,12632,1299
15,Real Madrid,31,59.9,38.0,28389,2399,8154,12038,8430,1198,28377,780,456,585,324,415,18562,96303,51714,1029,757,330,495,277,21234,2061
16,Real Sociedad,32,54.3,38.0,23452,2574,7504,10671,5504,851,23442,670,360,537,310,463,13289,69380,36038,667,546,178,626,391,15188,1447
17,Sevilla,33,59.4,38.0,25980,2692,8904,11372,5872,742,25977,588,305,519,283,481,15097,68309,34977,625,517,139,589,326,18197,1580
18,Valencia,34,43.6,38.0,17905,1994,5790,7525,4822,630,17896,642,360,561,282,439,9186,52453,27482,554,449,109,656,294,9503,1187
19,Villarreal,29,56.8,38.0,24258,2439,7743,10778,5950,974,24252,746,450,603,296,397,14622,78519,42169,790,483,240,570,332,16415,1683
