,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance
0,1,Real Madrid,38,26,8,4,80,31,49,86,2.3,71.7,43.9,27.8,0.7,41235
1,2,Barcelona,38,21,10,7,68,38,30,73,1.9,63.4,34.4,29.0,0.8,53982
2,3,Atlético Madrid,38,21,8,9,65,43,22,71,1.9,54.4,33.4,21.1,0.6,48039
3,4,Sevilla,38,18,16,4,53,30,23,70,1.8,42.4,36.9,5.4,0.1,29756
4,5,Betis,38,19,8,11,62,40,22,65,1.7,53.5,43.4,10.1,0.3,41749
5,6,Real Sociedad,38,17,11,10,40,37,3,62,1.6,51.5,38.7,12.8,0.3,26813
6,7,Villarreal,38,16,11,11,63,37,26,59,1.6,64.2,44.8,19.4,0.5,14293
7,8,Athletic Club,38,14,13,11,43,36,7,55,1.4,49.6,38.4,11.3,0.3,32949
8,9,Valencia,38,11,15,12,48,53,-5,48,1.3,39.0,47.7,-8.7,-0.2,27349
9,10,Osasuna,38,12,11,15,37,51,-14,47,1.2,36.7,46.3,-9.6,-0.2,17107
10,11,Celta Vigo,38,12,10,16,43,43,0,46,1.2,43.1,45.7,-2.6,-0.1,10014
11,12,Rayo Vallecano,38,11,9,18,39,50,-11,42,1.1,42.8,48.4,-5.6,-0.2,7866
12,13,Elche,38,11,9,18,40,52,-12,42,1.1,33.7,59.1,-25.4,-0.7,15640
13,14,Espanyol,38,10,12,16,40,53,-13,42,1.1,36.7,51.2,-14.5,-0.4,17362
14,15,Getafe,38,8,15,15,33,41,-8,39,1.0,29.3,38.6,-9.3,-0.2,8702
15,16,Mallorca,38,10,9,19,36,63,-27,39,1.0,38.8,49.3,-10.5,-0.3,12712
16,17,Cádiz,38,8,15,15,35,51,-16,39,1.0,39.5,48.3,-8.7,-0.2,14055
17,18,Granada,38,8,14,16,44,61,-17,38,1.0,39.0,61.2,-22.2,-0.6,13710
18,19,Levante,38,8,11,19,51,76,-25,35,0.9,55.1,55.0,0.1,0.0,14961
19,20,Alavés,38,8,7,23,31,65,-34,31,0.8,37.3,57.0,-19.7,-0.5,10952
