,Squad,# Pl,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90
0,Atalanta,3,48,5,0,3,3,44.2,0.3,-0.8,-0.0
1,Bologna,3,55,8,1,3,2,56.2,0.3,3.2,0.1
2,Cagliari,2,68,7,5,10,1,58.8,0.3,-8.2,-0.2
3,Empoli,1,70,5,1,5,6,65.2,0.3,1.2,0.0
4,Fiorentina,2,51,3,0,3,2,39.8,0.3,-9.2,-0.2
5,Genoa,2,60,4,3,7,2,51.6,0.3,-6.4,-0.2
6,Hellas Verona,3,59,3,2,8,2,48.7,0.3,-8.3,-0.2
7,Inter,2,32,4,0,3,1,34.8,0.2,3.8,0.1
8,Juventus,3,37,4,2,6,1,37.1,0.2,1.1,0.0
9,Lazio,2,58,5,1,5,1,52.2,0.3,-4.8,-0.1
10,Milan,2,31,4,0,5,2,33.2,0.2,4.2,0.1
11,Napoli,3,31,1,0,3,1,34.1,0.2,4.1,0.1
12,Roma,1,43,5,2,5,2,42.2,0.2,1.2,0.0
13,Salernitana,3,78,6,0,6,2,68.1,0.3,-7.9,-0.2
14,Sampdoria,3,63,3,1,4,2,55.8,0.3,-5.2,-0.1
15,Sassuolo,3,66,8,0,11,1,58.5,0.3,-6.5,-0.2
16,Spezia,3,71,10,3,7,3,60.8,0.2,-7.2,-0.2
17,Torino,3,41,9,2,4,0,37.1,0.2,-3.9,-0.1
18,Udinese,2,58,5,0,4,1,52.5,0.3,-4.5,-0.1
19,Venezia,3,69,11,0,5,2,68.2,0.3,1.2,0.0
