,Equipe,# J,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
0,Atalanta,30,38.0,627,351,252,278,97,263,643,409,380,396,111,285,418,1045,532,12
1,Bologna,31,38.0,575,338,270,238,67,226,619,365,393,390,125,265,412,987,667,13
2,Brescia,32,38.0,507,273,256,195,56,226,559,404,333,399,170,229,361,868,886,12
3,Cagliari,33,38.0,560,338,300,203,57,231,619,373,388,445,174,271,337,897,855,13
4,Fiorentina,33,38.0,571,333,300,205,66,213,628,339,415,346,98,248,347,918,719,9
5,Genoa,34,38.0,551,335,268,210,73,212,589,360,377,410,150,260,385,936,775,16
6,Hellas Verona,30,38.0,488,290,237,187,64,203,463,438,260,361,173,188,398,886,825,10
7,Inter,29,38.0,524,287,228,212,84,196,575,341,379,371,120,251,370,894,657,12
8,Juventus,30,38.0,539,318,225,219,95,224,582,385,358,374,120,254,370,909,590,14
9,Lazio,27,38.0,547,311,270,205,72,224,612,366,388,404,142,262,378,925,642,9
10,Lecce,30,38.0,525,293,288,192,45,234,628,373,394,395,150,245,383,908,793,30
11,Milan,32,38.0,581,345,270,237,74,234,620,377,386,353,106,247,419,1000,652,19
12,Napoli,25,38.0,487,295,223,183,81,206,540,381,334,322,86,236,330,817,464,11
13,Parma,25,38.0,615,348,329,228,58,282,708,398,426,423,177,246,394,1009,859,14
14,Roma,31,38.0,493,303,202,203,88,197,503,392,306,347,107,240,400,893,644,15
15,Sampdoria,31,38.0,584,354,267,224,93,230,605,380,375,397,116,281,396,980,778,5
16,Sassuolo,31,38.0,553,332,273,211,69,249,556,448,307,392,130,262,348,901,666,9
17,SPAL,34,38.0,554,327,299,197,58,222,571,389,349,390,170,220,394,948,748,15
18,Torino,27,38.0,572,314,266,236,70,212,549,386,337,433,160,273,495,1067,875,14
19,Udinese,25,38.0,597,340,329,214,54,253,593,427,340,434,153,281,375,972,789,13
