,Squad,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
0,Arsenal,709,18.66,501,59,52,48,33,16,85,2.24,57,5,4,9,4,6
1,Aston Villa,828,21.79,599,88,42,36,56,7,72,1.89,48,8,5,4,7,0
2,Bournemouth,669,17.61,472,69,34,39,47,8,63,1.66,36,6,7,8,6,0
3,Brighton,804,21.16,599,73,39,48,40,5,65,1.71,44,9,5,2,5,0
4,Burnley,667,17.55,459,83,27,44,45,9,71,1.87,47,10,4,6,3,1
5,Chelsea,1121,29.5,847,86,57,64,52,15,123,3.24,86,6,10,9,10,2
6,Crystal Palace,643,16.92,427,68,57,36,46,9,53,1.39,37,3,4,4,5,0
7,Everton,805,21.18,536,86,47,69,51,16,67,1.76,47,4,4,9,3,0
8,Leicester City,969,25.5,707,73,75,48,56,10,116,3.05,91,3,11,4,5,2
9,Liverpool,1044,27.47,800,77,60,54,36,17,148,3.89,108,11,10,9,8,2
10,Manchester City,1356,35.68,1040,72,101,75,53,15,173,4.55,123,6,16,14,12,2
11,Manchester Utd,978,25.74,766,50,62,36,56,8,112,2.95,86,4,7,2,12,1
12,Newcastle Utd,705,18.55,491,75,55,38,37,9,62,1.63,41,6,4,6,4,1
13,Norwich City,717,18.87,522,56,47,47,35,10,43,1.13,34,2,2,2,1,2
14,Sheffield Utd,630,16.58,457,62,44,38,23,6,63,1.66,47,3,6,6,1,0
15,Southampton,843,22.18,560,74,70,53,60,26,77,2.03,41,3,15,8,7,3
16,Tottenham,779,20.5,589,43,54,37,38,18,94,2.47,62,3,13,10,4,2
17,Watford,725,19.08,498,69,45,42,56,15,58,1.53,34,6,3,4,8,3
18,West Ham,735,19.34,514,78,42,42,47,12,89,2.34,62,7,5,7,8,0
19,Wolves,801,21.08,541,70,79,47,46,18,83,2.18,53,6,9,8,7,0
