,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Atalanta,17945,21860,82.1,301978,102774,8671,9684,89.5,6817,7927,86.0,1732,2818,61.5,68,58.9,46.2,9.1,535,1291,440,99,1867
1,Bologna,14608,18465,79.1,251345,95729,6955,7886,88.2,5859,6959,84.2,1377,2513,54.8,31,41.3,30.8,-10.3,418,1201,293,67,1672
2,Brescia,10833,14648,74.0,195788,80646,4731,5583,84.7,4291,5316,80.7,1347,2595,51.9,22,28.8,26.9,-6.8,288,830,253,78,1241
3,Cagliari,13131,16868,77.8,245291,89789,5524,6270,88.1,5722,6815,84.0,1629,2973,54.8,34,32.0,26.6,2.0,344,984,246,87,1288
4,Fiorentina,13589,17172,79.1,245422,91397,5835,6615,88.2,5843,6843,85.4,1535,2737,56.1,30,34.5,32.9,-4.5,420,1124,298,81,1446
5,Genoa,14305,18157,78.8,249032,93026,6586,7416,88.8,5724,6778,84.4,1490,2775,53.7,28,27.6,26.7,0.4,301,937,292,103,1280
6,Hellas Verona,13348,17641,75.7,234676,89110,5993,6965,86.0,5423,6571,82.5,1411,2861,49.3,27,34.5,29.7,-7.5,332,1084,319,70,1575
7,Inter,17232,20842,82.7,312663,106571,7232,8059,89.7,7508,8587,87.4,1989,2948,67.5,57,44.0,41.2,13.0,449,1301,400,98,1820
8,Juventus,20149,23408,86.1,332903,110593,9684,10473,92.5,7782,8664,89.8,1816,2715,66.9,47,45.5,38.0,1.5,501,1629,336,70,1746
9,Lazio,15875,19415,81.8,281345,100800,7130,8009,89.0,6201,7132,86.9,1924,2976,64.7,45,42.5,35.9,2.5,434,1334,393,103,1668
10,Lecce,13640,17104,79.7,254310,95358,5858,6659,88.0,5711,6659,85.8,1798,2925,61.5,30,32.6,30.1,-2.6,387,925,331,131,1356
11,Milan,17070,20701,82.5,294450,103334,8007,8954,89.4,6904,7872,87.7,1657,2775,59.7,38,46.0,38.9,-8.0,476,1346,377,83,1717
12,Napoli,21173,24596,86.1,336874,107510,11037,11917,92.6,7649,8622,88.7,1658,2522,65.7,45,46.8,40.7,-1.8,543,1566,414,86,2024
13,Parma,12193,15756,77.4,236592,93205,4947,5720,86.5,4989,5959,83.7,1912,3155,60.6,38,33.9,23.5,4.1,339,881,230,56,1227
14,Roma,15972,19325,82.6,301750,102768,6509,7265,89.6,7241,8199,88.3,2006,3078,65.2,47,48.6,41.8,-1.6,477,1236,344,79,1651
15,Sampdoria,11918,15949,74.7,214283,86568,5325,6195,86.0,4861,6016,80.8,1364,2726,50.0,25,30.8,27.2,-5.8,400,1004,300,114,1369
16,Sassuolo,18601,21873,85.0,298108,98300,9815,10667,92.0,7058,7896,89.4,1294,2223,58.2,49,39.2,31.7,9.8,423,1274,294,35,1590
17,SPAL,13281,16878,78.7,236868,94077,6176,6950,88.9,5308,6326,83.9,1489,2773,53.7,17,26.5,24.4,-9.5,347,1060,222,65,1236
18,Torino,12572,16330,77.0,234941,88714,5436,6295,86.4,5089,6068,83.9,1728,3026,57.1,29,30.3,26.4,-1.3,338,852,297,135,1220
19,Udinese,13373,16971,78.8,235092,90315,6100,6891,88.5,5340,6354,84.0,1478,2657,55.6,26,33.5,25.9,-7.5,362,937,276,99,1274
