,Equipe,# J,90s,SCA,SCA90,Passe em jogo,Passe de bola parada,TO,TC,FltsP,Def,GCA,GCA90,Passe em jogo,Passe de bola parada,TO,TC,FltsP,Def
0,Alavés,32,38.0,537,1413,333,88,28,36,46,6,58,153,31,8,4,6,8,1
1,Athletic Club,26,38.0,690,1816,469,84,37,36,54,10,65,171,43,4,3,6,8,1
2,Atlético Madrid,30,38.0,790,2079,546,88,43,51,48,14,86,226,56,5,11,5,8,1
3,Barcelona,28,38.0,903,2376,678,38,82,33,60,12,150,395,114,6,10,5,12,3
4,Betis,27,38.0,837,2203,611,62,77,37,39,11,75,197,52,4,6,7,6,0
5,Celta Vigo,30,38.0,659,1734,477,52,41,37,44,8,67,176,43,3,8,5,8,0
6,Eibar,26,38.0,709,1866,450,97,40,55,48,19,63,166,38,7,5,6,7,0
7,Espanyol,31,38.0,691,1818,469,82,37,45,50,8,44,116,26,5,2,6,3,2
8,Getafe,30,38.0,691,1818,464,83,36,35,63,10,70,184,43,7,7,6,6,1
9,Granada,27,38.0,670,1763,434,89,32,38,58,19,86,226,52,9,5,8,8,4
10,Leganés,29,38.0,752,1979,509,87,44,48,57,7,54,142,38,4,2,3,6,1
11,Levante,29,38.0,746,1963,547,71,48,35,37,8,79,208,52,4,6,8,9,0
12,Mallorca,32,38.0,742,1953,510,78,51,38,57,8,64,168,41,1,6,5,10,1
13,Osasuna,31,38.0,783,2061,553,94,40,42,42,12,73,192,49,9,4,5,5,1
14,Real Madrid,26,38.0,1021,2687,780,68,73,46,42,12,125,329,90,7,7,5,15,1
15,Real Sociedad,27,38.0,744,1958,550,70,34,40,39,11,92,242,69,6,4,6,2,5
16,Sevilla,26,38.0,873,2297,636,90,51,42,42,12,89,234,58,8,10,5,8,0
17,Valencia,28,38.0,612,1611,445,53,39,22,43,10,80,211,56,5,8,2,9,0
18,Valladolid,30,38.0,647,1703,453,47,46,31,58,12,53,139,34,2,4,6,7,0
19,Villarreal,25,38.0,864,2274,642,66,60,44,37,15,108,284,71,5,10,10,11,1
