,Squad,# Pl,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90
0,Alavés,3,59,12,3,3,0,56.6,0.27,-2.4,-0.06
1,Athletic Club,2,38,5,2,2,2,39.8,0.28,3.8,0.1
2,Atlético Madrid,2,27,3,1,4,3,29.8,0.24,5.8,0.15
3,Barcelona,2,38,6,2,1,0,36.5,0.26,-1.5,-0.04
4,Betis,2,60,11,1,4,1,54.8,0.29,-4.2,-0.11
5,Celta Vigo,3,49,5,3,3,0,45.8,0.28,-3.2,-0.08
6,Eibar,2,56,4,2,3,1,52.2,0.35,-2.8,-0.07
7,Espanyol,2,58,6,0,4,2,54.4,0.31,-1.6,-0.04
8,Getafe,1,37,5,0,2,2,38.3,0.3,3.3,0.09
9,Granada,2,45,4,1,5,0,45.9,0.27,0.9,0.02
10,Leganés,2,51,6,2,7,1,46.5,0.29,-3.5,-0.09
11,Levante,2,53,3,1,9,2,54.3,0.23,3.3,0.09
12,Mallorca,3,65,15,2,7,1,63.8,0.26,-0.2,-0.01
13,Osasuna,3,54,5,3,5,0,51.1,0.33,-2.9,-0.08
14,Real Madrid,2,25,2,0,5,0,30.8,0.26,5.8,0.15
15,Real Sociedad,2,48,7,2,4,1,45.4,0.26,-1.6,-0.04
16,Sevilla,2,34,3,3,2,1,32.3,0.24,-0.7,-0.02
17,Valencia,2,53,7,3,4,1,50.2,0.22,-1.8,-0.05
18,Valladolid,3,43,7,2,5,0,48.0,0.29,5.0,0.13
19,Villarreal,2,49,8,0,10,2,45.2,0.22,-1.8,-0.05
