,Squad,# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%
0,Augsburg,2,63,1.85,155,94,59.4,9,9,16,7,20.6
1,Bayern Munich,2,32,0.94,113,81,74.3,26,4,4,15,44.1
2,Dortmund,2,41,1.21,102,64,62.7,21,6,7,15,44.1
3,Düsseldorf,2,67,1.97,177,112,63.8,6,12,16,4,11.8
4,Eint Frankfurt,3,60,1.76,174,116,67.2,13,6,15,5,14.7
5,Freiburg,3,47,1.38,191,144,77.0,13,9,12,7,20.6
6,Gladbach,1,40,1.18,158,117,75.3,20,5,9,7,20.6
7,Hertha BSC,3,59,1.74,173,116,69.9,11,8,15,9,26.5
8,Hoffenheim,2,53,1.56,167,114,71.9,15,7,12,8,23.5
9,Köln,1,69,2.03,156,87,58.3,10,6,18,6,17.6
10,Leverkusen,1,44,1.29,143,99,70.6,19,6,9,10,29.4
11,Mainz 05,2,65,1.91,181,115,65.7,11,4,19,5,14.7
12,Paderborn 07,2,74,2.18,185,112,62.2,4,8,22,5,14.7
13,RB Leipzig,2,37,1.09,121,84,71.1,18,12,4,10,29.4
14,Schalke 04,2,58,1.71,173,117,69.9,9,12,13,7,20.6
15,Union Berlin,2,58,1.71,167,109,67.1,12,5,17,8,23.5
16,Werder Bremen,2,69,2.03,174,108,60.9,8,7,19,4,11.8
17,Wolfsburg,2,46,1.35,142,97,71.1,13,10,11,8,23.5
