,Equipe,# J,90s,Att,Em jogo,Parado,FK,TB,Sw,Crz,TI,CK,In,Fora,Reto,Cmp,Desativado,Bloqueios
0,Alavés,32,38.0,13973,11911,2001,543,17,108,562,881,136,52,53,0,9612,61,278
1,Athletic Club,26,38.0,16915,14889,1942,517,14,200,754,874,178,70,65,6,12533,84,306
2,Atlético Madrid,30,38.0,17765,15735,1914,511,62,123,574,835,183,60,92,0,13595,116,283
3,Barcelona,28,38.0,28227,26418,1726,573,86,183,417,638,185,92,27,2,24758,83,337
4,Betis,27,38.0,19823,17676,2063,699,30,205,624,799,185,67,41,2,16182,84,337
5,Celta Vigo,30,38.0,18557,16543,1944,593,38,138,636,749,176,61,78,2,14552,70,367
6,Eibar,26,38.0,15551,13381,2097,531,11,221,870,1015,189,69,101,1,10439,73,286
7,Espanyol,31,38.0,16363,14389,1909,543,19,146,710,800,156,59,64,6,11881,65,281
8,Getafe,30,38.0,13715,11368,2241,630,27,215,833,1094,185,41,69,2,8319,106,377
9,Granada,27,38.0,14105,12058,1977,582,16,133,670,825,163,64,57,0,9810,70,306
10,Leganés,29,38.0,14838,12774,1989,565,20,160,771,886,157,42,83,3,10336,75,296
11,Levante,29,38.0,16332,14321,1930,548,34,227,697,749,189,91,42,6,12415,81,335
12,Mallorca,32,38.0,15636,13615,1963,577,18,119,682,793,171,64,60,0,11782,58,325
13,Osasuna,31,38.0,15904,13788,2036,533,16,192,755,926,180,67,72,1,10959,80,316
14,Real Madrid,26,38.0,23733,21828,1821,534,59,445,776,786,192,51,68,0,20107,84,328
15,Real Sociedad,27,38.0,20229,18172,1979,598,54,115,719,868,181,99,33,2,15989,78,376
16,Sevilla,26,38.0,21733,19673,1968,553,30,384,880,837,226,72,79,6,17525,92,350
17,Valencia,28,38.0,18258,16284,1874,591,46,238,677,688,169,54,70,8,14490,100,257
18,Valladolid,30,38.0,15457,13389,1987,574,24,214,645,806,161,62,56,0,11187,81,293
19,Villarreal,25,38.0,20045,18098,1876,510,42,267,619,804,148,53,57,0,16218,71,290
