,Equipe,# J,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
0,Alavés,32,38.0,579,346,261,265,53,255,619,412,364,385,114,271,392,971,766,7
1,Athletic Club,26,38.0,533,324,262,204,67,217,613,354,396,339,92,247,373,906,755,7
2,Atlético Madrid,30,38.0,658,406,293,272,93,283,640,442,357,380,108,272,412,1070,729,18
3,Barcelona,28,38.0,536,323,216,223,97,211,501,421,290,313,87,226,342,878,529,16
4,Betis,27,38.0,501,299,276,173,52,221,511,432,290,336,119,217,302,803,682,8
5,Celta Vigo,30,38.0,589,357,344,193,52,251,615,408,364,345,89,256,396,985,807,12
6,Eibar,26,38.0,567,338,240,228,99,264,607,435,343,332,81,251,430,997,692,8
7,Espanyol,31,38.0,628,364,303,253,72,257,701,367,444,380,96,284,360,988,731,17
8,Getafe,30,38.0,580,341,235,263,82,235,573,410,338,374,60,314,367,947,625,12
9,Granada,27,38.0,584,349,257,257,70,238,570,418,332,375,118,257,383,967,750,10
10,Leganés,29,38.0,603,357,317,215,71,254,610,416,356,320,73,247,418,1021,687,7
11,Levante,29,38.0,507,288,281,173,53,204,532,383,328,317,107,210,331,838,763,14
12,Mallorca,32,38.0,545,338,280,213,52,227,602,377,375,360,117,243,376,921,672,9
13,Osasuna,31,38.0,613,361,275,267,71,267,617,433,350,385,98,287,417,1030,738,19
14,Real Madrid,26,38.0,586,355,252,253,81,226,595,380,369,367,77,290,381,967,590,13
15,Real Sociedad,27,38.0,551,321,254,224,73,252,573,440,321,346,79,267,320,871,694,12
16,Sevilla,26,38.0,587,344,274,246,67,261,661,395,400,331,94,237,346,933,704,10
17,Valencia,28,38.0,500,311,270,173,57,232,589,394,357,334,130,204,360,860,748,12
18,Valladolid,30,38.0,568,327,316,204,48,239,672,356,433,391,112,279,390,958,749,13
19,Villarreal,25,38.0,553,323,250,239,64,218,602,362,384,362,116,246,339,892,814,12
