,Squad,# Pl,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90
0,Ath Paranaense,3,32,6,0,5,0,46.4,0.26,14.4,0.38
1,Atlético Mineiro,3,49,7,1,9,1,45.9,0.22,-2.1,-0.06
2,Avaí,3,62,7,0,12,1,56.5,0.27,-4.5,-0.12
3,Bahia,2,43,4,0,6,0,45.8,0.27,2.8,0.07
4,Botafogo (RJ),2,45,3,1,5,2,55.7,0.28,12.7,0.33
5,Ceará,3,41,2,0,9,1,45.5,0.3,5.5,0.15
6,Chapecoense,2,52,6,2,8,1,61.1,0.28,10.1,0.27
7,Corinthians,3,34,5,0,6,1,41.6,0.25,8.6,0.23
8,Cruzeiro,2,46,4,0,3,0,50.1,0.3,4.1,0.11
9,CSA,2,58,2,3,7,3,57.5,0.25,2.5,0.07
10,Flamengo,3,37,6,1,3,1,46.1,0.27,10.1,0.26
11,Fluminense,4,46,4,2,6,0,49.7,0.27,3.7,0.1
12,Fortaleza,2,49,5,1,7,1,56.9,0.31,8.9,0.23
13,Goiás,3,64,3,0,9,1,70.1,0.32,7.1,0.19
14,Grêmio,3,39,9,3,4,3,40.0,0.2,4.0,0.11
15,Internacional,2,39,4,1,3,1,43.2,0.23,5.2,0.14
16,Palmeiras,3,32,7,1,2,1,38.0,0.22,7.0,0.18
17,Santos,2,33,2,1,3,1,37.1,0.26,5.1,0.13
18,São Paulo,2,30,4,2,4,1,33.7,0.21,4.7,0.12
19,Vasco da Gama,3,45,4,0,4,3,44.9,0.27,2.9,0.08
