Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,season,country
Coritiba,11817,15457,76.5,215473,84223,5201,6076,85.6,5037,6008,83.8,1315,2576,51.0,25,25.6,24.1,-0.6,301,955,211,78,1147,2023,BR
Cruzeiro,14361,18201,78.9,269636,97127,5875,6770,86.8,6437,7467,86.2,1800,3050,59.0,26,35.2,36.5,-9.2,399,1320,298,87,1650,2023,BR
Cuiabá,12492,16082,77.7,229815,89196,5367,6185,86.8,5372,6405,83.9,1477,2647,55.8,24,24.8,26.6,-0.8,318,1109,231,76,1361,2023,BR
Flamengo,18274,21653,84.4,310238,102925,8821,9673,91.2,7534,8420,89.5,1510,2534,59.6,39,34.4,42.3,4.6,389,1694,387,76,1953,2023,BR
Fluminense,19515,22733,85.8,301792,96757,10600,11429,92.7,6943,7736,89.7,1275,2174,58.6,36,36.0,35.7,0.0,425,1501,323,86,1623,2023,BR
Fortaleza,12720,16374,77.7,231260,83905,5512,6267,88.0,5433,6487,83.8,1452,2696,53.9,29,35.1,31.3,-6.1,388,1191,283,92,1451,2023,BR
Goiás,12157,15828,76.8,231326,90720,4999,5761,86.8,5219,6243,83.6,1649,2900,56.9,22,24.5,27.5,-2.5,354,974,239,70,1284,2023,BR
Grêmio,13311,17285,77.0,223670,89614,6446,7485,86.1,5149,6241,82.5,1251,2452,51.0,45,36.4,36.4,8.6,389,1135,307,57,1541,2023,BR
Internacional,15590,19134,81.5,268435,91428,7156,8036,89.0,6829,7858,86.9,1284,2341,54.8,30,29.0,33.2,1.0,345,1206,261,68,1389,2023,BR
Palmeiras,14570,18222,80.0,286531,100915,5401,6140,88.0,6857,7897,86.8,2075,3334,62.2,44,43.1,39.3,0.9,445,1270,306,122,1593,2023,BR
Red Bull Bragantino,14607,18999,76.9,261348,99278,6620,7618,86.9,6004,7210,83.3,1629,3061,53.2,30,39.1,40.9,-9.1,465,1411,342,87,1768,2023,BR
Santos,11747,15385,76.4,209100,77717,5283,6066,87.1,4909,5919,82.9,1233,2470,49.9,26,28.9,30.6,-2.9,338,861,233,59,1237,2023,BR
São Paulo,18241,21653,84.2,327180,104072,7913,8681,91.2,8031,8943,89.8,1871,2941,63.6,27,33.1,34.5,-6.1,383,1437,299,74,1665,2023,BR
Vasco da Gama,13732,17392,79.0,247786,88502,6025,6783,88.8,5928,6963,85.1,1469,2714,54.1,30,32.4,33.9,-2.4,342,1120,308,145,1358,2023,BR
Arsenal,19094,22558,84.6,309533,102210,9719,10643,91.3,7809,8765,89.1,1178,2162,54.5,62,55.3,57.8,6.7,513,1546,548,68,2106,2023,EN
Aston Villa,16133,19363,83.3,281128,95293,7110,7878,90.3,7381,8273,89.2,1330,2368,56.2,55,48.6,42.5,6.4,398,1160,363,67,1451,2023,EN
Bournemouth,11899,15920,74.7,220978,83235,4976,5868,84.8,5270,6214,84.8,1393,2964,47.0,39,40.5,33.7,-1.5,414,1074,352,88,1314,2023,EN
Brentford,12551,16818,74.6,225971,88492,5616,6628,84.7,5236,6432,81.4,1382,2776,49.8,38,42.7,40.0,-4.7,332,965,333,106,1283,2023,EN
Brighton,21810,25029,87.1,341060,113686,11574,12473,92.8,8261,9125,90.5,1296,2164,59.9,36,41.6,43.7,-5.6,429,1484,384,81,1780,2023,EN
Burnley,13937,17959,77.6,246047,83556,6311,7267,86.8,6017,7042,85.4,1324,2755,48.1,30,29.7,26.6,0.3,326,976,216,54,1181,2023,EN
Chelsea,20039,23364,85.8,328448,109853,10006,10877,92.0,8176,9060,90.2,1365,2328,58.6,51,51.4,43.1,-0.4,419,1351,352,51,1615,2023,EN
Crystal Palace,12915,16754,77.1,225542,84922,6040,6920,87.3,5338,6287,84.9,1204,2608,46.2,43,38.7,31.5,4.3,353,995,273,60,1176,2023,EN
Everton,11349,15514,73.2,208537,88374,5198,6091,85.3,4386,5405,81.1,1469,3057,48.1,17,38.1,31.8,-21.1,339,958,284,77,1129,2023,EN
Fulham,16311,20237,80.6,290238,100538,7028,7907,88.9,7277,8347,87.2,1586,2853,55.6,40,37.6,33.6,2.4,379,1117,355,94,1467,2023,EN
Liverpool,20376,24379,83.6,346550,118702,9656,10641,90.7,8627,9763,88.4,1637,2814,58.2,60,63.7,55.6,-3.7,598,1666,506,80,2110,2023,EN
Luton Town,11048,15099,73.2,201475,81352,4969,5784,85.9,4443,5431,81.8,1289,2879,44.8,33,29.5,27.5,3.5,315,835,250,90,1113,2023,EN
Manchester City,24616,27758,88.7,394064,112270,12895,13721,94.0,9449,10306,91.7,1652,2498,66.1,69,60.2,62.1,8.8,545,1890,484,65,2060,2023,EN
Manchester Utd,15785,19538,80.8,260507,91226,7892,8866,89.0,5965,6943,85.9,1355,2517,53.8,36,40.1,34.6,-4.1,434,1202,338,50,1479,2023,EN
Newcastle Utd,16117,19852,81.2,274265,96401,7681,8623,89.1,6722,7757,86.7,1358,2504,54.2,55,51.3,43.5,3.7,424,1107,380,76,1557,2023,EN
Nott'ham Forest,11873,15673,75.8,209938,83047,5506,6412,85.9,4763,5857,81.3,1262,2490,50.7,43,38.0,27.9,5.0,325,905,244,61,1140,2023,EN
Sheffield Utd,9521,13498,70.5,169803,71320,4486,5347,83.9,3733,4691,79.6,1044,2630,39.7,18,25.8,21.0,-7.8,257,701,198,48,884,2023,EN
Tottenham,20649,24197,85.3,326221,111380,10630,11617,91.5,8361,9345,89.5,1089,1905,57.2,58,57.4,52.1,0.6,460,1588,454,65,2107,2023,EN
West Ham,12568,16373,76.8,219336,85575,6043,6856,88.1,4817,5751,83.8,1330,2718,48.9,40,34.8,30.8,5.2,305,979,225,71,1207,2023,EN
Wolves,15484,19175,80.8,255933,84649,7694,8577,89.7,6100,7016,86.9,1218,2527,48.2,36,31.8,27.6,4.2,316,910,239,61,1180,2023,EN
Alavés,10091,14116,71.5,191648,83394,4443,5283,84.1,4011,5052,79.4,1375,2889,47.6,28,32.4,30.6,-4.4,341,937,273,105,1260,2023,SP
Almería,12774,16540,77.2,228494,85956,5654,6480,87.3,5476,6405,85.5,1322,2747,48.1,25,34.2,24.6,-9.2,349,870,212,86,1097,2023,SP
Athletic Club,14509,18724,77.5,256772,96209,6598,7600,86.8,6186,7288,84.9,1393,2832,49.2,41,37.0,40.3,4.0,355,1205,343,113,1610,2023,SP
Atlético Madrid,17064,20709,82.4,282535,101502,8654,9535,90.8,6433,7422,86.7,1442,2542,56.7,48,47.4,44.0,0.6,359,1226,380,68,1597,2023,SP
Barcelona,21506,24761,86.9,359810,114447,10598,11481,92.3,8724,9617,90.7,1717,2604,65.9,55,57.4,57.9,-2.4,457,1702,405,83,1925,2023,SP
Betis,15310,18979,80.7,256941,94528,7398,8260,89.6,5944,6913,86.0,1383,2561,54.0,31,32.7,33.8,-1.7,368,1037,327,53,1441,2023,SP
Cádiz,10763,14990,71.8,202974,86219,4837,5694,84.9,4144,5163,80.3,1455,3198,45.5,17,25.2,26.3,-8.2,292,899,219,106,1017,2023,SP
Celta Vigo,13890,17776,78.1,235944,93057,6703,7631,87.8,5538,6545,84.6,1223,2495,49.0,35,38.2,39.1,-3.2,367,1129,293,71,1345,2023,SP
Getafe,10713,15193,70.5,207208,83225,4641,5528,84.0,4142,5344,77.5,1625,3436,47.3,27,27.9,27.4,-0.9,324,1037,220,103,1141,2023,SP
Girona,18793,21914,85.8,318093,108506,8986,9734,92.3,7878,8692,90.6,1460,2446,59.7,64,54.0,52.4,10.0,377,1431,362,88,1685,2023,SP
Granada,12127,15976,75.9,225286,88195,5270,6031,87.4,5127,6099,84.1,1458,2965,49.2,27,31.1,30.4,-4.1,283,834,263,94,1044,2023,SP
Las Palmas,19105,22882,83.5,298427,110392,10201,11174,91.3,7170,8097,88.6,1145,2312,49.5,23,23.3,28.2,-0.3,295,1295,271,54,1596,2023,SP
Mallorca,11476,15645,73.4,218346,89351,4934,5790,85.2,4717,5815,81.1,1549,3119,49.7,27,30.8,29.1,-3.8,308,978,235,103,1174,2023,SP
Osasuna,12874,17335,74.3,243978,96863,5474,6420,85.3,5487,6696,81.9,1666,3277,50.8,32,28.5,31.6,3.5,301,1128,263,104,1322,2023,SP
Rayo Vallecano,13282,17459,76.1,240192,94205,5918,6783,87.2,5584,6657,83.9,1436,3063,46.9,12,24.6,25.3,-12.6,314,1082,255,81,1335,2023,SP
Real Madrid,21794,24691,88.3,349864,112682,11641,12391,93.9,7949,8734,91.0,1624,2474,65.6,66,52.5,50.5,13.5,476,1701,391,59,1935,2023,SP
Real Sociedad,15263,19249,79.3,276751,93632,6489,7461,87.0,6923,8022,86.3,1553,2800,55.5,36,30.7,32.9,5.3,320,1133,246,63,1414,2023,SP
Sevilla,14628,18599,78.6,267530,97170,6501,7367,88.2,6128,7177,85.4,1667,3111,53.6,30,31.7,32.7,-1.7,363,1207,286,134,1416,2023,SP
Valencia,12233,16255,75.3,217671,80185,5491,6436,85.3,5177,6140,84.3,1226,2710,45.2,24,27.0,24.2,-3.0,267,886,218,72,1162,2023,SP
Villarreal,15349,18637,82.4,278006,102363,6662,7409,89.9,6931,7828,88.5,1525,2599,58.7,47,40.5,40.4,6.5,365,1160,339,88,1558,2023,SP
Augsburg,10545,14262,73.9,199672,80511,4147,4989,83.1,4851,5902,82.2,1272,2491,51.1,35,27.7,37.7,7.3,299,919,284,89,1137,2023,GE
Bayern Munich,19987,22946,87.1,340799,109694,9254,10094,91.7,8928,9742,91.6,1476,2208,66.8,71,65.9,72.8,5.1,506,1563,458,86,1941,2023,GE
Bochum,9786,14203,68.9,185281,85808,4234,5278,80.2,3854,5032,76.6,1393,2934,47.5,30,30.4,33.0,-0.4,371,902,265,85,1151,2023,GE
Darmstadt 98,11807,15336,77.0,223927,86971,4830,5582,86.5,5247,6139,85.5,1494,2813,53.1,21,22.8,28.9,-1.8,302,873,226,65,1083,2023,GE
Dortmund,17191,20445,84.1,300426,100507,7696,8552,90.0,7352,8202,89.6,1651,2584,63.9,49,45.6,48.0,3.4,389,1144,301,46,1452,2023,GE
Eint Frankfurt,15017,18809,79.8,260025,91225,6582,7496,87.8,6907,7959,86.8,1204,2409,50.0,36,34.1,38.5,1.9,292,1007,276,60,1305,2023,GE
Freiburg,12337,16023,77.0,223388,83596,5228,6120,85.4,5515,6445,85.6,1296,2579,50.3,32,32.4,34.7,-0.4,296,936,246,81,1208,2023,GE
Gladbach,13544,16946,79.9,232267,84618,6222,7073,88.0,5785,6704,86.3,1162,2210,52.6,43,35.5,37.3,7.5,374,801,261,83,1227,2023,GE
Heidenheim,10264,14339,71.6,206040,85936,3699,4713,78.5,4741,5858,80.9,1578,2863,55.1,34,27.5,30.0,6.5,279,730,201,73,983,2023,GE
Hoffenheim,13457,17038,79.0,240505,94518,5931,6757,87.8,5840,6864,85.1,1372,2563,53.5,47,39.9,42.6,7.1,346,1069,292,76,1359,2023,GE
Köln,11704,15411,75.9,209861,79468,4930,5779,85.3,5377,6369,84.4,1146,2378,48.2,17,27.2,30.9,-10.2,319,821,217,85,1086,2023,GE
Leverkusen,21192,24301,87.2,322890,106373,12041,12986,92.7,7316,8125,90.0,1249,1977,63.2,71,55.2,66.8,15.8,490,1716,457,72,1997,2023,GE
Mainz 05,10974,15120,72.6,201446,81453,4718,5730,82.3,4623,5826,79.4,1323,2702,49.0,31,32.0,35.2,-1.0,346,939,248,78,1169,2023,GE
RB Leipzig,16254,19590,83.0,282017,96743,6994,7859,89.0,7624,8554,89.1,1287,2207,58.3,53,47.7,52.2,5.3,404,1185,334,75,1541,2023,GE
Stuttgart,19201,22456,85.5,312129,108823,9516,10371,91.8,7721,8581,90.0,1352,2320,58.3,60,53.3,58.8,6.7,413,1338,356,80,1618,2023,GE
Union Berlin,11004,14784,74.4,204399,86273,4534,5371,84.4,4773,5802,82.3,1356,2658,51.0,23,25.0,28.4,-2.0,300,859,233,80,1146,2023,GE
Werder Bremen,12821,16418,78.1,237961,91530,5250,6169,85.1,5760,6739,85.5,1549,2676,57.9,33,35.6,38.2,-2.6,321,882,276,83,1172,2023,GE
Wolfsburg,13092,16624,78.8,232194,87396,5883,6706,87.7,5603,6605,84.8,1288,2422,53.2,27,28.5,38.6,-1.5,310,954,263,67,1235,2023,GE
Atalanta,16051,19961,80.4,281418,100413,7280,8321,87.5,6956,7989,87.1,1466,2642,55.5,57,43.9,38.8,13.1,437,1223,381,114,1754,2023,IT
Bologna,19125,22504,85.0,315900,100821,9408,10260,91.7,7744,8573,90.3,1415,2441,58.0,32,32.1,25.8,-0.1,356,1267,256,55,1453,2023,IT
Cagliari,10731,14709,73.0,205047,81881,4427,5206,85.0,4662,5786,80.6,1441,2966,48.6,30,29.1,25.0,0.9,330,863,260,125,1109,2023,IT
Empoli,11571,15348,75.4,210427,82600,4961,5759,86.1,5094,6059,84.1,1240,2680,46.3,19,25.8,24.1,-6.8,297,827,206,74,1056,2023,IT
Fiorentina,16180,19975,81.0,306932,103541,6368,7193,88.5,7511,8557,87.8,2004,3302,60.7,41,35.3,39.0,5.7,395,1327,374,103,1656,2023,IT
Frosinone,13740,17545,78.3,226596,87424,6769,7660,88.4,5457,6523,83.7,1085,2330,46.6,29,30.2,24.8,-1.2,350,962,279,69,1326,2023,IT
Genoa,12053,15765,76.5,219285,85245,5128,5934,86.4,5142,6121,84.0,1379,2710,50.9,27,22.8,24.0,4.2,300,865,223,75,1079,2023,IT
Hellas Verona,10639,14710,72.3,211949,86317,4116,5023,81.9,4666,5727,81.5,1618,3113,52.0,29,27.2,22.8,1.8,335,958,216,92,1122,2023,IT
Inter,19136,22447,85.2,332897,109819,8631,9446,91.4,8159,9056,90.1,1839,2800,65.7,60,55.6,50.7,4.4,440,1288,437,116,1620,2023,IT
Juventus,14757,18079,81.6,274823,94184,5963,6728,88.6,6820,7755,87.9,1727,2762,62.5,37,39.6,37.0,-2.6,417,1191,296,105,1473,2023,IT
Lazio,17462,21071,82.9,293219,101247,8440,9314,90.6,6970,7966,87.5,1557,2657,58.6,30,32.9,31.6,-2.9,331,1270,316,62,1528,2023,IT
Lecce,11742,15397,76.3,220284,81904,4700,5530,85.0,5225,6158,84.8,1487,2846,52.2,23,30.6,23.1,-7.6,378,895,211,87,1183,2023,IT
Milan,17656,20741,85.1,304243,102555,7905,8708,90.8,7904,8738,90.5,1438,2341,61.4,56,46.0,41.1,10.0,430,1213,338,94,1569,2023,IT
Monza,16734,19870,84.2,310386,98194,6742,7422,90.8,7969,8830,90.2,1771,2837,62.4,29,27.8,27.5,1.2,348,1087,251,92,1248,2023,IT
Napoli,19517,22942,85.1,335198,107611,9095,9898,91.9,8105,9121,88.9,1832,2884,63.5,36,42.9,38.4,-6.9,497,1507,398,84,1758,2023,IT
Roma,17066,20523,83.2,298380,99682,7660,8446,90.7,7615,8620,88.3,1474,2569,57.4,44,34.4,31.5,9.6,363,1217,315,87,1469,2023,IT
Salernitana,12124,15920,76.2,210672,79322,5624,6417,87.6,4851,5890,82.4,1233,2585,47.7,25,22.4,18.6,2.6,310,885,207,74,1119,2023,IT
Sassuolo,11978,15683,76.4,221423,83557,4986,5788,86.1,5295,6301,84.0,1385,2776,49.9,28,25.9,25.0,2.1,340,995,248,60,1301,2023,IT
Torino,14578,18229,80.0,257125,90455,6446,7271,88.7,6372,7364,86.5,1345,2609,51.6,29,30.1,29.2,-1.1,338,1028,277,101,1333,2023,IT
Udinese,9976,13300,75.0,185378,75887,4317,5066,85.2,4174,5111,81.7,1234,2396,51.5,23,28.0,23.8,-5.0,329,874,186,76,1022,2023,IT
