Squad,# Pl,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,season,country
Wolves,2,58,2,0,6,1,52.2,0.28,-4.8,-0.13,2022,EN
Almería,3,65,4,1,5,1,63.4,0.29,-0.6,-0.01,2022,SP
Athletic Club,2,43,3,1,1,3,37.2,0.29,-2.8,-0.07,2022,SP
Atlético Madrid,3,33,4,1,5,0,36.3,0.26,3.3,0.09,2022,SP
Barcelona,2,20,3,0,2,3,25.1,0.22,8.1,0.21,2022,SP
Betis,2,41,3,1,7,1,44.0,0.29,4.0,0.1,2022,SP
Cádiz,2,53,9,1,7,0,53.4,0.22,0.4,0.01,2022,SP
Celta Vigo,2,53,5,1,10,1,42.9,0.27,-9.1,-0.24,2022,SP
Elche,2,67,7,0,6,2,71.9,0.31,6.9,0.18,2022,SP
Espanyol,4,69,5,1,9,2,54.5,0.27,-12.5,-0.33,2022,SP
Getafe,1,45,4,0,7,2,45.5,0.23,2.5,0.07,2022,SP
Girona,2,55,6,2,5,0,62.0,0.33,7.0,0.18,2022,SP
Mallorca,3,43,6,0,3,0,41.5,0.24,-1.5,-0.04,2022,SP
Osasuna,2,42,1,1,3,2,39.1,0.26,-0.9,-0.02,2022,SP
Rayo Vallecano,2,53,4,0,11,4,45.9,0.3,-3.1,-0.08,2022,SP
Real Madrid,2,36,4,0,2,1,34.2,0.22,-0.8,-0.02,2022,SP
Real Sociedad,1,35,1,1,3,2,32.8,0.24,-0.2,0.0,2022,SP
Sevilla,2,54,2,1,5,3,49.5,0.3,-1.5,-0.04,2022,SP
Valencia,1,45,2,0,7,2,42.9,0.28,-0.1,0.0,2022,SP
Valladolid,3,63,6,1,0,1,62.6,0.28,0.6,0.02,2022,SP
Villarreal,3,40,4,0,4,1,43.7,0.27,4.7,0.12,2022,SP
Augsburg,2,63,1,2,4,2,63.4,0.31,2.4,0.07,2022,GE
Bayern Munich,3,38,9,1,2,0,40.8,0.3,2.8,0.08,2022,GE
Bochum,1,72,8,2,9,3,69.0,0.3,0.0,0.0,2022,GE
Dortmund,2,44,1,0,7,1,41.7,0.28,-1.3,-0.04,2022,GE
Eint Frankfurt,2,52,2,1,8,1,43.3,0.31,-7.7,-0.23,2022,GE
Freiburg,1,44,5,0,4,0,46.4,0.28,2.4,0.07,2022,GE
Gladbach,4,55,6,1,4,1,57.7,0.3,3.7,0.11,2022,GE
Hertha BSC,2,69,5,4,8,0,60.4,0.33,-8.6,-0.25,2022,GE
Hoffenheim,1,57,2,1,11,1,50.4,0.31,-5.6,-0.16,2022,GE
Köln,1,54,4,4,4,3,42.3,0.3,-8.7,-0.26,2022,GE
Leverkusen,2,49,7,1,5,2,42.7,0.25,-4.3,-0.13,2022,GE
Mainz 05,2,55,4,1,5,0,48.9,0.28,-6.1,-0.18,2022,GE
RB Leipzig,3,41,7,0,5,2,38.8,0.3,-0.2,-0.01,2022,GE
Schalke 04,2,71,5,1,7,1,58.2,0.28,-11.8,-0.35,2022,GE
Stuttgart,2,57,6,2,6,1,47.3,0.29,-8.7,-0.26,2022,GE
Union Berlin,2,38,7,0,6,0,44.2,0.26,6.2,0.18,2022,GE
Werder Bremen,2,64,2,0,6,2,55.1,0.29,-6.9,-0.2,2022,GE
Wolfsburg,1,48,4,0,5,3,43.9,0.27,-1.1,-0.03,2022,GE
Atalanta,3,48,3,1,5,2,41.3,0.25,-4.7,-0.12,2022,IT
Bologna,2,49,7,1,6,3,48.3,0.25,2.3,0.06,2022,IT
Cremonese,3,69,5,3,11,1,68.1,0.29,0.1,0.0,2022,IT
Empoli,3,49,4,0,10,1,48.6,0.28,0.6,0.01,2022,IT
Fiorentina,4,43,7,0,4,2,39.2,0.26,-1.8,-0.05,2022,IT
Hellas Verona,2,59,1,1,4,3,50.3,0.27,-5.7,-0.15,2022,IT
Inter,3,42,3,0,6,3,34.8,0.23,-4.2,-0.11,2022,IT
Juventus,2,33,4,0,6,0,37.1,0.24,4.1,0.11,2022,IT
Lazio,2,30,1,0,5,1,31.4,0.25,2.4,0.06,2022,IT
Lecce,1,46,5,2,6,3,43.2,0.24,0.2,0.01,2022,IT
Milan,3,43,4,3,6,1,37.2,0.26,-4.8,-0.13,2022,IT
Monza,2,52,3,1,4,1,50.3,0.28,-0.7,-0.02,2022,IT
Napoli,2,28,1,0,2,0,28.0,0.24,0.0,0.0,2022,IT
Roma,2,38,2,1,4,1,30.5,0.24,-6.5,-0.17,2022,IT
Salernitana,3,62,7,1,6,0,67.1,0.29,5.1,0.13,2022,IT
Sampdoria,3,71,8,0,10,2,58.2,0.23,-10.8,-0.28,2022,IT
Sassuolo,3,61,4,0,5,2,44.6,0.32,-14.4,-0.38,2022,IT
Spezia,4,62,5,1,8,3,52.1,0.25,-6.9,-0.18,2022,IT
Torino,1,41,5,0,6,0,35.8,0.23,-5.2,-0.14,2022,IT
Udinese,1,48,6,2,3,2,48.7,0.31,2.7,0.07,2022,IT
América (MG),4,81,5,3,6,3,73.3,0.32,-4.7,-0.12,2023,BR
Ath Paranaense,2,43,4,1,6,0,46.6,0.24,3.6,0.1,2023,BR
Atlético Mineiro,2,32,2,1,1,1,42.3,0.29,11.3,0.3,2023,BR
Bahia,3,53,6,1,4,1,60.1,0.29,8.1,0.21,2023,BR
Botafogo (RJ),2,37,0,0,2,1,49.9,0.3,13.9,0.37,2023,BR
Corinthians,2,48,6,0,8,1,56.2,0.27,9.2,0.24,2023,BR
Coritiba,3,73,9,2,11,2,63.1,0.25,-7.9,-0.21,2023,BR
Cruzeiro,2,32,2,2,3,0,42.4,0.29,10.4,0.27,2023,BR
Cuiabá,2,39,4,0,3,2,44.2,0.27,7.2,0.19,2023,BR
Flamengo,3,42,6,0,3,0,48.7,0.25,6.7,0.18,2023,BR
Fluminense,3,47,5,0,5,1,52.1,0.3,6.1,0.16,2023,BR
Fortaleza,3,44,3,0,10,2,44.4,0.25,2.4,0.06,2023,BR
Goiás,2,53,5,1,10,1,55.2,0.3,3.2,0.08,2023,BR
Grêmio,4,56,5,0,9,1,59.5,0.3,4.5,0.12,2023,BR
Internacional,3,45,6,2,5,1,51.7,0.28,7.7,0.2,2023,BR
Palmeiras,2,33,4,1,3,1,40.4,0.25,8.4,0.22,2023,BR
Red Bull Bragantino,2,35,7,0,4,1,43.9,0.28,9.9,0.26,2023,BR
Santos,2,64,4,2,9,3,59.5,0.28,-1.5,-0.04,2023,BR
São Paulo,2,38,8,1,1,1,43.3,0.27,6.3,0.17,2023,BR
Vasco da Gama,1,51,4,2,5,0,52.9,0.27,1.9,0.05,2023,BR
Arsenal,2,29,2,1,6,1,24.1,0.26,-3.9,-0.1,2023,EN
Aston Villa,2,61,1,1,10,4,61.9,0.36,4.9,0.13,2023,EN
Bournemouth,3,67,6,1,6,1,63.2,0.3,-2.8,-0.07,2023,EN
Brentford,2,65,2,0,6,0,57.0,0.3,-8.0,-0.21,2023,EN
Brighton,2,62,6,1,8,2,51.1,0.28,-8.9,-0.23,2023,EN
Burnley,2,78,6,0,11,3,75.8,0.29,0.8,0.02,2023,EN
Chelsea,2,63,3,0,8,3,52.5,0.27,-7.5,-0.2,2023,EN
Crystal Palace,3,58,3,0,7,2,47.5,0.29,-8.5,-0.22,2023,EN
Everton,1,51,8,0,9,3,52.4,0.28,4.4,0.12,2023,EN
Fulham,1,61,8,2,3,4,55.7,0.26,-1.3,-0.03,2023,EN
Liverpool,2,41,1,0,7,2,40.0,0.27,1.0,0.03,2023,EN
Luton Town,2,85,4,0,13,4,77.7,0.34,-3.3,-0.09,2023,EN
Manchester City,2,34,3,0,3,1,36.2,0.31,3.2,0.08,2023,EN
Manchester Utd,1,58,7,1,11,1,59.1,0.27,2.1,0.06,2023,EN
Newcastle Utd,3,62,4,1,8,1,61.0,0.29,0.0,0.0,2023,EN
Nott'ham Forest,3,67,4,1,15,2,47.2,0.27,-17.8,-0.47,2023,EN
Sheffield Utd,2,104,5,0,12,7,85.2,0.31,-11.8,-0.31,2023,EN
Tottenham,1,61,7,1,8,3,60.0,0.32,2.0,0.05,2023,EN
West Ham,2,74,8,0,6,4,72.0,0.26,2.0,0.05,2023,EN
Wolves,2,65,8,1,7,1,71.7,0.32,7.7,0.2,2023,EN
Alavés,2,46,8,0,4,2,44.8,0.25,0.8,0.02,2023,SP
Almería,3,75,6,0,8,0,70.3,0.32,-4.7,-0.12,2023,SP
Athletic Club,2,37,1,0,2,4,40.4,0.28,7.4,0.2,2023,SP
Atlético Madrid,1,43,1,0,3,0,39.8,0.28,-3.2,-0.08,2023,SP
Barcelona,2,44,2,0,1,0,41.6,0.28,-2.4,-0.06,2023,SP
Betis,3,45,7,3,3,3,47.5,0.26,5.5,0.15,2023,SP
Cádiz,2,55,2,0,6,1,51.7,0.3,-2.3,-0.06,2023,SP
Celta Vigo,2,57,6,0,7,3,56.0,0.31,2.0,0.05,2023,SP
Getafe,2,54,5,0,7,0,55.2,0.29,1.2,0.03,2023,SP
Girona,1,46,5,0,8,0,51.1,0.28,5.1,0.13,2023,SP
Granada,4,79,5,0,12,2,70.2,0.33,-6.8,-0.18,2023,SP
Las Palmas,2,47,5,0,5,3,51.2,0.29,7.2,0.19,2023,SP
Mallorca,3,44,4,1,4,1,43.6,0.26,0.6,0.02,2023,SP
Osasuna,2,56,1,0,8,0,51.8,0.33,-4.2,-0.11,2023,SP
Rayo Vallecano,2,48,1,1,5,2,47.8,0.31,1.8,0.05,2023,SP
Real Madrid,3,26,1,0,2,1,34.4,0.29,9.4,0.25,2023,SP
Real Sociedad,2,39,6,0,5,1,40.8,0.27,2.8,0.07,2023,SP
Sevilla,3,54,5,1,4,2,53.5,0.28,1.5,0.04,2023,SP
Valencia,3,45,3,1,7,2,51.4,0.29,8.4,0.22,2023,SP
Villarreal,2,65,6,1,9,1,61.7,0.27,-2.3,-0.06,2023,SP
Augsburg,2,60,7,0,12,2,56.0,0.26,-2.0,-0.06,2023,GE
Bayern Munich,3,45,3,2,3,0,41.0,0.3,-4.0,-0.12,2023,GE
Bochum,2,74,9,0,9,4,62.3,0.28,-7.7,-0.23,2023,GE
Darmstadt 98,2,86,1,2,9,2,74.3,0.34,-9.7,-0.29,2023,GE
Dortmund,2,43,5,0,9,2,44.6,0.28,3.6,0.1,2023,GE
Eint Frankfurt,2,50,9,0,4,0,49.7,0.27,-0.3,-0.01,2023,GE
Freiburg,1,58,3,1,5,1,50.0,0.3,-7.0,-0.21,2023,GE
Gladbach,2,67,6,0,7,0,58.4,0.26,-8.6,-0.25,2023,GE
Heidenheim,1,55,7,0,7,3,53.6,0.27,1.6,0.05,2023,GE
Hoffenheim,1,66,2,3,9,1,68.6,0.31,3.6,0.11,2023,GE
Köln,1,60,3,0,10,0,62.0,0.36,2.0,0.06,2023,GE
Leverkusen,2,24,0,0,4,0,27.9,0.27,3.9,0.11,2023,GE
Mainz 05,2,51,3,2,2,1,51.7,0.34,1.7,0.05,2023,GE
RB Leipzig,2,39,4,1,8,1,35.6,0.27,-2.4,-0.07,2023,GE
Stuttgart,2,39,3,0,6,3,35.8,0.26,-0.2,-0.01,2023,GE
Union Berlin,2,58,5,2,7,1,52.9,0.28,-4.1,-0.12,2023,GE
Werder Bremen,2,54,6,0,5,1,54.1,0.3,1.1,0.03,2023,GE
Wolfsburg,2,56,2,2,4,3,47.8,0.31,-5.2,-0.15,2023,GE
Atalanta,3,42,6,0,4,1,39.8,0.23,-1.2,-0.03,2023,IT
Bologna,3,32,3,2,3,1,32.1,0.23,1.1,0.03,2023,IT
Cagliari,3,68,4,3,10,3,56.2,0.34,-8.8,-0.23,2023,IT
Empoli,3,54,6,0,10,1,48.9,0.22,-4.1,-0.11,2023,IT
Fiorentina,3,46,8,3,5,0,46.2,0.26,0.2,0.01,2023,IT
Frosinone,2,69,5,0,11,2,53.4,0.27,-13.6,-0.36,2023,IT
Genoa,3,45,3,1,4,1,41.6,0.28,-2.4,-0.06,2023,IT
Hellas Verona,2,51,2,0,6,1,43.5,0.26,-6.5,-0.17,2023,IT
Inter,3,22,2,0,3,0,29.2,0.23,7.2,0.19,2023,IT
Juventus,3,31,2,0,4,2,30.1,0.24,1.1,0.03,2023,IT
Lazio,2,39,2,0,3,0,38.3,0.24,-0.7,-0.02,2023,IT
Lecce,1,54,5,1,7,1,53.2,0.28,0.2,0.01,2023,IT
Milan,4,49,8,2,4,1,42.7,0.22,-5.3,-0.14,2023,IT
Monza,2,51,7,1,6,0,59.8,0.27,8.8,0.23,2023,IT
Napoli,3,48,2,1,6,0,46.1,0.33,-1.9,-0.05,2023,IT
Roma,2,46,3,0,5,3,43.6,0.26,0.6,0.02,2023,IT
Salernitana,3,81,10,0,9,2,68.1,0.29,-10.9,-0.29,2023,IT
Sassuolo,2,75,8,2,8,4,56.9,0.28,-14.1,-0.37,2023,IT
Torino,2,36,7,0,4,0,37.3,0.22,1.3,0.04,2023,IT
Udinese,2,53,9,2,5,1,49.6,0.26,-2.4,-0.06,2023,IT
