Squad,# Pl,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,season,country
Werder Bremen,2,69,1,1,11,3,50.5,0.29,-15.5,-0.46,2019,GE
Wolfsburg,2,46,5,1,4,0,45.7,0.29,-0.3,-0.01,2019,GE
Atalanta,3,48,6,2,4,3,41.9,0.26,-3.1,-0.08,2019,IT
Bologna,2,65,6,2,6,1,54.1,0.26,-9.9,-0.26,2019,IT
Brescia,3,79,9,1,9,3,69.0,0.26,-7.0,-0.19,2019,IT
Cagliari,3,56,7,0,3,3,52.3,0.23,-0.7,-0.02,2019,IT
Fiorentina,3,48,9,2,5,0,50.2,0.25,2.2,0.06,2019,IT
Genoa,2,73,7,3,7,2,65.8,0.29,-5.2,-0.14,2019,IT
Hellas Verona,2,51,9,2,7,1,51.1,0.25,1.1,0.03,2019,IT
Inter,2,36,3,0,5,1,33.0,0.25,-2.0,-0.05,2019,IT
Juventus,3,43,9,1,3,0,44.7,0.22,1.7,0.04,2019,IT
Lazio,1,42,7,1,7,1,44.4,0.24,3.4,0.09,2019,IT
Lecce,2,85,11,1,10,3,79.1,0.27,-2.9,-0.08,2019,IT
Milan,3,46,5,1,4,1,45.6,0.24,0.6,0.02,2019,IT
Napoli,2,50,7,1,4,1,42.6,0.26,-6.4,-0.17,2019,IT
Parma,2,57,7,1,10,0,61.0,0.25,4.0,0.11,2019,IT
Roma,3,51,9,1,5,0,53.4,0.28,2.4,0.06,2019,IT
Sampdoria,2,65,8,0,10,4,53.5,0.26,-7.5,-0.2,2019,IT
Sassuolo,3,63,8,1,9,4,54.7,0.26,-4.3,-0.11,2019,IT
SPAL,3,77,7,3,4,3,67.5,0.26,-6.5,-0.17,2019,IT
Torino,3,68,10,3,7,3,61.9,0.25,-3.1,-0.08,2019,IT
Udinese,1,51,8,2,4,0,52.1,0.22,1.1,0.03,2019,IT
Ath Paranaense,3,36,3,0,7,2,45.7,0.27,11.7,0.31,2020,BR
Atl Goianiense,2,45,6,0,2,1,46.7,0.26,2.7,0.07,2020,BR
Atlético Mineiro,3,45,2,0,4,0,47.4,0.33,2.4,0.06,2020,BR
Bahia,3,59,5,2,9,0,55.8,0.3,-3.2,-0.08,2020,BR
Botafogo (RJ),4,62,9,1,2,1,60.6,0.28,-0.4,-0.01,2020,BR
Ceará,2,51,10,1,5,0,54.0,0.25,3.0,0.08,2020,BR
Corinthians,2,45,4,2,5,1,47.6,0.26,3.6,0.1,2020,BR
Coritiba,2,54,7,0,5,3,59.4,0.28,8.4,0.22,2020,BR
Flamengo,4,48,3,2,7,2,38.4,0.25,-7.6,-0.2,2020,BR
Fluminense,2,42,5,0,2,1,45.2,0.31,4.2,0.11,2020,BR
Fortaleza,2,44,4,2,4,1,46.6,0.27,3.6,0.09,2020,BR
Goiás,2,63,5,0,10,2,62.7,0.28,1.7,0.04,2020,BR
Grêmio,3,40,10,0,5,0,42.8,0.25,2.8,0.07,2020,BR
Internacional,3,35,4,1,5,1,31.4,0.27,-2.6,-0.07,2020,BR
Palmeiras,3,37,5,2,4,2,40.1,0.26,5.1,0.13,2020,BR
Red Bull Bragantino,2,40,6,0,6,1,42.0,0.27,3.0,0.08,2020,BR
Santos,3,51,10,0,14,0,51.6,0.27,0.6,0.02,2020,BR
São Paulo,1,41,0,2,6,0,39.3,0.26,-1.7,-0.04,2020,BR
Sport Recife,2,50,5,1,8,4,53.8,0.26,7.8,0.2,2020,BR
Vasco da Gama,2,56,8,3,6,0,54.5,0.25,-1.5,-0.04,2020,BR
Arsenal,3,39,2,0,3,4,36.0,0.26,1.0,0.03,2020,EN
Aston Villa,1,46,5,2,4,1,49.2,0.24,4.2,0.11,2020,EN
Brighton,2,46,6,0,8,2,35.9,0.24,-8.1,-0.21,2020,EN
Burnley,3,55,3,0,8,1,49.1,0.26,-4.9,-0.13,2020,EN
Chelsea,3,36,3,1,5,1,31.4,0.26,-3.6,-0.1,2020,EN
Crystal Palace,2,66,3,1,9,0,51.2,0.28,-14.8,-0.39,2020,EN
Everton,3,48,3,1,5,1,47.8,0.28,0.8,0.02,2020,EN
Fulham,2,53,7,0,3,1,54.5,0.29,2.5,0.07,2020,EN
Leeds United,2,54,8,1,11,2,49.9,0.21,-2.1,-0.06,2020,EN
Leicester City,1,50,4,0,9,2,42.2,0.29,-5.8,-0.15,2020,EN
Liverpool,3,42,4,1,6,0,43.9,0.29,1.9,0.05,2020,EN
Manchester City,3,32,8,0,3,1,32.0,0.23,1.0,0.03,2020,EN
Manchester Utd,2,44,4,1,9,2,39.3,0.25,-2.7,-0.07,2020,EN
Newcastle Utd,2,62,4,1,4,3,53.8,0.26,-5.2,-0.14,2020,EN
Sheffield Utd,1,63,3,0,8,3,54.3,0.26,-5.7,-0.15,2020,EN
Southampton,2,68,8,1,3,1,56.2,0.27,-10.8,-0.28,2020,EN
Tottenham,1,45,10,0,3,3,45.6,0.24,3.6,0.1,2020,EN
West Brom,2,76,7,2,8,3,68.0,0.25,-5.0,-0.13,2020,EN
West Ham,2,47,3,0,7,4,42.0,0.27,-1.0,-0.03,2020,EN
Wolves,2,52,7,1,9,3,46.2,0.25,-2.8,-0.07,2020,EN
Alavés,2,57,3,0,5,0,51.1,0.35,-5.9,-0.15,2020,SP
Athletic Club,2,42,5,1,6,1,37.4,0.29,-3.6,-0.09,2020,SP
Atlético Madrid,1,25,1,0,5,3,33.1,0.25,11.1,0.29,2020,SP
Barcelona,2,38,5,1,5,2,36.0,0.24,0.0,0.0,2020,SP
Betis,2,50,8,1,4,3,46.8,0.28,-0.2,0.0,2020,SP
Cádiz,3,58,9,2,4,1,53.8,0.3,-3.2,-0.09,2020,SP
Celta Vigo,2,57,7,2,4,1,49.7,0.32,-6.3,-0.17,2020,SP
Eibar,2,52,3,0,5,0,47.5,0.33,-4.5,-0.12,2020,SP
Elche,2,55,6,0,6,1,58.8,0.32,4.8,0.13,2020,SP
Getafe,2,43,7,0,3,3,39.7,0.29,-0.3,-0.01,2020,SP
Granada,3,65,6,2,4,1,61.9,0.31,-2.1,-0.05,2020,SP
Huesca,2,53,5,1,10,2,48.2,0.29,-2.8,-0.07,2020,SP
Levante,3,57,3,1,6,2,50.0,0.29,-5.0,-0.13,2020,SP
Osasuna,3,48,5,0,5,2,47.0,0.3,1.0,0.03,2020,SP
Real Madrid,1,28,7,0,3,1,32.7,0.22,5.7,0.15,2020,SP
Real Sociedad,1,38,3,0,4,1,35.0,0.3,-2.0,-0.05,2020,SP
Sevilla,2,33,4,0,4,2,33.5,0.24,2.5,0.07,2020,SP
Valencia,2,53,5,3,5,2,48.2,0.24,-2.8,-0.07,2020,SP
Valladolid,2,57,6,1,5,0,53.4,0.3,-3.6,-0.1,2020,SP
Villarreal,2,44,7,0,3,2,38.7,0.25,-3.3,-0.09,2020,SP
Arminia,1,52,5,0,5,1,54.1,0.29,3.1,0.09,2020,GE
Augsburg,1,54,6,0,2,3,53.2,0.26,2.2,0.07,2020,GE
Bayern Munich,2,44,1,0,6,0,45.4,0.35,1.4,0.04,2020,GE
Dortmund,2,46,6,0,7,1,43.4,0.28,-1.6,-0.05,2020,GE
Eint Frankfurt,2,53,4,1,5,2,45.4,0.26,-5.6,-0.17,2020,GE
Freiburg,2,52,4,2,3,2,52.6,0.28,2.6,0.08,2020,GE
Gladbach,2,56,6,0,6,0,45.0,0.26,-11.0,-0.32,2020,GE
Hertha BSC,2,52,7,1,4,1,46.9,0.28,-4.1,-0.12,2020,GE
Hoffenheim,2,54,6,1,4,2,53.5,0.32,1.5,0.04,2020,GE
Köln,2,60,8,1,5,0,54.9,0.29,-5.1,-0.15,2020,GE
Leverkusen,3,39,1,1,0,2,37.9,0.33,0.9,0.03,2020,GE
Mainz 05,2,56,6,1,4,1,49.5,0.27,-5.5,-0.16,2020,GE
RB Leipzig,2,32,3,0,2,0,27.7,0.3,-4.3,-0.13,2020,GE
Schalke 04,3,86,7,1,17,5,69.8,0.28,-11.2,-0.33,2020,GE
Stuttgart,2,55,5,1,3,1,55.3,0.3,1.3,0.04,2020,GE
Union Berlin,2,43,4,0,5,2,40.7,0.27,-0.3,-0.01,2020,GE
Werder Bremen,1,57,4,0,7,3,48.7,0.28,-5.3,-0.16,2020,GE
Wolfsburg,2,37,3,1,4,1,36.1,0.26,0.1,0.0,2020,GE
Atalanta,2,47,5,0,5,1,42.3,0.31,-3.7,-0.1,2020,IT
Benevento,2,75,4,0,9,6,63.2,0.34,-5.8,-0.15,2020,IT
Bologna,3,65,7,2,9,2,63.3,0.3,0.3,0.01,2020,IT
Cagliari,2,59,5,1,9,0,59.1,0.27,0.1,0.0,2020,IT
Crotone,3,92,5,2,9,2,73.4,0.32,-16.6,-0.44,2020,IT
Fiorentina,2,59,8,1,11,2,59.3,0.32,2.3,0.06,2020,IT
Genoa,3,58,7,0,6,2,59.1,0.29,3.1,0.08,2020,IT
Hellas Verona,3,48,6,1,7,2,41.5,0.25,-4.5,-0.12,2020,IT
Inter,3,35,5,1,3,1,33.3,0.23,-0.7,-0.02,2020,IT
Juventus,3,38,6,1,4,2,36.4,0.23,0.4,0.01,2020,IT
Lazio,2,55,10,0,7,2,50.2,0.27,-2.8,-0.07,2020,IT
Milan,2,41,3,2,8,1,38.1,0.27,-1.9,-0.05,2020,IT
Napoli,2,41,5,1,3,1,40.1,0.29,0.1,0.0,2020,IT
Parma,2,83,3,0,10,3,61.2,0.31,-18.8,-0.49,2020,IT
Roma,3,55,5,2,5,3,46.8,0.25,-5.2,-0.14,2020,IT
Sampdoria,2,54,7,1,6,1,52.1,0.25,-0.9,-0.02,2020,IT
Sassuolo,2,56,4,0,4,1,53.8,0.27,-1.2,-0.03,2020,IT
Spezia,3,72,9,1,6,0,63.8,0.31,-8.2,-0.22,2020,IT
Torino,3,69,9,1,6,0,56.0,0.3,-13.0,-0.34,2020,IT
Udinese,4,58,14,2,2,0,56.4,0.27,-1.6,-0.04,2020,IT
América (MG),2,37,3,1,1,0,42.9,0.25,5.9,0.16,2021,BR
Ath Paranaense,2,45,5,0,6,2,42.1,0.26,-0.9,-0.02,2021,BR
Atl Goianiense,3,36,4,0,2,1,38.1,0.21,3.1,0.08,2021,BR
Atlético Mineiro,2,34,3,1,7,2,33.6,0.26,1.6,0.04,2021,BR
Bahia,3,51,9,2,6,0,47.1,0.25,-3.9,-0.1,2021,BR
Ceará,3,38,3,1,6,1,42.7,0.28,5.7,0.15,2021,BR
Chapecoense,3,67,8,0,8,1,59.6,0.26,-6.4,-0.17,2021,BR
Corinthians,2,36,3,1,3,0,37.8,0.23,1.8,0.05,2021,BR
Cuiabá,2,37,1,1,4,0,39.8,0.25,2.8,0.07,2021,BR
Flamengo,3,36,0,0,4,0,38.8,0.27,2.8,0.07,2021,BR
Fluminense,2,38,9,1,6,2,41.0,0.22,5.0,0.13,2021,BR
Fortaleza,2,45,7,1,4,2,44.6,0.25,1.6,0.04,2021,BR
Grêmio,3,51,4,3,3,1,47.7,0.27,-2.3,-0.06,2021,BR
Internacional,2,42,5,2,4,2,49.2,0.28,9.2,0.24,2021,BR
Juventude,2,44,4,2,6,2,39.2,0.28,-2.8,-0.07,2021,BR
Palmeiras,3,43,4,2,3,0,45.7,0.26,2.7,0.07,2021,BR
Red Bull Bragantino,2,46,3,1,4,1,48.6,0.27,3.6,0.1,2021,BR
Santos,3,40,6,0,6,1,48.9,0.26,9.9,0.26,2021,BR
São Paulo,1,39,0,1,5,1,42.2,0.28,4.2,0.11,2021,BR
Sport Recife,2,37,5,0,7,3,42.9,0.21,8.9,0.23,2021,BR
Arsenal,2,48,5,0,3,1,47.6,0.29,0.6,0.02,2021,EN
Aston Villa,3,54,4,2,5,2,46.5,0.29,-5.5,-0.14,2021,EN
Brentford,3,56,5,1,8,2,49.4,0.25,-4.6,-0.12,2021,EN
Brighton,2,44,3,1,6,0,42.5,0.28,-1.5,-0.04,2021,EN
Burnley,2,53,5,1,7,2,47.5,0.25,-3.5,-0.09,2021,EN
Chelsea,2,33,6,0,2,1,31.6,0.22,-0.4,-0.01,2021,EN
Crystal Palace,2,46,3,2,11,2,38.5,0.24,-5.5,-0.14,2021,EN
Everton,2,66,2,2,13,5,55.9,0.29,-5.1,-0.13,2021,EN
Leeds United,2,79,5,3,10,1,62.4,0.26,-15.6,-0.41,2021,EN
Leicester City,2,59,7,1,15,1,56.9,0.26,-1.1,-0.03,2021,EN
Liverpool,2,26,0,0,3,1,26.6,0.26,1.6,0.04,2021,EN
Manchester City,2,26,1,0,1,0,25.8,0.29,-0.2,-0.01,2021,EN
Manchester Utd,1,57,3,0,4,3,55.1,0.29,1.1,0.03,2021,EN
Newcastle Utd,3,62,5,0,8,2,52.3,0.29,-7.7,-0.2,2021,EN
Norwich City,2,84,9,1,9,2,67.6,0.27,-14.4,-0.38,2021,EN
Southampton,3,67,2,0,12,2,57.2,0.31,-7.8,-0.21,2021,EN
Tottenham,1,40,2,1,5,1,37.6,0.26,-1.4,-0.04,2021,EN
Watford,2,77,6,1,6,3,60.3,0.29,-13.7,-0.36,2021,EN
West Ham,2,51,2,2,8,2,48.0,0.27,-1.0,-0.03,2021,EN
Wolves,2,43,9,1,2,1,49.3,0.25,7.3,0.19,2021,EN
Alavés,3,65,6,0,10,0,58.5,0.3,-6.5,-0.17,2021,SP
Athletic Club,2,36,3,0,2,1,36.9,0.26,1.9,0.05,2021,SP
Atlético Madrid,1,43,7,2,4,3,32.3,0.23,-7.7,-0.2,2021,SP
Barcelona,2,38,2,1,7,0,34.1,0.26,-3.9,-0.1,2021,SP
Betis,2,40,3,0,3,2,39.1,0.27,1.1,0.03,2021,SP
Cádiz,1,51,11,0,10,0,52.8,0.24,1.8,0.05,2021,SP
Celta Vigo,1,43,4,0,1,2,43.3,0.27,2.3,0.06,2021,SP
Elche,2,52,7,0,6,0,54.5,0.27,2.5,0.07,2021,SP
Espanyol,3,53,4,0,4,2,53.6,0.3,2.6,0.07,2021,SP
Getafe,2,41,2,0,5,1,40.9,0.29,0.9,0.02,2021,SP
Granada,2,61,7,0,7,2,60.2,0.27,1.2,0.03,2021,SP
Levante,4,76,5,1,13,0,65.9,0.3,-10.1,-0.27,2021,SP
Mallorca,4,63,6,1,5,4,53.8,0.3,-5.2,-0.14,2021,SP
Osasuna,2,51,4,0,11,2,49.1,0.29,0.1,0.0,2021,SP
Rayo Vallecano,2,50,7,0,4,1,49.7,0.25,0.7,0.02,2021,SP
Real Madrid,2,31,3,1,2,0,37.0,0.25,6.0,0.16,2021,SP
Real Sociedad,2,37,5,1,8,0,35.5,0.24,-1.5,-0.04,2021,SP
Sevilla,3,30,2,2,6,0,31.3,0.24,1.3,0.03,2021,SP
Valencia,3,53,7,0,7,3,54.1,0.29,4.1,0.11,2021,SP
Villarreal,2,37,4,0,3,1,37.1,0.26,1.1,0.03,2021,SP
Arminia,2,53,7,1,6,2,56.9,0.28,5.9,0.17,2021,GE
Augsburg,1,56,5,1,2,2,52.3,0.31,-1.7,-0.05,2021,GE
Bayern Munich,3,37,2,1,2,1,32.6,0.27,-3.4,-0.1,2021,GE
Bochum,2,52,5,1,4,4,49.9,0.27,1.9,0.06,2021,GE
Dortmund,3,52,6,2,6,2,46.9,0.31,-3.1,-0.09,2021,GE
Eint Frankfurt,3,49,4,0,3,1,52.4,0.3,4.4,0.13,2021,GE
Freiburg,2,46,2,1,5,1,42.7,0.27,-2.3,-0.07,2021,GE
Gladbach,2,61,3,1,5,0,57.3,0.29,-3.7,-0.11,2021,GE
Greuther Fürth,3,82,6,1,12,5,66.9,0.33,-10.1,-0.3,2021,GE
Hertha BSC,2,71,8,1,10,0,56.0,0.29,-15.0,-0.44,2021,GE
Hoffenheim,2,60,2,0,9,1,53.2,0.32,-5.8,-0.17,2021,GE
Köln,2,49,0,2,6,2,51.1,0.33,4.1,0.12,2021,GE
