Squad,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,season,country
Sampdoria,94,4,1,495,513,82,645,443,327,3,4,2,2044,609,506,54.6,2021,IT
Sassuolo,92,4,2,461,479,43,541,314,271,6,9,1,1926,343,404,45.9,2021,IT
Spezia,88,4,1,508,439,77,534,372,343,4,13,3,1994,530,589,47.4,2021,IT
Torino,89,3,2,636,460,84,663,423,314,4,11,0,2113,781,891,46.7,2021,IT
Udinese,95,6,3,564,461,78,519,351,350,4,7,1,2027,453,534,45.9,2021,IT
Venezia,110,9,2,522,457,61,585,388,352,5,12,2,1942,564,583,49.2,2021,IT
América (MG),86,5,2,577,435,60,783,400,316,4,5,1,2055,616,612,50.2,2022,BR
Ath Paranaense,92,4,2,537,418,56,612,411,351,7,4,1,1895,471,597,44.1,2022,BR
Atl Goianiense,100,6,1,483,410,56,765,341,331,2,3,2,1800,596,535,52.7,2022,BR
Atlético Mineiro,90,0,0,498,488,57,789,338,398,3,7,0,1959,474,471,50.2,2022,BR
Avaí,104,4,2,533,564,55,646,337,360,10,10,1,1891,510,588,46.4,2022,BR
Botafogo (RJ),97,4,2,531,536,51,618,428,359,3,5,1,1893,590,583,50.3,2022,BR
Ceará,126,10,3,561,576,68,806,361,306,6,7,0,1768,672,528,56.0,2022,BR
Corinthians,77,3,1,435,422,47,613,379,355,2,6,1,1857,500,487,50.7,2022,BR
Coritiba,110,11,3,478,495,56,782,359,382,4,6,1,1808,498,535,48.2,2022,BR
Cuiabá,83,6,4,488,448,50,839,356,346,4,6,1,1847,664,592,52.9,2022,BR
Flamengo,84,4,1,505,528,51,780,345,394,6,5,1,1943,467,397,54.1,2022,BR
Fluminense,80,9,3,431,545,59,713,299,311,4,3,1,1785,376,428,46.8,2022,BR
Fortaleza,85,4,2,559,458,68,658,404,364,5,5,2,2033,615,580,51.5,2022,BR
Goiás,114,5,3,575,465,55,641,369,354,4,9,0,1694,629,617,50.5,2022,BR
Internacional,86,2,1,465,495,49,664,411,392,7,5,0,1840,462,502,47.9,2022,BR
Juventude,109,8,2,538,485,49,766,381,354,2,9,3,1795,511,586,46.6,2022,BR
Palmeiras,75,3,1,457,504,92,882,382,346,5,3,2,1969,532,522,50.5,2022,BR
Red Bull Bragantino,86,6,0,536,449,58,830,374,369,4,11,2,1958,523,581,47.4,2022,BR
Santos,100,3,1,509,549,56,730,358,351,3,7,1,1870,539,573,48.5,2022,BR
São Paulo,103,6,3,519,426,66,787,290,358,3,8,0,1765,563,494,53.3,2022,BR
Arsenal,51,0,0,373,435,56,674,237,343,3,5,1,1984,486,559,46.5,2022,EN
Aston Villa,80,1,0,417,498,58,561,324,338,4,6,4,1847,442,465,48.7,2022,EN
Bournemouth,68,0,0,391,365,38,509,353,371,0,7,3,1942,521,539,49.2,2022,EN
Brentford,57,1,1,354,399,72,661,341,338,7,2,3,1959,664,617,51.8,2022,EN
Brighton,58,0,0,427,407,70,694,303,340,4,8,6,2013,444,387,53.4,2022,EN
Chelsea,81,3,2,397,462,74,693,341,445,3,1,3,2024,493,453,52.1,2022,EN
Crystal Palace,82,3,2,446,479,58,591,359,421,2,4,3,2093,496,578,46.2,2022,EN
Everton,81,2,1,396,382,64,704,390,424,3,6,0,2049,582,613,48.7,2022,EN
Fulham,80,1,0,411,405,60,769,340,350,8,8,2,1979,511,550,48.2,2022,EN
Leeds United,89,3,2,467,405,60,653,392,480,2,6,1,2206,586,607,49.1,2022,EN
Leicester City,63,2,2,410,397,83,496,367,412,5,5,5,2013,512,558,47.9,2022,EN
Liverpool,57,1,0,405,321,84,799,333,370,3,4,2,2211,482,455,51.4,2022,EN
Manchester City,44,1,0,347,384,51,742,223,272,9,3,1,1866,438,364,54.6,2022,EN
Manchester Utd,78,2,0,424,297,79,517,352,400,2,3,1,2190,465,434,51.7,2022,EN
Newcastle Utd,61,1,0,406,399,71,740,333,360,2,5,2,2065,552,426,56.4,2022,EN
Nott'ham Forest,84,0,0,445,390,67,530,349,387,3,9,0,1902,560,600,48.3,2022,EN
Southampton,73,0,0,430,378,57,613,427,426,3,3,5,2130,551,611,47.4,2022,EN
Tottenham,77,3,1,424,353,67,719,340,353,5,4,1,1984,549,474,53.7,2022,EN
West Ham,44,0,0,362,316,62,768,408,336,6,6,1,2023,620,587,51.4,2022,EN
Wolves,85,6,1,463,389,62,661,279,370,1,4,1,2052,465,542,46.2,2022,EN
Almería,98,4,2,443,401,83,605,322,322,2,6,1,1890,482,530,47.6,2022,SP
Athletic Club,81,5,1,512,421,96,918,310,369,3,3,3,2194,532,487,52.2,2022,SP
Atlético Madrid,92,8,3,440,418,79,625,304,408,0,5,0,1977,445,399,52.7,2022,SP
Barcelona,84,6,3,433,452,98,744,253,324,0,3,3,1995,467,359,56.5,2022,SP
Betis,83,15,3,414,535,74,514,364,421,4,3,1,1918,453,502,47.4,2022,SP
Cádiz,116,7,4,532,482,75,633,270,410,2,10,0,1953,606,651,48.2,2022,SP
Celta Vigo,85,6,3,469,493,81,705,368,413,2,8,1,2031,458,539,45.9,2022,SP
Elche,99,12,3,525,394,81,750,323,363,4,10,2,1924,484,465,51.0,2022,SP
Espanyol,99,10,4,457,493,62,713,338,379,3,6,2,1791,647,596,52.1,2022,SP
Getafe,126,9,6,600,437,79,649,320,339,3,8,2,1871,714,697,50.6,2022,SP
Girona,92,3,2,440,507,87,713,266,321,7,8,0,1836,428,435,49.6,2022,SP
Mallorca,120,5,0,611,457,77,635,318,344,4,7,0,1833,674,629,51.7,2022,SP
Osasuna,93,7,1,544,410,60,794,315,328,5,4,2,1930,613,628,49.4,2022,SP
Rayo Vallecano,90,6,2,544,490,98,832,309,393,2,5,4,2085,437,527,45.3,2022,SP
Real Madrid,72,3,2,367,530,89,574,296,353,8,5,1,1843,339,231,59.5,2022,SP
Real Sociedad,90,2,0,621,452,91,538,271,395,4,2,2,2018,664,557,54.4,2022,SP
Sevilla,121,13,4,474,460,106,827,339,367,4,3,3,1973,497,475,51.1,2022,SP
Valencia,93,8,3,504,510,80,924,288,428,6,5,2,2015,492,561,46.7,2022,SP
Valladolid,94,6,2,460,516,98,683,345,396,4,10,1,1966,471,617,43.3,2022,SP
Villarreal,91,4,2,450,482,87,520,262,370,5,4,1,1819,357,375,48.8,2022,SP
Augsburg,96,5,2,433,356,58,548,286,299,3,4,2,1792,640,777,45.2,2022,GE
Bayern Munich,49,3,2,306,335,84,603,287,387,5,10,0,2085,471,381,55.3,2022,GE
Bochum,64,1,0,429,354,66,568,337,386,3,14,3,1991,770,737,51.1,2022,GE
Dortmund,66,0,0,322,407,41,677,298,334,6,1,1,1958,425,364,53.9,2022,GE
Eint Frankfurt,71,1,1,429,377,70,616,284,357,6,2,1,2088,467,555,45.7,2022,GE
Freiburg,62,2,1,404,424,57,547,325,289,7,6,0,1754,743,686,52.0,2022,GE
Gladbach,62,3,1,338,447,72,441,267,275,3,6,1,1718,415,419,49.8,2022,GE
Hertha BSC,82,1,1,422,394,58,516,366,344,4,6,0,1835,633,701,47.5,2022,GE
Hoffenheim,80,5,3,471,368,78,577,285,323,7,3,1,1843,550,557,49.7,2022,GE
Köln,75,3,3,400,352,68,790,372,370,2,5,3,2022,659,608,52.0,2022,GE
Leverkusen,75,7,3,382,409,51,461,294,280,6,7,2,1918,430,492,46.6,2022,GE
Mainz 05,69,1,0,476,334,74,610,433,341,5,8,0,2081,740,703,51.3,2022,GE
RB Leipzig,69,2,1,393,402,80,489,310,312,5,8,2,1966,440,433,50.4,2022,GE
Schalke 04,68,1,0,427,391,70,764,306,329,3,6,1,1896,692,739,48.4,2022,GE
Stuttgart,72,5,4,346,407,56,597,308,316,4,6,1,1989,547,470,53.8,2022,GE
Union Berlin,65,2,1,445,345,62,708,262,278,4,7,0,1833,767,755,50.4,2022,GE
Werder Bremen,76,1,0,426,369,65,514,321,349,3,3,2,1987,631,622,50.4,2022,GE
Wolfsburg,63,0,0,390,451,50,568,292,324,6,7,3,1800,525,546,49.0,2022,GE
Atalanta,83,3,1,470,385,58,652,421,364,6,3,2,2234,575,483,54.3,2022,IT
Bologna,84,3,2,477,426,77,558,302,373,5,9,3,2080,369,447,45.2,2022,IT
Cremonese,81,3,0,458,407,68,659,393,400,5,5,1,2059,562,730,43.5,2022,IT
Empoli,88,7,3,441,459,54,611,280,364,2,6,1,1815,434,519,45.5,2022,IT
Fiorentina,93,3,2,488,511,56,880,260,337,3,8,2,2016,588,517,53.2,2022,IT
Hellas Verona,103,3,0,540,383,74,652,337,357,1,2,3,2238,810,735,52.4,2022,IT
Inter,65,3,2,444,406,68,885,315,325,4,3,3,1948,500,415,54.6,2022,IT
Juventus,74,6,1,456,409,62,731,307,352,6,5,0,1951,486,477,50.5,2022,IT
Lazio,87,2,0,400,471,54,483,310,349,6,2,1,1979,399,381,51.2,2022,IT
Lecce,86,2,1,553,439,68,709,368,427,4,6,3,2120,567,728,43.8,2022,IT
Milan,90,2,2,449,438,61,671,289,422,3,5,1,2051,561,478,54.0,2022,IT
Monza,90,4,1,489,495,69,596,334,355,6,3,1,1845,448,441,50.4,2022,IT
Napoli,47,1,0,389,468,60,681,287,313,8,2,0,2027,483,403,54.5,2022,IT
Roma,83,4,2,446,505,56,595,368,340,6,3,1,1981,543,429,55.9,2022,IT
Salernitana,85,4,1,473,439,67,559,329,337,1,11,0,1981,528,585,47.4,2022,IT
Sampdoria,108,3,2,507,512,55,599,317,351,1,11,2,1913,617,636,49.2,2022,IT
Sassuolo,90,6,3,408,443,43,625,278,281,6,4,2,1756,375,438,46.1,2022,IT
Spezia,103,6,4,519,379,55,655,301,359,2,7,3,2033,535,570,48.4,2022,IT
Torino,81,0,0,506,382,80,610,292,265,2,6,0,2010,590,629,48.4,2022,IT
Udinese,88,3,1,478,476,51,564,314,365,1,7,2,1916,477,406,54.0,2022,IT
América (MG),89,10,3,550,460,62,730,372,344,1,8,3,2052,594,526,53.0,2023,BR
Ath Paranaense,109,4,1,580,505,67,685,357,341,3,7,0,1835,576,606,48.7,2023,BR
Atlético Mineiro,113,5,1,599,475,61,658,355,483,5,2,1,1951,488,563,46.4,2023,BR
Bahia,100,5,3,549,512,54,707,400,430,3,6,1,1939,540,494,52.2,2023,BR
Botafogo (RJ),93,4,1,515,489,41,702,412,376,6,1,1,1859,553,554,50.0,2023,BR
Corinthians,91,3,0,475,509,55,650,328,364,5,7,1,1788,528,472,52.8,2023,BR
Coritiba,124,5,3,586,531,62,626,385,418,6,10,2,1901,570,609,48.3,2023,BR
Cruzeiro,101,4,2,570,471,71,810,336,391,3,3,0,1941,531,568,48.3,2023,BR
Cuiabá,91,3,3,473,564,77,828,295,411,7,4,2,1824,613,494,55.4,2023,BR
Flamengo,85,5,0,493,519,51,642,295,412,9,7,0,1903,457,405,53.0,2023,BR
Fluminense,124,9,4,506,560,75,707,259,339,4,6,1,1802,427,452,48.6,2023,BR
Fortaleza,97,1,1,519,533,84,769,352,420,5,7,2,1878,568,532,51.6,2023,BR
Goiás,107,6,3,637,577,86,702,350,384,5,5,1,1776,637,640,49.9,2023,BR
Grêmio,103,5,3,480,537,59,576,339,369,4,5,1,2023,501,537,48.3,2023,BR
Internacional,111,6,2,518,497,60,606,316,370,4,7,1,1816,449,562,44.4,2023,BR
Palmeiras,96,4,2,583,585,100,919,298,377,3,5,1,1870,491,491,50.0,2023,BR
Red Bull Bragantino,109,6,1,603,470,52,917,398,391,2,8,1,2257,602,646,48.2,2023,BR
Santos,105,8,3,573,549,67,725,370,431,5,6,3,1910,585,522,52.8,2023,BR
São Paulo,107,5,3,530,532,76,668,263,346,6,9,1,1860,488,489,49.9,2023,BR
Vasco da Gama,101,6,3,557,510,67,889,318,358,4,5,0,1941,544,578,48.5,2023,BR
Arsenal,64,2,1,391,394,87,670,292,348,9,3,1,1752,503,499,50.2,2023,EN
Aston Villa,94,2,0,412,473,47,651,236,311,4,2,4,1619,334,363,47.9,2023,EN
Bournemouth,79,3,0,507,376,56,709,357,410,3,7,1,2013,582,671,46.4,2023,EN
Brentford,89,2,0,385,419,70,706,378,399,3,2,0,1892,632,607,51.0,2023,EN
Brighton,90,3,0,414,454,84,671,288,366,6,6,2,1751,406,345,54.1,2023,EN
Burnley,77,7,3,429,353,76,550,280,342,3,7,3,1727,561,696,44.6,2023,EN
Chelsea,109,4,2,446,451,85,558,298,376,11,5,3,1846,440,402,52.3,2023,EN
Crystal Palace,73,2,2,457,427,72,583,323,464,4,3,2,1909,553,555,49.9,2023,EN
Everton,82,1,1,457,361,89,752,358,442,2,8,3,1970,676,577,54.0,2023,EN
Fulham,84,4,3,384,364,51,736,371,384,2,8,4,1837,487,509,48.9,2023,EN
Liverpool,69,5,2,463,376,100,817,292,418,8,1,2,2034,583,441,56.9,2023,EN
Luton Town,71,0,0,443,448,67,841,325,368,2,4,4,1868,635,631,50.2,2023,EN
Manchester City,53,2,1,289,410,42,700,233,305,8,3,1,1734,325,288,53.0,2023,EN
Manchester Utd,83,1,1,401,340,91,594,313,409,6,7,1,1851,436,450,49.2,2023,EN
Newcastle Utd,79,1,1,386,469,59,648,285,391,9,5,1,1836,453,418,52.0,2023,EN
Nott'ham Forest,82,3,2,428,371,77,595,331,429,1,4,2,1807,583,556,51.2,2023,EN
Sheffield Utd,101,5,3,423,318,64,428,348,405,3,7,7,1638,585,693,45.8,2023,EN
Tottenham,92,4,2,425,510,83,710,355,451,2,7,3,1907,359,388,48.1,2023,EN
West Ham,82,3,3,390,392,71,661,361,426,4,10,4,1817,576,570,50.3,2023,EN
Wolves,102,4,2,476,405,78,578,284,430,4,8,1,1885,441,491,47.3,2023,EN
Alavés,84,1,0,481,449,69,830,279,347,7,8,2,1807,574,625,47.9,2023,SP
Almería,93,6,4,478,493,75,659,313,372,2,9,0,1716,557,587,48.7,2023,SP
Athletic Club,80,5,3,511,428,78,845,278,362,4,5,4,2010,541,525,50.8,2023,SP
Atlético Madrid,89,5,3,438,447,123,621,256,399,4,2,0,1896,422,392,51.8,2023,SP
Barcelona,87,2,1,412,469,99,651,257,363,6,2,0,1789,453,399,53.2,2023,SP
Betis,87,3,1,429,497,73,636,345,440,1,8,3,1921,479,500,48.9,2023,SP
Cádiz,107,7,0,576,498,90,791,298,398,2,2,1,1831,632,673,48.4,2023,SP
Celta Vigo,66,5,2,463,485,63,661,297,382,4,8,3,1908,522,548,48.8,2023,SP
Getafe,135,10,5,648,437,78,701,307,364,3,7,0,1773,657,692,48.7,2023,SP
Girona,75,1,0,406,471,95,698,257,340,7,7,0,1808,373,390,48.9,2023,SP
Granada,98,4,1,514,504,75,664,280,374,5,6,2,1708,484,540,47.3,2023,SP
Las Palmas,84,5,1,411,499,93,580,281,397,3,9,3,1846,395,489,44.7,2023,SP
Mallorca,105,4,2,567,412,104,763,365,388,2,5,1,1816,773,686,53.0,2023,SP
Osasuna,78,5,1,518,392,68,813,263,311,4,2,0,1802,750,655,53.4,2023,SP
Rayo Vallecano,108,5,3,563,518,96,688,308,372,3,2,2,1908,506,578,46.7,2023,SP
Real Madrid,69,4,1,368,523,79,618,296,368,3,1,1,1766,329,272,54.7,2023,SP
Real Sociedad,98,2,0,604,442,92,672,253,405,1,7,1,1816,759,714,51.5,2023,SP
Sevilla,108,4,0,477,443,77,934,313,463,1,5,2,1901,610,525,53.7,2023,SP
Valencia,64,5,2,481,475,69,593,324,379,7,6,2,1863,485,628,43.6,2023,SP
Villarreal,110,8,4,488,462,92,592,304,348,5,6,1,1697,474,357,57.0,2023,SP
Augsburg,71,3,1,454,338,81,631,295,319,5,10,2,1669,587,602,49.4,2023,GE
Bayern Munich,47,2,1,304,306,60,655,288,323,2,4,0,1768,410,319,56.2,2023,GE
Bochum,97,2,0,446,409,83,649,308,366,4,11,4,1808,815,816,50.0,2023,GE
Darmstadt 98,83,4,0,429,351,57,514,317,323,2,2,2,1502,510,569,47.3,2023,GE
Dortmund,59,4,2,315,391,44,522,251,356,5,6,2,1763,390,426,47.8,2023,GE
Eint Frankfurt,70,5,4,355,318,51,557,302,359,2,11,0,1792,477,525,47.6,2023,GE
Freiburg,64,4,1,364,376,52,593,272,319,7,5,1,1633,625,628,49.9,2023,GE
Gladbach,66,2,1,337,372,53,574,333,337,4,6,0,1701,485,478,50.4,2023,GE
Heidenheim,54,1,0,442,325,38,663,302,352,1,10,3,1741,690,612,53.0,2023,GE
Hoffenheim,86,5,4,339,366,52,603,357,304,5,5,1,1715,515,515,50.0,2023,GE
Köln,71,4,3,418,364,53,779,305,375,5,3,0,1689,557,533,51.1,2023,GE
Leverkusen,59,0,0,305,342,73,586,224,277,7,0,0,1847,363,316,53.5,2023,GE
Mainz 05,99,3,1,473,410,59,633,346,328,4,4,1,1786,665,761,46.6,2023,GE
RB Leipzig,61,1,1,354,388,67,608,240,317,7,5,1,1743,426,394,52.0,2023,GE
Stuttgart,56,1,1,329,373,50,537,269,316,7,3,3,1754,430,429,50.1,2023,GE
Union Berlin,67,7,3,402,339,61,662,305,352,3,7,1,1705,620,619,50.0,2023,GE
Werder Bremen,73,2,0,396,396,70,543,284,351,5,6,1,1758,508,575,46.9,2023,GE
Wolfsburg,86,5,2,415,412,41,593,268,303,3,3,3,1580,512,467,52.3,2023,GE
Atalanta,76,1,1,486,367,63,710,340,369,4,9,1,2023,627,491,56.1,2023,IT
Bologna,85,2,2,458,456,55,510,258,385,3,7,1,1769,416,413,50.2,2023,IT
Cagliari,77,4,2,464,418,64,852,265,315,3,5,3,1774,571,613,48.2,2023,IT
Empoli,88,1,1,524,514,82,672,263,378,4,8,1,1623,509,628,44.8,2023,IT
Fiorentina,80,0,0,459,450,57,748,236,320,6,9,0,1720,626,603,50.9,2023,IT
Frosinone,68,2,1,388,442,48,524,241,322,8,8,2,1780,518,602,46.3,2023,IT
Genoa,79,3,3,450,406,47,610,332,352,3,4,1,1643,610,543,52.9,2023,IT
Hellas Verona,88,6,2,541,447,61,724,302,387,4,2,1,1842,750,644,53.8,2023,IT
Inter,46,1,0,405,408,77,804,280,321,11,4,0,1602,535,370,59.1,2023,IT
Juventus,87,2,1,478,376,72,708,253,369,3,3,2,1656,486,434,52.8,2023,IT
Lazio,101,5,2,473,435,72,624,295,348,3,3,0,1764,399,453,46.8,2023,IT
Lecce,89,5,2,504,481,56,650,308,374,4,6,1,1779,548,616,47.1,2023,IT
Milan,82,8,2,429,410,57,660,252,333,6,8,1,1616,432,410,51.3,2023,IT
Monza,88,5,4,458,408,40,584,279,334,2,9,0,1468,442,462,48.9,2023,IT
Napoli,77,5,3,381,451,71,737,241,326,8,4,0,1707,470,483,49.3,2023,IT
Roma,95,3,1,455,430,66,654,242,336,7,5,3,1602,478,443,51.9,2023,IT
Salernitana,91,3,1,450,470,61,596,279,327,1,10,2,1634,520,662,44.0,2023,IT
Sassuolo,71,4,2,387,398,26,661,267,310,6,11,4,1600,452,607,42.7,2023,IT
Torino,75,2,1,471,419,63,761,329,275,2,7,0,1679,588,594,49.7,2023,IT
Udinese,94,5,3,496,418,57,556,327,381,4,9,1,1752,561,467,54.6,2023,IT
