Squad,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,season,country
Gladbach,77,3,3,424,446,91,570,381,322,5,2,0,1880,546,554,49.6,2019,GE
Hertha BSC,78,4,2,465,350,57,527,410,340,3,7,2,1725,611,530,53.5,2019,GE
Hoffenheim,66,2,1,383,416,61,579,349,309,3,8,2,1666,564,541,51.0,2019,GE
Köln,79,4,1,487,436,75,708,435,414,3,6,2,1948,715,668,51.7,2019,GE
Leverkusen,61,6,3,394,369,92,713,333,353,2,2,0,2035,518,490,51.4,2019,GE
Mainz 05,75,3,2,462,401,70,615,363,331,3,5,1,1785,609,669,47.7,2019,GE
Paderborn 07,84,3,2,426,358,62,572,364,400,2,5,2,1797,462,564,45.0,2019,GE
RB Leipzig,53,3,3,373,370,78,628,364,361,3,2,0,2031,518,484,51.7,2019,GE
Schalke 04,64,2,1,400,380,81,472,407,361,1,6,2,1927,627,632,49.8,2019,GE
Union Berlin,71,5,3,523,374,64,628,421,322,3,4,1,1848,908,835,52.1,2019,GE
Werder Bremen,80,4,4,461,450,53,601,423,345,4,1,3,1723,568,666,46.0,2019,GE
Wolfsburg,71,4,2,490,399,72,651,377,363,3,5,0,1999,644,599,51.8,2019,GE
Atalanta,80,2,1,534,518,50,767,418,351,9,6,3,2145,624,500,55.5,2019,IT
Bologna,109,7,3,595,567,85,733,412,338,6,8,1,1903,644,666,49.2,2019,IT
Brescia,95,6,3,504,583,68,641,361,273,3,11,3,1768,498,602,45.3,2019,IT
Cagliari,108,6,3,534,449,56,762,337,338,3,9,3,1836,516,691,42.8,2019,IT
Fiorentina,105,5,3,546,500,50,726,347,333,8,11,0,1926,458,491,48.3,2019,IT
Genoa,107,10,5,571,514,57,723,385,335,12,9,2,1828,600,583,50.7,2019,IT
Hellas Verona,87,7,2,555,490,91,750,398,290,7,9,1,2146,718,783,47.8,2019,IT
Inter,104,6,3,563,450,96,790,370,287,10,4,1,1862,515,470,52.3,2019,IT
Juventus,87,3,2,508,486,73,698,370,318,10,12,0,1811,432,338,56.1,2019,IT
Lazio,99,2,1,462,399,71,741,378,311,12,9,1,1921,450,515,46.6,2019,IT
Lecce,98,5,2,469,490,67,711,383,293,10,13,3,1804,487,495,49.6,2019,IT
Milan,97,6,2,545,460,63,713,419,345,4,10,1,1928,538,507,51.5,2019,IT
Napoli,73,2,0,421,523,54,813,330,295,2,8,1,1958,384,374,50.7,2019,IT
Parma,81,1,0,519,467,60,597,394,348,4,11,0,1871,540,463,53.8,2019,IT
Roma,111,7,4,541,435,45,781,400,303,7,10,0,1852,530,415,56.1,2019,IT
Sampdoria,111,7,5,563,459,63,814,396,354,10,9,4,1928,588,625,48.5,2019,IT
Sassuolo,99,3,1,498,560,64,562,348,332,4,9,4,1812,341,385,47.0,2019,IT
SPAL,98,4,1,541,525,53,693,394,327,6,8,3,1718,552,520,51.5,2019,IT
Torino,96,7,5,606,539,63,756,495,314,3,11,3,2048,699,640,52.2,2019,IT
Udinese,77,3,2,506,414,65,730,375,340,0,10,0,1888,483,534,47.5,2019,IT
Ath Paranaense,80,3,1,642,481,68,659,372,314,0,6,2,1663,485,452,51.8,2020,BR
Atl Goianiense,77,5,1,590,579,54,810,425,298,3,8,1,1694,553,596,48.1,2020,BR
Atlético Mineiro,64,3,1,563,484,74,883,430,331,10,3,0,1727,495,468,51.4,2020,BR
Bahia,84,6,1,558,549,54,751,414,347,7,6,0,1685,566,598,48.6,2020,BR
Botafogo (RJ),72,6,2,576,579,54,757,384,311,3,14,1,1721,555,600,48.1,2020,BR
Ceará,93,7,5,585,473,55,607,439,368,7,11,0,1728,619,588,51.3,2020,BR
Corinthians,85,8,2,624,508,51,741,470,337,4,5,1,1739,669,658,50.4,2020,BR
Coritiba,87,8,4,596,595,57,630,411,347,5,10,3,1696,530,558,48.7,2020,BR
Flamengo,88,3,0,634,618,56,783,442,380,7,3,2,1972,572,474,54.7,2020,BR
Fluminense,85,4,1,569,649,53,647,472,369,4,5,1,1859,558,592,48.5,2020,BR
Fortaleza,83,8,3,582,542,57,600,358,292,6,9,1,1553,627,545,53.5,2020,BR
Goiás,114,4,3,636,533,54,600,452,344,1,6,2,1683,688,616,52.8,2020,BR
Grêmio,81,8,6,511,614,41,668,410,336,7,10,0,1786,548,530,50.8,2020,BR
Internacional,91,8,1,666,551,61,779,446,329,4,5,1,1873,631,701,47.4,2020,BR
Palmeiras,92,5,2,632,561,76,773,439,345,3,5,2,1797,533,464,53.5,2020,BR
Red Bull Bragantino,73,4,0,617,494,41,820,536,383,3,8,1,1969,526,529,49.9,2020,BR
Santos,82,5,2,596,683,64,741,447,337,6,10,0,1760,451,598,43.0,2020,BR
