Squad,# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,season,country
Atalanta,3,48,1.3,139,94,69.8,23,9,6,10,26.3,2019,IT
Bologna,2,65,1.7,189,124,68.8,12,11,15,2,5.3,2019,IT
Brescia,3,79,2.1,236,159,70.3,6,7,25,6,15.8,2019,IT
Cagliari,3,56,1.5,195,141,74.9,11,12,15,7,18.4,2019,IT
Fiorentina,3,48,1.3,162,112,75.9,12,13,13,11,28.9,2019,IT
Genoa,2,73,1.9,201,130,67.2,10,9,19,7,18.4,2019,IT
Hellas Verona,2,51,1.3,174,124,75.9,12,13,13,10,26.3,2019,IT
Inter,2,36,1.0,118,82,72.0,24,10,4,14,36.8,2019,IT
Juventus,3,43,1.1,162,118,79.0,26,5,7,12,31.6,2019,IT
Lazio,1,42,1.1,154,112,77.3,24,6,8,11,28.9,2019,IT
Lecce,2,85,2.2,256,172,71.1,9,8,21,3,7.9,2019,IT
Milan,3,46,1.2,154,104,73.4,19,9,10,12,31.6,2019,IT
Napoli,2,50,1.3,138,88,68.8,18,8,12,7,18.4,2019,IT
Parma,2,57,1.5,212,152,76.4,14,7,17,6,15.8,2019,IT
Roma,3,51,1.3,158,106,73.4,21,7,10,7,18.4,2019,IT
Sampdoria,2,65,1.7,178,117,68.0,12,6,20,9,23.7,2019,IT
Sassuolo,3,63,1.7,184,124,70.1,14,9,15,7,18.4,2019,IT
SPAL,3,77,2.0,228,153,69.3,5,5,28,3,7.9,2019,IT
Torino,3,68,1.8,208,142,72.1,11,7,20,7,18.4,2019,IT
Udinese,1,51,1.3,194,141,77.8,12,9,17,14,36.8,2019,IT
Ath Paranaense,3,36,1.0,151,115,78.1,15,8,15,14,36.8,2020,BR
Atl Goianiense,2,45,1.2,154,108,74.7,12,14,12,9,23.7,2020,BR
Atlético Mineiro,3,45,1.2,139,94,69.1,20,8,10,14,36.8,2020,BR
Bahia,3,59,1.6,168,108,67.9,12,8,18,7,18.4,2020,BR
Botafogo (RJ),4,62,1.6,181,117,70.7,5,12,21,5,13.2,2020,BR
Ceará,2,51,1.3,176,125,76.7,14,10,14,11,28.9,2020,BR
Corinthians,2,45,1.2,174,130,76.4,13,12,13,14,36.8,2020,BR
Coritiba,2,54,1.4,177,123,73.4,7,10,21,9,23.7,2020,BR
Flamengo,4,48,1.3,146,100,69.2,21,8,9,9,23.7,2020,BR
Fluminense,2,42,1.1,132,91,72.0,18,10,10,11,28.9,2020,BR
Fortaleza,2,44,1.2,148,101,73.0,10,11,17,13,34.2,2020,BR
Goiás,2,63,1.7,203,141,71.4,9,10,19,10,26.3,2020,BR
Grêmio,3,40,1.0,135,95,77.8,14,17,7,11,28.9,2020,BR
Internacional,3,35,0.9,105,71,70.5,20,10,8,15,39.5,2020,BR
Palmeiras,3,37,1.0,141,106,77.3,15,13,10,12,31.6,2020,BR
Red Bull Bragantino,2,40,1.0,135,95,74.8,13,14,11,11,28.9,2020,BR
Santos,3,51,1.3,162,111,74.7,14,12,12,7,18.4,2020,BR
São Paulo,1,41,1.1,141,97,70.9,18,12,8,10,26.3,2020,BR
Sport Recife,2,50,1.3,193,147,76.7,12,6,20,10,26.3,2020,BR
Vasco da Gama,2,56,1.5,187,129,74.3,10,11,17,11,28.9,2020,BR
Arsenal,3,39,1.0,129,93,71.3,18,7,13,12,31.6,2020,EN
Aston Villa,1,46,1.2,186,133,78.0,16,7,15,15,39.5,2020,EN
Brighton,2,46,1.2,125,81,68.0,9,14,15,12,31.6,2020,EN
Burnley,3,55,1.4,179,125,70.9,10,9,19,11,28.9,2020,EN
Chelsea,3,36,1.0,107,71,69.2,19,10,9,18,47.4,2020,EN
Crystal Palace,2,66,1.7,174,107,63.8,12,8,18,8,21.1,2020,EN
Everton,3,48,1.3,161,114,72.0,17,8,13,12,31.6,2020,EN
Fulham,2,53,1.4,170,118,72.9,5,13,20,9,23.7,2020,EN
Leeds United,2,54,1.4,198,145,76.8,18,5,15,12,31.6,2020,EN
Leicester City,1,50,1.3,136,88,66.2,20,6,12,11,28.9,2020,EN
Liverpool,3,42,1.1,140,97,72.9,20,9,9,12,31.6,2020,EN
Manchester City,3,32,0.8,100,67,76.0,27,5,6,19,50.0,2020,EN
Manchester Utd,2,44,1.2,141,98,71.6,21,11,6,13,34.2,2020,EN
Newcastle Utd,2,62,1.6,188,128,69.1,12,9,17,7,18.4,2020,EN
Sheffield Utd,1,63,1.7,206,145,70.9,7,2,29,5,13.2,2020,EN
Southampton,2,68,1.8,178,110,66.3,12,7,19,9,23.7,2020,EN
Tottenham,1,45,1.2,155,113,77.4,18,8,12,12,31.6,2020,EN
West Brom,2,76,2.0,240,166,71.3,5,11,22,6,15.8,2020,EN
West Ham,2,47,1.2,147,103,70.1,19,8,11,11,28.9,2020,EN
Wolves,2,52,1.4,152,102,70.4,12,9,17,10,26.3,2020,EN
Alavés,2,57,1.5,142,85,62.0,9,11,18,9,23.7,2020,SP
Athletic Club,2,42,1.1,111,69,66.7,11,13,14,9,23.7,2020,SP
Atlético Madrid,1,25,0.7,122,98,80.3,26,8,4,18,47.4,2020,SP
Barcelona,2,38,1.0,130,94,74.6,24,7,7,14,36.8,2020,SP
Betis,2,50,1.3,136,87,69.1,17,10,11,13,34.2,2020,SP
Cádiz,3,58,1.5,150,91,67.3,11,11,16,10,26.3,2020,SP
Celta Vigo,2,57,1.5,138,81,63.8,14,11,13,9,23.7,2020,SP
Eibar,2,52,1.4,135,82,63.7,6,12,20,9,23.7,2020,SP
Elche,2,55,1.4,163,106,69.9,8,12,18,7,18.4,2020,SP
Getafe,2,43,1.1,111,70,67.6,9,11,18,14,36.8,2020,SP
Granada,3,65,1.7,170,101,65.3,13,7,18,9,23.7,2020,SP
