Squad,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,season,country
Hellas Verona,49.8,21344,2127,6507,9961,5150,706,21341,479,292,61.0,187,39.0,11100,57832,29476,599,457,138,578,309,12789,1474,2020,IT
Inter,52.5,25312,2417,7654,11562,6304,1012,25303,454,260,57.3,193,42.5,14452,75884,42467,766,517,198,543,262,18210,1695,2020,IT
Juventus,56.9,27067,2595,7973,12836,6507,1068,27057,684,451,65.9,233,34.1,15418,85068,46167,949,696,272,581,300,19722,1756,2020,IT
Lazio,53.0,24888,2487,7653,11527,5958,883,24878,553,297,53.7,256,46.3,14348,81890,44030,785,618,171,553,304,16794,1677,2020,IT
Milan,51.7,23790,2347,7303,10849,5914,944,23770,670,415,61.9,254,37.9,13083,73292,39841,784,562,187,616,299,15747,1474,2020,IT
Napoli,55.1,25980,2237,7377,12383,6476,987,25972,628,386,61.5,242,38.5,16098,84118,43648,884,614,236,482,255,18764,1699,2020,IT
Parma,47.8,22445,2749,8081,10168,4419,646,22440,589,362,61.5,227,38.5,12613,65609,35173,607,448,136,561,292,14679,1306,2020,IT
Roma,52.2,23628,2212,6881,11582,5422,832,23620,663,397,59.9,266,40.1,13392,78697,41906,863,613,198,510,224,16417,1571,2020,IT
Sampdoria,45.2,21722,2527,7324,9501,5135,697,21716,484,292,60.3,192,39.7,11276,58753,29751,588,441,115,566,287,13319,1353,2020,IT
Sassuolo,60.3,27665,2623,8137,13257,6493,844,27651,718,428,59.6,290,40.4,16432,85555,46650,770,625,182,573,313,20177,1733,2020,IT
Spezia,51.9,23297,2444,7773,10504,5278,756,23292,528,322,61.0,206,39.0,13646,72052,35896,627,452,174,606,295,15415,1376,2020,IT
Torino,47.3,21242,2335,7170,9771,4561,660,21236,635,388,61.1,246,38.7,11765,63238,32606,617,474,99,576,297,13252,1125,2020,IT
Udinese,46.3,21424,2297,6915,9602,5119,737,21420,611,376,61.5,233,38.1,12449,66592,34279,672,502,145,604,330,13800,1397,2020,IT
América (MG),47.6,20646,2049,5898,9288,5724,728,20637,716,419,58.5,297,41.5,11475,66153,34680,736,577,143,650,370,12120,1494,2021,BR
Ath Paranaense,49.0,21642,2254,6725,10308,4778,614,21640,474,281,59.3,192,40.5,12455,62093,31982,579,403,90,558,296,14167,1423,2021,BR
Atl Goianiense,49.4,21323,2516,7478,9266,4803,559,21319,653,355,54.4,298,45.6,11937,64108,33831,559,401,111,590,307,13545,1390,2021,BR
Atlético Mineiro,56.2,24352,2147,6899,11649,6030,764,24341,617,369,59.8,247,40.0,14004,66454,35117,616,530,153,573,316,16969,1738,2021,BR
Bahia,47.1,20674,2071,6524,9406,4942,646,20669,529,303,57.3,226,42.7,11718,59550,32444,630,429,108,585,312,12634,1491,2021,BR
Ceará,46.6,19727,2022,5690,9315,4964,687,19723,578,364,63.0,214,37.0,10355,54107,27677,548,419,117,616,301,11720,1373,2021,BR
Chapecoense,42.6,19308,2258,6742,8523,4280,510,19303,583,347,59.5,235,40.3,10696,57013,27567,504,386,91,618,301,11353,1094,2021,BR
Corinthians,54.6,25491,2172,7661,12656,5408,660,25485,653,357,54.7,296,45.3,15831,76912,38663,656,547,145,580,303,18185,1540,2021,BR
Cuiabá,46.3,20547,2313,6633,9378,4772,538,20543,590,318,53.9,272,46.1,11141,62211,31823,567,446,109,674,297,12777,1335,2021,BR
Flamengo,58.5,25508,1892,6162,12272,7378,1001,25504,853,525,61.5,328,38.5,16237,84683,44738,894,654,244,659,376,17727,2033,2021,BR
Fluminense,49.7,21906,1917,6590,10771,4787,631,21901,629,378,60.1,251,39.9,12490,62762,33478,565,446,110,605,332,14306,1404,2021,BR
Fortaleza,49.9,20351,1952,5818,10082,4735,676,20344,708,445,62.9,263,37.1,11564,65175,34275,628,511,121,632,257,12717,1465,2021,BR
Grêmio,51.9,22810,1554,5505,11102,6468,752,22803,741,439,59.2,301,40.6,13408,69727,36008,813,631,180,561,306,14917,1605,2021,BR
Internacional,50.8,22085,2112,6230,11016,5090,623,22079,624,341,54.6,283,45.4,12506,66490,34636,672,559,115,610,316,13980,1337,2021,BR
Juventude,44.6,20119,2160,6793,9354,4191,492,20113,615,371,60.3,244,39.7,11146,57169,28462,494,410,98,607,322,12618,1169,2021,BR
Palmeiras,50.1,21585,2223,6819,10154,4867,736,21580,600,349,58.2,252,42.0,13042,70030,36705,694,514,160,529,258,13992,1487,2021,BR
Red Bull Bragantino,49.6,21872,2392,7237,9689,5181,581,21868,595,368,61.8,227,38.2,12799,70944,38502,661,540,112,649,350,13780,1448,2021,BR
Santos,53.4,23122,2245,6849,10799,5731,584,23114,683,379,55.5,304,44.5,13656,78866,43513,792,656,125,611,293,15292,1535,2021,BR
São Paulo,56.1,23281,2031,6573,11372,5559,695,23277,595,367,61.7,227,38.2,13077,68590,36186,677,503,112,593,308,15384,1618,2021,BR
Sport Recife,46.0,20643,2320,6862,9634,4374,518,20639,646,374,57.9,272,42.1,12068,63725,34579,585,462,66,643,295,12969,1247,2021,BR
Arsenal,52.8,23780,2227,7151,10336,6491,982,23772,590,319,54.1,271,45.9,13993,73530,39388,734,494,223,557,337,16066,1642,2021,EN
Aston Villa,46.5,20609,2411,6876,8896,5049,825,20606,587,333,56.7,254,43.3,11796,62511,31674,653,422,166,595,344,12668,1293,2021,EN
Brentford,44.8,20462,2793,7862,8201,4566,819,20456,476,262,55.0,214,45.0,10280,49925,26085,450,332,102,563,291,11565,1170,2021,EN
Brighton,54.4,24854,2629,8034,10520,6505,876,24847,559,317,56.7,242,43.3,13919,68537,35095,676,519,139,598,349,16278,1529,2021,EN
Burnley,40.2,18371,2247,5842,8051,4686,663,18369,479,258,53.9,221,46.1,8229,42272,19061,388,300,84,540,291,9342,958,2021,EN
Chelsea,61.8,28975,2279,7926,13385,7881,1066,28966,624,364,58.3,260,41.7,17090,86187,46504,894,729,243,591,383,21040,1956,2021,EN
Crystal Palace,51.1,23466,2753,8764,9989,4943,749,23458,687,382,55.6,305,44.4,13129,65928,33176,592,410,149,671,471,14878,1214,2021,EN
Everton,40.0,19075,2289,6394,7899,5013,728,19068,634,337,53.2,295,46.5,9422,53443,25599,512,388,143,640,325,10276,1086,2021,EN
Leeds United,52.3,22705,2608,8521,9502,4919,789,22700,655,339,51.8,316,48.2,12260,67099,36354,671,412,170,676,298,13865,1467,2021,EN
Leicester City,52.0,24409,2771,8575,11067,4962,746,24407,547,297,54.3,250,45.7,13897,68708,34763,622,467,157,601,368,16036,1351,2021,EN
Liverpool,62.7,29575,2130,7195,14176,8419,1377,29567,635,343,54.0,291,45.8,17262,84190,45325,885,672,290,590,366,21042,2227,2021,EN
Manchester City,67.9,31381,1837,6566,15281,9729,1499,31372,741,425,57.4,316,42.6,21064,110018,61200,1145,840,386,497,316,24212,2402,2021,EN
Manchester Utd,52.7,24652,2256,7391,11141,6331,883,24647,631,368,58.3,263,41.7,13954,76394,41495,784,587,213,538,333,16590,1562,2021,EN
Newcastle Utd,40.4,18281,2310,6731,7483,4314,727,18278,632,359,56.8,273,43.2,9243,50896,23964,544,397,163,622,359,10113,911,2021,EN
Norwich City,42.9,20234,2911,8245,8047,4167,601,20231,581,298,51.3,283,48.7,11136,60854,30074,566,356,126,548,313,12047,1018,2021,EN
Southampton,47.7,21418,2216,6541,9409,5713,830,21414,624,350,56.1,274,43.9,11085,62327,31425,728,561,197,626,366,12388,1314,2021,EN
Tottenham,51.8,24853,2515,8010,11453,5627,864,24848,667,375,56.2,291,43.6,15122,82037,42338,791,596,195,588,341,17097,1450,2021,EN
Watford,40.7,19161,2469,7245,7827,4328,625,19159,751,395,52.6,356,47.4,9428,51370,24863,557,380,148,639,389,10320,1057,2021,EN
West Ham,47.9,22331,2444,7012,9992,5543,810,22325,545,306,56.1,239,43.9,12622,68100,32664,646,479,171,520,294,14229,1437,2021,EN
Wolves,49.5,23334,2657,8472,10204,4887,703,23333,771,450,58.4,321,41.6,12837,69338,36188,723,522,190,598,341,15117,1262,2021,EN
Alavés,42.0,18371,2222,6215,8104,4235,605,18364,504,271,53.8,233,46.2,8699,42737,20539,420,310,102,616,278,9576,969,2021,SP
Athletic Club,48.1,21254,2066,6214,9532,5722,799,21247,530,297,56.0,232,43.8,10777,57778,30509,653,461,146,569,341,12839,1559,2021,SP
Atlético Madrid,50.6,23038,2006,6787,10729,5702,868,23033,600,383,63.8,217,36.2,12629,65613,34800,705,531,164,555,353,14978,1456,2021,SP
Barcelona,64.2,28778,2236,7093,14319,7567,1055,28771,747,474,63.5,273,36.5,18228,93372,52508,961,704,280,623,358,21334,2059,2021,SP
Betis,53.7,23691,2299,7311,10969,5603,826,23685,655,372,56.8,283,43.2,13042,66497,33876,666,482,187,588,364,15573,1501,2021,SP
Cádiz,41.3,18574,2215,6501,7898,4374,646,18568,519,281,54.1,238,45.9,9062,51953,26751,571,382,106,576,291,10039,1063,2021,SP
Celta Vigo,55.2,24789,2272,7479,11772,5737,719,24783,591,346,58.5,244,41.3,13606,72693,38568,665,544,125,572,310,15869,1434,2021,SP
Elche,48.4,20889,2493,7657,9086,4313,498,20888,597,339,56.8,258,43.2,11059,55476,26247,531,403,89,650,330,12844,1087,2021,SP
Espanyol,46.9,20970,2604,7525,9167,4471,581,20965,616,373,60.6,243,39.4,11191,60124,30222,610,468,119,563,331,13239,1196,2021,SP
Getafe,41.5,18658,2003,5988,8734,4125,551,18653,452,242,53.5,210,46.5,9326,44746,20748,399,328,92,603,301,10197,910,2021,SP
Granada,44.7,19055,2401,6704,8239,4287,600,19050,495,270,54.5,225,45.5,9255,49523,24761,435,354,96,588,321,10466,1036,2021,SP
Levante,47.2,20500,2377,7382,8840,4535,719,20487,683,348,51.0,335,49.0,10842,56754,29187,569,405,154,614,302,12487,1334,2021,SP
Mallorca,45.3,19305,2231,6593,8320,4619,647,19298,612,368,60.1,244,39.9,10034,55423,27611,575,449,112,613,404,10923,1110,2021,SP
Osasuna,46.9,20565,2013,6066,9272,5397,697,20557,467,261,55.9,206,44.1,10211,50361,23279,417,358,76,597,309,11775,1313,2021,SP
Rayo Vallecano,49.9,21279,2161,6591,9702,5241,734,21275,639,357,55.9,282,44.1,10829,61444,32089,697,497,151,696,371,12632,1299,2021,SP
Real Madrid,59.9,28389,2399,8154,12038,8430,1198,28377,780,456,58.5,324,41.5,18562,96303,51714,1029,757,330,495,277,21234,2061,2021,SP
Real Sociedad,54.3,23452,2574,7504,10671,5504,851,23442,670,360,53.7,310,46.3,13289,69380,36038,667,546,178,626,391,15188,1447,2021,SP
Sevilla,59.4,25980,2692,8904,11372,5872,742,25977,588,305,51.9,283,48.1,15097,68309,34977,625,517,139,589,326,18197,1580,2021,SP
Valencia,43.6,17905,1994,5790,7525,4822,630,17896,642,360,56.1,282,43.9,9186,52453,27482,554,449,109,656,294,9503,1187,2021,SP
Villarreal,56.8,24258,2439,7743,10778,5950,974,24252,746,450,60.3,296,39.7,14622,78519,42169,790,483,240,570,332,16415,1683,2021,SP
Arminia,40.7,17629,2294,6755,7291,3796,556,17627,567,284,50.1,283,49.9,8495,45239,21867,405,290,102,618,307,9290,875,2021,GE
Augsburg,41.5,17060,2244,6480,7037,3743,606,17055,511,262,51.3,249,48.7,8178,45128,21470,441,323,94,597,298,9088,882,2021,GE
Bayern Munich,64.5,27678,2045,7345,13202,7367,1266,27673,832,492,59.1,340,40.9,16502,84467,44476,833,622,241,598,338,19963,2151,2021,GE
Bochum,44.7,17579,2362,6682,7348,3759,571,17573,443,226,51.0,216,48.8,8977,48731,23584,467,333,112,588,282,9487,921,2021,GE
Dortmund,59.2,24819,2177,7538,12136,5317,835,24808,636,352,55.3,284,44.7,14990,75201,36738,670,481,180,579,310,17301,1454,2021,GE
Eint Frankfurt,49.6,21105,2288,7030,9752,4528,675,21103,544,285,52.4,258,47.4,11595,59438,29061,609,408,153,631,294,12527,1243,2021,GE
Freiburg,49.0,19480,2322,6642,8357,4649,750,19474,420,226,53.8,194,46.2,9662,49455,24484,401,331,102,538,219,11501,1223,2021,GE
Gladbach,54.0,21886,2151,7493,10390,4173,745,21879,610,359,58.9,251,41.1,12219,58910,30071,527,348,163,573,309,14453,1287,2021,GE
Greuther Fürth,43.6,17946,2396,6666,7952,3509,505,17941,536,266,49.6,270,50.4,9290,47683,22121,413,281,107,621,308,10087,967,2021,GE
Hertha BSC,43.7,18046,2255,6954,7844,3430,547,18043,526,281,53.4,245,46.6,8883,47745,22989,462,296,92,537,316,10214,959,2021,GE
Hoffenheim,53.2,21823,2385,7462,9467,5067,866,21823,525,249,47.4,275,52.4,12635,63453,31714,588,350,151,551,241,14184,1462,2021,GE
Köln,54.8,20891,2450,7559,8852,4687,781,20890,509,252,49.5,256,50.3,11262,57192,28130,550,391,105,584,258,12515,1398,2021,GE
Leverkusen,53.7,22247,2353,7516,10602,4364,806,22241,706,401,56.8,305,43.2,13043,70540,37410,709,494,177,608,296,14605,1334,2021,GE
Mainz 05,46.5,19090,1958,6503,8458,4323,753,19086,506,269,53.2,237,46.8,9359,44413,21380,445,312,114,670,295,10664,1169,2021,GE
RB Leipzig,56.1,23539,2043,6990,11522,5238,926,23530,561,347,61.9,213,38.0,13246,62485,31289,542,412,161,647,356,16072,1454,2021,GE
Stuttgart,50.7,21548,2343,7263,10064,4479,666,21545,693,372,53.7,321,46.3,12162,62523,31412,571,420,137,707,302,13666,1262,2021,GE
Union Berlin,43.7,18570,2048,6538,8339,3889,646,18565,413,244,59.1,168,40.7,9551,48478,22821,429,282,105,572,231,10576,1114,2021,GE
Wolfsburg,50.5,20456,2349,7267,9364,4020,633,20452,541,319,59.0,222,41.0,11258,55405,26778,502,364,99,603,284,12511,1212,2021,GE
Atalanta,55.0,25624,1875,6739,11602,7525,1135,25618,679,372,54.8,307,45.2,14869,76829,38201,796,631,257,696,376,16998,1848,2021,IT
Bologna,50.6,22181,2573,7497,9928,4964,630,22176,598,326,54.5,272,45.5,11905,63323,30938,540,455,106,563,302,14304,1264,2021,IT
Cagliari,44.5,19878,2390,6906,8724,4452,643,19874,479,252,52.6,227,47.4,10278,51842,25151,474,393,83,572,261,11383,1078,2021,IT
Empoli,47.4,20894,2792,7114,8751,5240,789,20887,547,291,53.2,255,46.6,11739,64693,34764,658,438,129,584,335,12671,1465,2021,IT
Fiorentina,57.7,24439,2417,8057,10824,5796,923,24427,542,301,55.5,240,44.3,14623,77944,39314,755,546,184,618,275,17288,1567,2021,IT
Genoa,43.9,20229,2408,6913,9038,4503,696,20222,581,302,52.0,278,47.8,10185,50318,24651,517,384,133,732,373,11085,1090,2021,IT
Hellas Verona,50.6,21791,2173,6491,10061,5483,883,21783,590,313,53.1,276,46.8,11502,60870,30016,677,468,175,683,383,12927,1572,2021,IT
Inter,56.5,25692,2568,8099,11248,6574,1193,25680,471,255,54.1,216,45.9,15187,75463,39052,782,500,205,544,245,18155,1768,2021,IT
Juventus,51.5,23918,2492,7794,11044,5316,885,23911,637,367,57.6,271,42.5,13534,68320,34106,701,483,184,607,312,16334,1456,2021,IT
Lazio,55.4,26867,2495,8040,13314,5750,804,26858,610,334,54.8,274,44.9,15747,79463,41085,788,564,183,555,273,19495,1516,2021,IT
Milan,54.0,23507,2057,6813,10934,6067,987,23499,779,456,58.5,323,41.5,13142,77523,41919,806,583,198,627,312,15548,1468,2021,IT
Napoli,58.3,26604,2258,7411,13013,6400,969,26590,595,357,60.0,238,40.0,16522,80220,42230,827,571,243,525,294,19439,1658,2021,IT
Roma,51.4,22920,2037,7038,10754,5378,950,22911,631,331,52.5,299,47.4,12532,69249,35320,733,538,178,615,287,15103,1572,2021,IT
Salernitana,41.2,18655,2352,6217,8257,4416,685,18650,586,314,53.6,272,46.4,9642,51208,25814,528,429,95,616,330,10598,1021,2021,IT
Sampdoria,46.1,20985,2663,7609,9149,4408,639,20981,422,228,54.0,194,46.0,11438,53480,25783,467,358,79,543,270,12778,1175,2021,IT
Sassuolo,54.9,24369,2657,8125,11171,5330,792,24362,678,403,59.4,275,40.6,14716,79816,42134,815,598,207,601,386,16865,1499,2021,IT
Spezia,42.7,19686,2657,7663,8066,4175,585,19681,546,292,53.5,254,46.5,10353,53481,25772,511,390,129,649,353,11519,992,2021,IT
Torino,53.3,22240,1992,6337,10386,5725,744,22234,512,295,57.6,216,42.2,12481,64081,31432,628,538,156,643,286,13797,1302,2021,IT
Udinese,42.7,19617,2307,6580,8424,4863,847,19613,680,363,53.4,316,46.5,10325,57488,30348,669,464,205,653,334,11548,1219,2021,IT
Venezia,42.3,19705,2975,8135,7823,3969,548,19701,577,300,52.0,276,47.8,10506,57625,29460,540,378,103,609,313,11485,1075,2021,IT
América (MG),45.9,20148,2289,6305,8322,5794,866,20141,686,320,46.6,299,43.6,10549,64052,34510,697,500,153,605,359,11451,1611,2022,BR
Ath Paranaense,44.1,19203,2069,5862,8905,4681,612,19192,620,288,46.5,308,49.7,10315,57702,30128,565,479,103,616,296,11067,1264,2022,BR
Atl Goianiense,50.6,21794,2513,7247,9462,5297,770,21791,605,301,49.8,272,45.0,12464,70761,36892,705,524,143,507,241,14007,1509,2022,BR
Atlético Mineiro,58.6,25264,2115,6904,12194,6399,855,25258,677,365,53.9,271,40.0,15230,76932,38978,694,566,157,578,328,17537,1810,2022,BR
Avaí,50.2,22005,2456,7022,10659,4578,544,21992,655,333,50.8,281,42.9,12149,64365,33344,563,484,94,583,345,13898,1334,2022,BR
Botafogo (RJ),48.7,21189,2093,6338,10322,4773,683,21185,842,416,49.4,381,45.2,11927,66946,32817,626,477,142,674,356,12944,1284,2022,BR
Ceará,50.9,20693,2077,6061,9744,5126,664,20686,642,316,49.2,284,44.2,11730,65021,34175,610,500,106,499,322,12958,1458,2022,BR
Corinthians,54.7,24594,2072,7226,12120,5469,665,24591,649,331,51.0,274,42.2,14407,73200,36772,606,486,135,585,271,16671,1480,2022,BR
Coritiba,45.2,19940,2250,6406,8958,4814,670,19936,650,337,51.8,279,42.9,11155,62567,34010,624,445,115,616,316,12124,1335,2022,BR
Cuiabá,44.2,19587,2142,6216,8710,4901,676,19582,569,256,45.0,278,48.9,10457,58009,29761,538,440,100,539,324,11646,1362,2022,BR
Flamengo,57.3,24603,2027,6400,11427,7062,983,24597,751,402,53.5,292,38.9,15331,80124,42935,787,626,191,566,344,17074,1947,2022,BR
Fluminense,60.8,26092,2225,7431,12120,6756,812,26088,855,445,52.0,349,40.8,15785,80967,45626,773,622,145,529,471,18496,1606,2022,BR
Fortaleza,45.2,19436,1964,5599,9280,4806,678,19430,724,377,52.1,284,39.2,10295,61970,32569,614,446,140,575,328,11177,1365,2022,BR
Goiás,40.2,17529,2636,6738,7122,3899,577,17523,597,301,50.4,260,43.6,8778,50967,27129,494,377,71,614,272,9457,955,2022,BR
Internacional,50.0,22340,2090,6250,10675,5654,783,22330,598,320,53.5,231,38.6,12978,68366,35466,750,590,147,526,306,14492,1494,2022,BR
Juventude,45.8,19911,2416,7497,8450,4172,601,19907,595,279,46.9,283,47.6,11042,59235,28983,509,396,96,532,290,12151,1209,2022,BR
Palmeiras,54.3,22226,2033,6552,10090,5823,950,22217,680,327,48.1,312,45.9,12660,71163,38661,750,499,178,530,292,14300,1700,2022,BR
Red Bull Bragantino,49.7,21543,2268,6602,9872,5292,688,21538,576,288,50.0,251,43.6,13324,77911,39913,659,544,101,606,335,13272,1493,2022,BR
Santos,48.1,21060,2173,6322,10297,4697,710,21057,734,379,51.6,301,41.0,11715,66241,35336,661,542,129,514,326,13175,1376,2022,BR
São Paulo,55.5,23417,2151,6554,11237,5811,843,23410,579,289,49.9,250,43.2,13774,70389,37463,651,507,137,559,295,15762,1681,2022,BR
Arsenal,59.3,25909,1994,6632,11451,8015,1296,25905,751,351,46.7,290,38.6,15924,84012,44202,824,583,281,526,378,18101,2024,2022,EN
Aston Villa,49.3,21500,2783,7912,9077,4705,746,21495,682,293,43.0,279,40.9,12295,65580,33150,637,434,174,565,371,13587,1227,2022,EN
Bournemouth,40.4,19950,2934,8004,7933,4256,699,19950,743,329,44.3,344,46.3,10340,55360,27431,504,389,144,589,367,11617,986,2022,EN
Brentford,43.8,19749,2632,7290,7803,4835,827,19741,600,267,44.5,248,41.3,10409,49018,23993,392,300,102,520,336,11203,1121,2022,EN
Brighton,60.2,26728,2471,7844,12213,6873,1102,26722,726,345,47.5,279,38.4,16331,83718,43965,809,547,250,558,324,18991,1828,2022,EN
Chelsea,58.7,27166,2564,8461,12057,6850,958,27163,838,380,45.3,352,42.0,16538,83509,43596,829,622,216,568,381,19065,1729,2022,EN
Crystal Palace,46.3,21713,2580,7668,9275,4991,766,21710,784,367,46.8,314,40.1,11687,60301,30015,556,393,206,643,457,13304,1238,2022,EN
Everton,42.8,20233,2527,7219,8418,4830,742,20229,674,310,46.0,296,43.9,10479,56737,27858,500,391,137,605,300,11708,1042,2022,EN
Fulham,48.8,22162,2563,7462,9525,5416,758,22153,607,281,46.3,238,39.2,12252,68216,35374,663,474,124,535,379,13848,1316,2022,EN
Leeds United,47.0,21642,2125,6971,9290,5587,796,21639,688,268,39.0,328,47.7,11342,55027,27060,555,379,146,602,421,12329,1418,2022,EN
Leicester City,47.7,23124,2681,8409,10293,4641,688,23118,623,294,47.2,245,39.3,12503,63356,31619,580,363,175,548,313,14797,1294,2022,EN
Liverpool,60.8,28398,2310,8119,13329,7149,1252,28394,693,323,46.6,281,40.5,17148,82470,41527,719,569,234,584,413,19921,1974,2022,EN
Manchester City,64.7,29895,2170,7410,14372,8301,1277,29885,704,336,47.7,239,33.9,19122,104099,56216,988,754,279,406,298,22992,2054,2022,EN
Manchester Utd,53.7,24847,2639,8093,10389,6569,1036,24844,730,317,43.4,338,46.3,14245,70351,37126,711,515,239,497,293,16447,1578,2022,EN
Newcastle Utd,52.3,22106,2088,6757,9053,6516,1161,22100,784,350,44.6,322,41.1,12023,64186,32987,695,493,228,576,363,13803,1599,2022,EN
Nott'ham Forest,37.6,17911,2715,7420,6953,3755,611,17905,574,260,45.3,234,40.8,8674,46411,24020,436,308,111,537,275,9452,847,2022,EN
Southampton,44.5,21094,2639,7453,8997,4879,712,21090,760,362,47.6,318,41.8,11323,61002,29821,588,452,131,567,401,12216,1112,2022,EN
Tottenham,50.0,23836,2734,8571,10329,5135,842,23830,666,306,45.9,288,43.2,13679,71290,36842,692,465,189,521,356,15864,1436,2022,EN
West Ham,42.1,20411,2362,6898,8704,4993,756,20403,615,250,40.7,266,43.3,10540,57451,28247,615,413,166,458,357,12256,1266,2022,EN
Wolves,49.9,22539,2921,8544,9264,4960,686,22536,782,385,49.2,302,38.6,12374,67241,35071,610,421,142,516,326,14453,1332,2022,EN
Almería,45.1,20070,2715,7746,8468,4071,631,20067,666,296,44.4,310,46.5,10790,56980,29134,569,432,131,580,281,12047,1080,2022,SP
Athletic Club,51.6,22736,1978,6159,10166,6645,931,22729,734,347,47.3,305,41.6,12897,70948,39281,864,587,217,554,351,14284,1801,2022,SP
Atlético Madrid,50.6,24416,2414,7789,11103,5714,934,24414,656,322,49.1,262,39.9,13702,67405,35788,730,473,200,486,277,16705,1557,2022,SP
Barcelona,64.3,28418,2020,6758,14000,7889,1153,28416,802,396,49.4,321,40.0,18805,101341,55627,963,784,279,546,326,21141,2168,2022,SP
Betis,50.6,22482,2329,7275,10222,5227,718,22473,773,365,47.2,311,40.2,12640,63649,31063,620,492,156,564,353,14567,1259,2022,SP
Cádiz,41.9,18156,2374,6497,7769,4091,579,18151,569,246,43.2,249,43.8,9031,48205,24623,475,350,89,567,354,9839,960,2022,SP
Celta Vigo,50.2,22608,2214,7194,10099,5553,734,22605,700,323,46.1,295,42.1,13546,71269,36623,704,558,161,566,298,14591,1393,2022,SP
Elche,45.5,19948,2416,7058,8743,4363,619,19943,708,342,48.3,311,43.9,11274,60085,29395,561,408,107,577,345,11950,1185,2022,SP
Espanyol,43.1,18805,2216,6173,8355,4471,688,18800,575,257,44.7,260,45.2,9604,51135,25085,528,385,111,526,245,10712,1135,2022,SP
Getafe,39.9,17947,1980,5769,8366,3992,589,17939,456,217,47.6,189,41.4,8694,41812,20506,365,292,78,504,268,9604,989,2022,SP
Girona,51.3,22397,2619,7918,9753,4932,761,22388,728,341,46.8,311,42.7,13365,73974,38669,725,497,167,467,330,15020,1364,2022,SP
Mallorca,41.1,18171,2351,6553,8032,3792,524,18166,556,293,52.7,198,35.6,9509,50982,24564,476,341,94,498,302,10356,935,2022,SP
Osasuna,48.0,20888,2287,6397,9352,5331,709,20883,626,313,50.0,247,39.5,11200,58264,28888,545,416,128,590,316,12580,1338,2022,SP
Rayo Vallecano,51.2,21773,2061,6266,9706,6029,699,21765,660,296,44.8,290,43.9,12216,65376,33507,703,547,131,554,374,13384,1377,2022,SP
Real Madrid,60.9,28884,2415,7781,12859,8464,1151,28872,971,475,48.9,379,39.0,19025,100381,53186,1008,735,338,490,297,21956,2000,2022,SP
Real Sociedad,54.6,23231,2283,6890,10794,5762,798,23227,680,307,45.1,293,43.1,13362,70912,36738,692,499,187,607,368,15101,1463,2022,SP
Sevilla,52.6,22999,2284,7140,10069,5984,741,22994,604,269,44.5,257,42.5,13542,67133,32550,558,520,122,515,312,15242,1497,2022,SP
Valencia,52.0,21621,2061,6446,9155,6255,822,21613,747,352,47.1,307,41.1,12239,69490,37661,786,630,166,555,338,13469,1457,2022,SP
Valladolid,48.7,20748,2571,7370,9027,4583,638,20744,718,309,43.0,318,44.3,11499,64338,32319,610,451,147,589,316,12521,1233,2022,SP
Villarreal,56.9,23817,2621,7659,10215,6180,911,23810,880,435,49.4,345,39.2,14392,81466,45470,846,570,239,552,343,16363,1617,2022,SP
Augsburg,41.7,16607,2548,6859,6323,3604,574,16602,491,202,41.1,234,47.7,7744,41189,20165,331,241,70,490,266,8309,831,2022,GE
Bayern Munich,64.2,26741,2210,7657,12339,6998,1185,26736,912,466,51.1,362,39.7,17141,88991,44959,863,577,286,601,354,19261,2019,2022,GE
Bochum,46.1,17478,2270,6243,7442,3956,661,17475,420,175,41.7,195,46.4,7951,40250,18371,350,274,86,500,258,9060,1007,2022,GE
Dortmund,58.2,23758,2099,7166,10816,6011,944,23752,879,415,47.2,366,41.6,14458,75809,39242,783,514,205,483,356,16318,1614,2022,GE
Eint Frankfurt,52.9,21945,2034,6815,10478,4867,850,21939,695,292,42.0,331,47.6,12138,61277,31167,632,431,220,533,293,13832,1361,2022,GE
Freiburg,48.1,19068,2247,6546,8368,4296,723,19060,483,216,44.7,200,41.4,10112,53575,25969,427,297,108,444,240,11445,1027,2022,GE
Gladbach,53.7,22583,2744,8415,10217,4133,720,22577,548,240,43.8,226,41.2,13046,62465,31728,518,396,143,493,304,15408,1159,2022,GE
Hertha BSC,42.0,17023,2095,6263,7457,3531,612,17016,711,323,45.4,316,44.4,8139,43026,19959,413,269,132,521,301,8796,905,2022,GE
Hoffenheim,48.3,19434,2364,6926,8417,4271,705,19425,577,249,43.2,268,46.4,10627,53164,25890,457,330,138,551,258,11634,1168,2022,GE
Köln,49.9,20320,2232,7198,8697,4630,751,20316,521,226,43.4,236,45.3,11017,58246,28164,522,383,117,485,287,12123,1240,2022,GE
Leverkusen,52.0,21877,2184,7160,10575,4338,702,21870,714,352,49.3,268,37.5,12070,67165,36395,678,469,187,524,327,14558,1232,2022,GE
Mainz 05,44.8,18471,1946,6200,8219,4257,780,18465,495,224,45.3,220,44.4,9265,44936,20625,364,275,106,552,251,9946,1139,2022,GE
RB Leipzig,58.1,24322,2220,7782,11436,5327,834,24315,697,345,49.5,270,38.7,15273,73350,36506,599,440,168,525,316,16801,1437,2022,GE
