Squad,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,season,country
Atlético Madrid,48.6,21860,1918,6182,10585,5274,807,21852,543,348,64.1,195,35.9,11872,58628,30072,598,516,156,586,377,13506,1323,2019,SP
Barcelona,66.4,31713,2419,7683,15606,8628,1066,31707,793,524,66.1,269,33.9,20416,102227,57254,923,864,243,444,354,24606,2036,2019,SP
Betis,56.7,23715,2485,7853,10431,5665,845,23707,713,445,62.4,268,37.6,14024,78775,41021,834,634,200,548,355,16065,1463,2019,SP
Celta Vigo,51.7,22576,2291,7505,10374,4906,585,22567,610,370,60.7,240,39.3,12921,68433,33492,670,521,133,541,375,14460,1358,2019,SP
Eibar,46.3,19501,1777,5164,9086,5479,633,19491,458,260,56.8,198,43.2,9587,48746,21965,424,409,110,564,355,10333,1246,2019,SP
Espanyol,47.4,20282,2092,6860,9234,4417,604,20278,489,281,57.5,208,42.5,10645,59325,29721,561,405,103,576,331,11782,1222,2019,SP
Getafe,45.0,17737,1484,4842,7903,5206,650,17730,476,274,57.6,202,42.4,7551,40426,18906,416,330,82,635,318,8211,1179,2019,SP
Granada,43.8,18071,2226,6282,7633,4377,585,18066,553,300,54.2,253,45.8,9792,52441,25249,511,381,111,486,290,9720,994,2019,SP
Leganés,43.9,18841,1764,5798,8465,4791,636,18836,581,342,58.9,239,41.1,9273,49830,24609,498,412,122,544,291,10246,1145,2019,SP
Levante,48.3,20210,2479,7642,8291,4454,632,20205,637,386,60.6,251,39.4,10797,61650,32153,711,417,157,537,302,12313,1350,2019,SP
Mallorca,45.0,19626,2340,6588,8406,4870,686,19616,709,392,55.3,317,44.7,11405,65851,34539,740,527,201,625,353,11691,1201,2019,SP
Osasuna,47.4,20122,2002,6073,9400,4869,661,20114,525,315,60.0,210,40.0,9935,51175,25607,562,428,124,611,306,10840,1346,2019,SP
