Squad,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,season,country
Manchester Utd,989,26.03,743,79,55,52,38,22,98,2.58,68,4,8,7,6,5,2023,EN
Newcastle Utd,983,25.87,713,69,72,67,46,16,144,3.79,90,7,18,13,13,3,2023,EN
Nott'ham Forest,783,20.61,566,67,49,56,32,13,90,2.37,70,5,7,3,3,2,2023,EN
Sheffield Utd,601,15.82,425,59,39,45,22,11,48,1.26,32,2,4,6,3,1,2023,EN
Tottenham,1053,27.71,818,60,60,61,31,23,122,3.21,96,7,7,5,3,4,2023,EN
West Ham,782,20.58,518,91,58,43,47,25,104,2.74,70,11,8,8,4,3,2023,EN
Wolves,743,19.55,519,67,53,47,42,15,81,2.13,52,7,7,6,7,2,2023,EN
Alavés,817,21.5,563,88,54,53,43,16,60,1.58,39,5,6,4,6,0,2023,SP
Almería,823,21.66,586,66,47,52,50,22,70,1.84,45,3,7,9,4,2,2023,SP
Athletic Club,817,21.5,612,81,48,33,32,11,103,2.71,83,6,6,3,4,1,2023,SP
Atlético Madrid,852,22.42,650,59,56,42,31,14,120,3.16,94,3,10,7,5,1,2023,SP
Barcelona,1063,27.97,798,83,63,69,39,11,136,3.58,105,6,6,11,7,1,2023,SP
Betis,870,22.89,632,75,52,62,34,15,78,2.05,57,3,5,7,3,3,2023,SP
Cádiz,698,18.37,478,85,30,48,42,15,40,1.05,25,4,1,5,4,1,2023,SP
Celta Vigo,855,22.5,645,67,50,43,42,8,81,2.13,63,2,5,5,6,0,2023,SP
Getafe,766,20.16,531,87,45,48,40,15,69,1.82,40,8,8,9,4,0,2023,SP
Girona,872,22.95,674,62,45,45,36,10,152,4.0,119,7,10,7,8,1,2023,SP
Granada,708,18.63,475,74,47,50,49,13,63,1.66,45,3,3,5,5,2,2023,SP
Las Palmas,707,18.61,560,40,38,30,30,9,60,1.58,49,3,1,3,3,1,2023,SP
Mallorca,734,19.32,501,99,37,52,33,12,57,1.5,33,12,1,8,3,0,2023,SP
Osasuna,714,18.79,505,77,32,47,45,8,73,1.92,45,8,4,10,6,0,2023,SP
Rayo Vallecano,815,21.45,548,79,36,62,70,20,40,1.05,21,3,3,7,5,1,2023,SP
Real Madrid,1082,28.47,813,72,84,59,38,16,154,4.05,113,8,16,13,2,2,2023,SP
Real Sociedad,775,20.39,528,79,53,59,37,19,79,2.08,54,4,6,9,4,2,2023,SP
Sevilla,874,23.0,641,94,42,40,45,12,84,2.21,62,6,6,5,2,3,2023,SP
Valencia,670,17.63,478,66,38,29,42,17,66,1.74,47,3,5,5,6,0,2023,SP
Villarreal,855,22.5,624,76,53,56,30,16,111,2.92,77,9,4,15,5,1,2023,SP
Augsburg,726,21.35,503,78,35,58,39,13,78,2.29,58,6,2,8,4,0,2023,GE
Bayern Munich,1156,34.0,875,86,69,72,38,16,166,4.88,126,9,11,11,6,3,2023,GE
Bochum,884,26.0,561,134,38,81,55,15,72,2.12,43,8,5,9,6,1,2023,GE
Darmstadt 98,723,21.26,522,68,36,48,32,17,50,1.47,38,3,1,4,3,1,2023,GE
Dortmund,909,26.74,668,68,56,62,42,13,121,3.56,84,8,7,8,10,4,2023,GE
Eint Frankfurt,688,20.24,493,63,44,48,31,9,81,2.38,63,2,3,9,3,1,2023,GE
Freiburg,714,21.0,538,55,25,51,36,9,77,2.26,51,5,1,10,8,2,2023,GE
Gladbach,806,23.71,572,85,47,59,29,14,98,2.88,71,9,4,8,4,2,2023,GE
Heidenheim,666,19.59,442,95,30,54,34,11,81,2.38,57,9,4,5,5,1,2023,GE
Hoffenheim,813,23.91,608,68,38,48,38,13,110,3.24,78,5,11,8,6,2,2023,GE
Köln,780,22.94,551,76,36,59,47,11,45,1.32,22,3,3,10,7,0,2023,GE
Leverkusen,1117,32.85,854,74,77,54,47,11,159,4.68,115,12,13,9,10,0,2023,GE
Mainz 05,816,24.0,531,104,48,60,61,12,65,1.91,46,7,4,5,2,1,2023,GE
RB Leipzig,934,27.47,691,70,61,57,43,12,126,3.71,97,6,8,9,6,0,2023,GE
Stuttgart,960,28.24,738,52,65,60,27,18,138,4.06,108,2,14,9,4,1,2023,GE
Union Berlin,702,20.65,484,87,36,51,29,15,60,1.76,38,6,7,4,4,1,2023,GE
Werder Bremen,721,21.21,550,56,33,36,36,10,82,2.41,61,5,3,5,8,0,2023,GE
Wolfsburg,724,21.29,544,56,32,50,38,4,73,2.15,58,1,3,8,3,0,2023,GE
Atalanta,971,25.55,735,80,56,55,32,13,128,3.37,103,9,2,7,6,1,2023,IT
Bologna,823,21.66,611,64,57,52,30,9,78,2.05,50,1,8,13,6,0,2023,IT
Cagliari,785,20.66,550,80,41,54,43,17,70,1.84,44,5,6,10,3,2,2023,IT
Empoli,717,18.87,480,84,34,48,57,14,46,1.21,30,3,3,4,6,0,2023,IT
Fiorentina,910,23.95,679,79,37,59,44,12,106,2.79,71,11,8,10,5,1,2023,IT
Frosinone,801,21.08,572,82,54,41,39,13,75,1.97,46,10,3,4,9,3,2023,IT
Genoa,705,18.55,448,105,29,57,58,8,75,1.97,53,3,5,10,4,0,2023,IT
Hellas Verona,777,20.45,546,91,39,42,40,19,69,1.82,46,6,5,4,4,4,2023,IT
Inter,1059,27.87,819,85,24,68,47,16,152,4.0,109,9,7,10,13,4,2023,IT
Juventus,936,24.63,669,89,51,68,38,21,87,2.29,54,6,4,14,6,3,2023,IT
Lazio,762,20.05,573,60,34,49,34,12,74,1.95,54,2,2,9,6,1,2023,IT
Lecce,879,23.13,593,92,57,69,42,26,49,1.29,30,4,3,3,6,3,2023,IT
Milan,1006,26.47,726,86,74,73,33,14,139,3.66,102,7,15,10,4,1,2023,IT
Monza,800,21.05,609,64,31,50,33,13,68,1.79,53,3,4,4,4,0,2023,IT
Napoli,1145,30.13,835,85,73,86,52,14,86,2.26,58,3,6,7,9,3,2023,IT
Roma,858,22.58,617,79,38,61,51,12,112,2.95,68,8,9,16,11,0,2023,IT
Salernitana,699,18.39,515,68,24,48,30,14,52,1.37,35,6,3,6,2,0,2023,IT
Sassuolo,825,21.71,620,62,45,49,38,11,73,1.92,50,4,1,8,8,2,2023,IT
Torino,764,20.11,563,74,32,47,36,12,63,1.66,46,4,4,4,3,2,2023,IT
Udinese,793,20.87,528,84,50,68,46,17,63,1.66,39,3,6,9,5,1,2023,IT
