Squad,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,season,country
Levante,671,17.66,519,48,36,25,29,14,80,2.11,60,4,5,4,3,4,2020,SP
Osasuna,615,16.18,441,70,31,35,30,8,61,1.61,45,4,0,6,3,3,2020,SP
Real Madrid,981,25.82,745,79,55,51,41,10,114,3.0,89,6,8,5,4,2,2020,SP
Real Sociedad,749,19.71,532,76,35,45,48,13,100,2.63,72,9,2,9,8,0,2020,SP
Sevilla,830,21.84,635,61,55,36,35,8,87,2.29,65,4,8,6,4,0,2020,SP
Valencia,687,18.08,482,58,47,34,59,7,86,2.26,58,10,5,5,8,0,2020,SP
Valladolid,652,17.16,471,50,33,31,55,12,56,1.47,36,2,3,5,9,1,2020,SP
Villarreal,742,19.53,576,46,49,27,37,7,99,2.61,69,3,12,7,7,1,2020,SP
Arminia,558,16.41,371,60,40,27,48,12,38,1.12,27,2,4,2,2,1,2020,GE
Augsburg,566,16.65,377,65,39,28,44,13,57,1.68,40,4,4,5,4,0,2020,GE
Bayern Munich,1040,30.59,823,67,59,55,27,9,171,5.03,134,8,13,8,7,1,2020,GE
Dortmund,879,25.85,655,61,57,46,47,13,131,3.85,99,7,11,7,5,2,2020,GE
Eint Frankfurt,806,23.71,595,81,35,43,41,11,114,3.35,75,11,5,10,11,2,2020,GE
Freiburg,666,19.59,474,73,22,47,44,6,83,2.44,55,8,3,10,6,1,2020,GE
Gladbach,779,22.91,556,77,39,53,46,8,109,3.21,70,9,3,14,13,0,2020,GE
Hertha BSC,644,18.94,447,62,47,31,44,13,68,2.0,50,3,3,5,7,0,2020,GE
Hoffenheim,768,22.59,584,63,34,35,42,10,91,2.68,62,6,9,7,7,0,2020,GE
Köln,630,18.53,444,69,33,36,43,5,56,1.65,36,5,4,7,4,0,2020,GE
Leverkusen,781,22.97,580,61,60,46,27,7,92,2.71,62,7,11,9,3,0,2020,GE
Mainz 05,628,18.47,440,68,34,31,42,13,64,1.88,42,6,2,8,6,0,2020,GE
RB Leipzig,973,28.62,731,67,47,60,55,13,104,3.06,71,4,8,10,8,3,2020,GE
Schalke 04,519,15.26,340,65,27,39,40,8,41,1.21,30,4,3,2,2,0,2020,GE
Stuttgart,805,23.68,580,73,41,49,45,17,93,2.74,63,8,6,5,9,2,2020,GE
Union Berlin,683,20.09,475,73,26,41,50,18,86,2.53,59,10,2,4,8,3,2020,GE
Werder Bremen,619,18.21,448,54,31,34,41,11,62,1.82,44,7,2,3,5,1,2020,GE
Wolfsburg,811,23.85,593,72,45,54,39,8,99,2.91,76,4,6,8,4,1,2020,GE
Atalanta,1115,29.34,866,68,60,61,43,17,162,4.26,127,8,10,9,5,3,2020,IT
Benevento,686,18.05,486,66,36,52,36,10,66,1.74,43,8,3,5,5,2,2020,IT
Bologna,862,22.68,629,72,48,52,43,18,83,2.18,62,6,1,8,5,1,2020,IT
Cagliari,730,19.21,521,72,38,54,35,10,75,1.97,52,4,4,10,5,0,2020,IT
Crotone,623,16.39,433,53,56,29,41,11,75,1.97,44,6,9,5,8,3,2020,IT
Fiorentina,655,17.24,472,71,29,26,50,7,77,2.03,53,5,4,6,9,0,2020,IT
Genoa,585,15.39,439,38,38,35,22,13,73,1.92,55,3,5,6,2,2,2020,IT
Hellas Verona,682,17.95,485,75,33,34,47,8,71,1.87,54,3,6,3,4,1,2020,IT
Inter,985,25.92,754,76,44,55,38,18,150,3.95,114,6,8,12,8,2,2020,IT
Juventus,1061,27.92,777,86,74,68,46,10,134,3.53,94,4,13,14,6,3,2020,IT
Lazio,937,24.66,733,53,47,55,33,16,103,2.71,75,1,8,9,9,1,2020,IT
Milan,983,25.87,684,86,54,75,75,9,129,3.39,85,11,5,10,15,3,2020,IT
Napoli,1119,29.45,834,67,74,69,53,22,142,3.74,90,6,18,12,13,3,2020,IT
Parma,696,18.32,495,60,51,38,42,10,70,1.84,51,4,6,3,6,0,2020,IT
Roma,911,23.97,663,70,60,69,31,18,121,3.18,90,8,10,6,6,1,2020,IT
Sampdoria,717,18.87,503,73,31,53,38,19,85,2.24,57,7,7,9,5,0,2020,IT
Sassuolo,951,25.03,705,61,66,53,53,13,109,2.87,71,5,7,9,14,3,2020,IT
Spezia,664,17.47,488,55,33,47,29,12,88,2.32,57,8,3,12,6,2,2020,IT
Torino,794,20.89,503,84,48,70,74,15,80,2.11,45,8,5,13,8,1,2020,IT
Udinese,706,18.58,509,53,44,42,44,14,67,1.76,45,3,9,5,5,0,2020,IT
América (MG),998,26.26,716,92,64,59,45,22,71,1.87,52,2,4,6,5,2,2021,BR
Ath Paranaense,906,23.84,655,88,46,50,54,13,76,2.0,60,5,3,4,4,0,2021,BR
Atl Goianiense,712,18.74,512,55,52,40,43,10,52,1.37,35,2,7,3,4,1,2021,BR
Atlético Mineiro,959,25.24,709,77,52,43,60,18,120,3.16,82,4,8,9,11,6,2021,BR
Bahia,815,21.45,602,85,31,34,51,12,74,1.95,48,7,6,3,8,2,2021,BR
Ceará,888,23.37,611,92,57,60,56,12,59,1.55,32,6,5,12,4,0,2021,BR
Chapecoense,678,17.84,460,71,42,42,47,16,45,1.18,26,4,2,6,6,1,2021,BR
Corinthians,744,19.58,536,61,54,42,44,7,70,1.84,47,3,7,7,6,0,2021,BR
Cuiabá,751,19.76,566,64,39,37,32,13,55,1.45,34,5,2,9,5,0,2021,BR
Flamengo,1000,26.32,717,82,75,55,50,21,118,3.11,76,9,18,9,3,3,2021,BR
Fluminense,728,19.16,523,68,45,35,48,9,62,1.63,42,7,5,4,4,0,2021,BR
Fortaleza,950,25.0,686,78,67,55,55,9,68,1.79,38,11,4,9,6,0,2021,BR
Grêmio,973,25.61,733,72,65,38,48,17,77,2.03,56,2,9,5,5,0,2021,BR
Internacional,814,21.42,608,69,36,44,43,14,78,2.05,54,6,5,5,8,0,2021,BR
Juventude,718,18.89,488,65,54,40,62,9,56,1.47,36,6,4,2,8,0,2021,BR
Palmeiras,955,25.13,683,104,56,53,50,9,97,2.55,69,8,7,8,5,0,2021,BR
Red Bull Bragantino,899,23.66,672,64,53,44,56,10,92,2.42,70,7,5,7,3,0,2021,BR
Santos,820,21.58,631,53,29,43,55,9,58,1.53,42,1,3,7,5,0,2021,BR
São Paulo,790,20.79,577,74,41,46,43,9,54,1.42,35,3,3,5,7,1,2021,BR
Sport Recife,817,21.5,596,75,33,38,59,16,40,1.05,28,1,4,3,4,0,2021,BR
Arsenal,1030,27.11,788,68,57,66,39,12,99,2.61,69,8,4,13,4,1,2021,EN
Aston Villa,837,22.03,608,85,49,41,48,6,93,2.45,65,9,9,7,3,0,2021,EN
Brentford,739,19.45,487,96,37,62,43,14,78,2.05,46,11,4,8,9,0,2021,EN
Brighton,870,22.89,630,84,49,55,40,12,72,1.89,49,8,4,6,4,1,2021,EN
Burnley,674,17.74,455,81,28,50,50,10,60,1.58,39,9,5,3,4,0,2021,EN
Chelsea,1064,28.0,818,62,48,75,49,12,135,3.55,97,9,8,10,9,2,2021,EN
Crystal Palace,711,18.71,500,63,43,46,43,16,81,2.13,53,3,7,8,9,1,2021,EN
Everton,742,19.53,533,69,43,42,45,10,68,1.79,46,4,4,6,8,0,2021,EN
Leeds United,825,21.71,589,68,52,60,42,14,66,1.74,36,2,10,10,5,3,2021,EN
Leicester City,745,19.61,566,41,48,42,33,15,105,2.76,81,3,4,8,5,4,2021,EN
Liverpool,1249,32.87,912,105,63,104,49,16,163,4.29,121,9,9,19,5,0,2021,EN
Manchester City,1286,33.84,997,78,70,88,42,11,158,4.16,112,10,6,19,8,3,2021,EN
Manchester Utd,917,24.13,706,65,56,38,39,13,104,2.74,77,6,6,7,5,3,2021,EN
Newcastle Utd,758,19.95,504,81,61,57,44,11,70,1.84,46,4,5,9,6,0,2021,EN
Norwich City,637,16.76,435,67,41,33,50,11,35,0.92,27,2,1,1,3,1,2021,EN
Southampton,814,21.42,585,68,43,51,49,18,71,1.87,44,5,6,4,9,3,2021,EN
Tottenham,882,23.21,678,51,46,61,37,9,117,3.08,95,3,4,8,6,1,2021,EN
Watford,693,18.24,475,59,48,43,52,16,57,1.5,36,5,4,7,3,2,2021,EN
West Ham,770,20.26,569,68,47,50,28,8,102,2.68,72,10,5,9,5,1,2021,EN
Wolves,692,18.21,496,44,65,37,31,19,58,1.53,37,4,5,8,2,2,2021,EN
Alavés,628,16.53,392,88,38,46,53,11,48,1.26,27,6,4,5,6,0,2021,SP
Athletic Club,821,21.61,581,94,46,42,47,11,72,1.89,52,9,1,2,5,3,2021,SP
Atlético Madrid,828,21.79,593,86,56,41,40,12,111,2.92,86,6,5,8,3,3,2021,SP
Barcelona,942,24.79,728,62,68,34,41,9,123,3.24,95,5,7,8,6,2,2021,SP
Betis,902,23.74,670,75,55,46,41,15,94,2.47,65,5,10,5,8,1,2021,SP
Cádiz,687,18.08,459,86,38,47,41,16,55,1.45,32,7,3,5,6,2,2021,SP
Celta Vigo,701,18.45,540,43,25,50,34,9,70,1.84,52,2,3,11,1,1,2021,SP
Elche,592,15.58,426,60,42,23,28,13,68,1.79,50,4,7,3,2,2,2021,SP
Espanyol,721,18.97,521,59,47,40,41,13,67,1.76,45,5,4,8,3,2,2021,SP
Getafe,700,18.42,464,85,32,40,61,18,53,1.39,38,7,3,2,1,2,2021,SP
Granada,702,18.47,488,67,43,49,40,15,68,1.79,45,8,3,6,2,4,2021,SP
Levante,720,18.95,486,80,48,65,28,13,79,2.08,55,3,5,9,6,1,2021,SP
Mallorca,761,20.03,495,90,47,55,55,19,59,1.55,32,6,4,7,8,2,2021,SP
Osasuna,721,18.97,502,85,28,49,44,13,62,1.63,42,7,0,7,4,2,2021,SP
Rayo Vallecano,862,22.68,603,98,37,54,52,18,63,1.66,36,5,7,8,5,2,2021,SP
Real Madrid,1195,31.45,922,68,83,56,49,17,139,3.66,102,2,13,11,8,3,2021,SP
Real Sociedad,773,20.34,530,70,56,57,46,14,69,1.82,38,3,6,12,10,0,2021,SP
Sevilla,784,20.63,578,78,35,35,43,15,95,2.5,63,9,8,7,5,3,2021,SP
Valencia,718,18.89,479,93,45,26,64,11,83,2.18,53,8,7,3,11,1,2021,SP
Villarreal,800,21.05,593,73,57,38,28,11,112,2.95,73,12,11,10,5,1,2021,SP
Arminia,586,17.24,410,52,41,39,34,10,42,1.24,32,2,1,4,3,0,2021,GE
Augsburg,608,17.88,433,70,24,35,29,17,59,1.74,37,8,2,8,4,0,2021,GE
Bayern Munich,1170,34.41,874,93,64,84,36,19,161,4.74,122,13,9,10,5,2,2021,GE
Bochum,662,19.47,451,75,27,39,56,14,60,1.76,38,5,4,5,6,2,2021,GE
Dortmund,796,23.41,570,71,51,51,43,10,141,4.15,96,7,12,12,10,4,2021,GE
Eint Frankfurt,762,22.41,528,88,36,61,38,11,75,2.21,51,8,4,8,4,0,2021,GE
Freiburg,775,22.79,526,99,21,65,57,7,90,2.65,57,12,2,8,10,1,2021,GE
Gladbach,870,25.59,642,80,34,46,52,16,89,2.62,66,3,4,10,5,1,2021,GE
Greuther Fürth,525,15.44,357,48,37,30,35,18,43,1.26,27,3,4,4,5,0,2021,GE
Hertha BSC,639,18.79,432,77,31,41,42,16,58,1.71,35,8,1,4,8,2,2021,GE
Hoffenheim,785,23.09,583,71,39,52,27,13,100,2.94,81,3,5,8,1,2,2021,GE
Köln,796,23.41,590,88,26,43,37,12,91,2.68,67,8,5,8,2,1,2021,GE
Leverkusen,804,23.65,596,63,55,52,30,8,134,3.94,100,5,14,10,5,0,2021,GE
Mainz 05,760,22.35,526,82,32,59,48,13,81,2.38,63,4,3,6,4,1,2021,GE
RB Leipzig,762,22.41,551,75,44,45,42,5,129,3.79,88,10,10,7,13,1,2021,GE
Stuttgart,794,23.35,552,77,52,57,42,14,70,2.06,43,8,5,10,4,0,2021,GE
Union Berlin,688,20.24,496,61,30,58,36,7,70,2.06,49,2,6,11,2,0,2021,GE
Wolfsburg,723,21.26,502,70,43,51,51,6,68,2.0,47,3,3,8,7,0,2021,GE
Atalanta,1078,28.37,776,98,69,87,32,16,110,2.89,88,2,8,8,3,1,2021,IT
Bologna,777,20.45,599,71,26,41,34,6,76,2.0,59,7,2,5,3,0,2021,IT
Cagliari,742,19.53,521,86,25,63,34,13,61,1.61,43,5,2,5,5,1,2021,IT
Empoli,835,21.97,622,67,40,51,42,13,84,2.21,59,6,5,8,6,0,2021,IT
Fiorentina,908,23.89,655,85,40,60,59,9,99,2.61,67,3,4,13,9,3,2021,IT
Genoa,684,18.0,462,75,35,40,53,19,48,1.26,33,4,5,0,5,1,2021,IT
Hellas Verona,796,20.95,607,65,34,42,32,16,106,2.79,89,3,5,4,5,0,2021,IT
Inter,1184,31.16,885,104,44,93,37,21,149,3.92,114,12,4,14,5,0,2021,IT
Juventus,917,24.13,677,60,62,57,49,12,99,2.61,73,5,9,7,5,0,2021,IT
Lazio,798,21.0,610,55,40,42,41,10,128,3.37,82,11,12,12,9,2,2021,IT
Milan,1026,27.0,717,75,71,85,59,19,105,2.76,75,2,7,14,5,2,2021,IT
Napoli,1021,26.87,778,63,57,53,48,22,126,3.32,89,9,3,11,10,4,2021,IT
Roma,1031,27.13,695,110,60,93,56,17,94,2.47,54,9,9,13,9,0,2021,IT
Salernitana,739,19.45,500,85,35,55,54,10,58,1.53,33,7,3,8,7,0,2021,IT
Sampdoria,680,17.89,496,65,33,41,35,10,69,1.82,47,6,3,7,5,1,2021,IT
Sassuolo,1010,26.58,795,56,72,37,38,12,104,2.74,80,4,10,2,8,0,2021,IT
Spezia,663,17.45,469,59,45,40,38,12,61,1.61,39,4,3,9,3,3,2021,IT
Torino,827,21.76,589,92,35,61,41,9,74,1.95,50,3,6,9,5,1,2021,IT
Udinese,860,22.63,582,88,58,68,51,13,92,2.42,54,8,8,13,8,1,2021,IT
Venezia,617,16.24,440,56,30,31,46,14,57,1.5,41,4,1,5,6,0,2021,IT
América (MG),957,25.18,707,97,42,57,37,17,67,1.76,45,3,1,9,6,3,2022,BR
Ath Paranaense,829,21.82,596,67,49,56,41,20,73,1.92,48,4,6,8,5,2,2022,BR
Atl Goianiense,923,24.29,693,80,48,55,37,10,63,1.66,50,2,3,4,4,0,2022,BR
Atlético Mineiro,1043,27.45,746,95,65,49,65,23,75,1.97,52,3,6,9,4,1,2022,BR
Avaí,761,20.03,553,57,46,34,60,11,55,1.45,30,2,3,8,12,0,2022,BR
Botafogo (RJ),883,23.24,564,107,78,54,67,13,57,1.5,26,7,6,9,9,0,2022,BR
Ceará,932,24.53,671,95,41,57,62,6,48,1.26,28,3,1,8,8,0,2022,BR
Corinthians,767,20.18,554,64,45,50,42,12,70,1.84,45,4,7,10,3,1,2022,BR
Coritiba,892,23.47,632,83,59,50,56,12,73,1.92,45,8,6,4,9,1,2022,BR
Cuiabá,795,20.92,567,90,34,45,51,8,50,1.32,27,4,4,9,6,0,2022,BR
Flamengo,1009,26.55,752,69,64,49,57,18,107,2.82,71,10,9,12,4,1,2022,BR
Fluminense,992,26.11,766,68,49,46,48,15,112,2.95,82,5,7,9,8,1,2022,BR
Fortaleza,886,23.32,609,95,60,46,60,16,80,2.11,55,5,10,5,4,1,2022,BR
Goiás,707,18.61,474,86,35,39,59,14,69,1.82,45,7,2,8,6,1,2022,BR
Internacional,925,24.34,659,88,46,57,56,19,99,2.61,65,6,6,11,8,3,2022,BR
Juventude,775,20.39,555,87,33,43,38,19,48,1.26,39,2,0,4,2,1,2022,BR
Palmeiras,1161,30.55,812,130,61,70,70,18,112,2.95,80,9,4,12,6,1,2022,BR
Red Bull Bragantino,957,25.18,709,83,33,57,60,15,79,2.08,51,5,3,11,7,2,2022,BR
Santos,851,22.39,593,75,71,57,42,13,68,1.79,43,5,5,8,7,0,2022,BR
São Paulo,899,23.66,649,95,39,58,38,20,102,2.68,80,4,5,7,3,3,2022,BR
Arsenal,1045,27.5,776,78,57,73,43,18,150,3.95,121,6,5,13,3,2,2022,EN
Aston Villa,751,19.76,565,50,48,38,40,10,84,2.21,55,2,6,12,6,3,2022,EN
Bournemouth,616,16.21,444,45,53,43,24,7,64,1.68,44,5,4,8,2,1,2022,EN
Brentford,702,18.47,475,99,32,45,44,7,98,2.58,65,8,4,8,11,2,2022,EN
Brighton,1075,28.29,819,73,81,63,27,12,115,3.03,83,3,13,9,6,1,2022,EN
Chelsea,859,22.61,667,66,42,42,31,11,68,1.79,57,3,2,2,4,0,2022,EN
Crystal Palace,746,19.63,497,67,56,49,59,18,67,1.76,43,6,6,6,4,2,2022,EN
Everton,735,19.34,493,84,39,54,45,20,59,1.55,41,5,5,2,4,2,2022,EN
Fulham,751,19.76,528,78,29,54,47,15,90,2.37,56,9,5,11,7,2,2022,EN
Leeds United,783,20.61,535,99,32,54,48,15,69,1.82,43,7,4,9,3,3,2022,EN
Leicester City,744,19.58,540,52,50,50,38,14,87,2.29,59,2,8,8,7,3,2022,EN
Liverpool,1046,27.53,778,85,56,75,33,19,129,3.39,97,9,7,8,7,1,2022,EN
Manchester City,1099,28.92,826,81,53,76,49,14,168,4.42,130,7,8,9,12,2,2022,EN
Manchester Utd,1051,27.66,840,58,46,63,35,9,99,2.61,79,3,8,5,4,0,2022,EN
Newcastle Utd,1008,26.53,690,110,62,77,57,12,106,2.79,64,6,15,10,6,5,2022,EN
Nott'ham Forest,593,15.61,416,59,31,38,36,13,54,1.42,31,5,4,11,3,0,2022,EN
Southampton,718,18.89,493,77,46,51,38,13,61,1.61,35,5,7,5,6,3,2022,EN
Tottenham,910,23.95,692,60,46,55,38,19,116,3.05,84,7,7,9,7,2,2022,EN
West Ham,817,21.5,586,81,40,60,35,15,67,1.76,41,6,6,8,6,0,2022,EN
Wolves,713,18.76,520,62,31,47,42,11,44,1.16,32,1,3,6,1,1,2022,EN
Almería,758,19.95,533,73,51,51,33,17,76,2.0,51,7,8,7,3,0,2022,SP
Athletic Club,945,24.87,678,96,56,59,40,16,78,2.05,54,3,6,7,7,1,2022,SP
Atlético Madrid,958,25.21,756,59,47,51,32,13,116,3.05,82,7,9,13,3,2,2022,SP
Barcelona,1050,27.63,824,65,62,58,30,11,125,3.29,106,2,6,11,0,0,2022,SP
Betis,741,19.5,547,55,53,44,35,7,69,1.82,47,3,5,9,5,0,2022,SP
Cádiz,663,17.45,461,69,36,42,38,17,49,1.29,32,2,8,5,2,0,2022,SP
Celta Vigo,819,21.55,623,62,45,41,37,11,70,1.84,55,3,6,3,1,2,2022,SP
Elche,726,19.11,495,103,47,37,33,11,54,1.42,36,7,0,4,5,2,2022,SP
Espanyol,735,19.34,506,79,43,53,41,13,84,2.21,58,2,5,13,3,3,2022,SP
Getafe,619,16.29,414,84,25,35,54,7,51,1.34,38,4,2,2,4,1,2022,SP
Girona,821,21.61,597,86,41,45,43,9,102,2.68,70,10,1,5,13,3,2022,SP
Mallorca,563,14.82,373,76,33,30,42,9,63,1.66,37,11,4,4,5,2,2022,SP
Osasuna,779,20.5,564,77,53,41,30,14,69,1.82,53,7,0,5,4,0,2022,SP
Rayo Vallecano,881,23.18,651,77,43,40,46,24,69,1.82,50,5,6,3,4,1,2022,SP
Real Madrid,1194,31.42,894,85,88,52,67,8,134,3.53,95,5,15,8,10,1,2022,SP
Real Sociedad,800,21.05,594,71,41,39,38,17,82,2.16,64,3,5,4,3,3,2022,SP
Sevilla,837,22.03,640,74,26,41,39,17,82,2.16,56,8,7,6,5,0,2022,SP
Valencia,859,22.61,607,80,59,46,51,16,62,1.63,40,6,2,7,6,1,2022,SP
Valladolid,792,20.84,581,77,39,36,46,13,59,1.55,40,6,4,4,5,0,2022,SP
Villarreal,884,23.26,665,45,73,53,40,8,89,2.34,59,2,13,11,4,0,2022,SP
Augsburg,578,17.0,383,76,26,42,37,14,70,2.06,42,6,3,10,5,4,2022,GE
Bayern Munich,1094,32.18,841,63,68,78,24,20,153,4.5,114,2,12,16,5,4,2022,GE
Bochum,678,19.94,464,92,22,41,46,13,67,1.97,44,10,4,4,5,0,2022,GE
Dortmund,1014,29.82,735,74,80,72,41,12,144,4.24,102,5,16,10,8,3,2022,GE
Eint Frankfurt,711,20.91,507,62,50,47,35,10,95,2.79,64,2,10,11,8,0,2022,GE
Freiburg,724,21.29,499,87,31,51,45,11,87,2.56,57,11,3,7,9,0,2022,GE
Gladbach,725,21.32,509,89,32,43,40,12,81,2.38,60,7,4,7,3,0,2022,GE
Hertha BSC,652,19.18,436,65,56,38,42,15,70,2.06,49,4,5,3,9,0,2022,GE
Hoffenheim,719,21.15,513,65,46,36,47,12,83,2.44,57,3,9,7,6,1,2022,GE
Köln,705,20.74,505,78,37,50,27,8,78,2.29,57,4,5,7,5,0,2022,GE
Leverkusen,792,23.29,576,59,57,47,42,11,105,3.09,72,3,15,4,8,3,2022,GE
Mainz 05,696,20.47,483,77,32,54,38,12,84,2.47,51,9,3,13,6,2,2022,GE
RB Leipzig,874,25.71,629,70,55,63,46,11,108,3.18,76,5,6,10,9,2,2022,GE
Schalke 04,715,21.03,487,92,26,51,48,11,56,1.65,38,6,2,2,7,1,2022,GE
Stuttgart,810,23.82,561,85,52,54,46,12,83,2.44,64,3,5,4,5,2,2022,GE
