Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,season,country
Brescia,34,414,138,33.3,10.89,3.63,0.07,0.22,17.9,32,4,4,43.4,40.2,0.1,-9.4,-10.2,2019,IT
Cagliari,50,438,136,31.1,11.53,3.58,0.11,0.34,19.5,16,4,6,41.8,37.1,0.09,8.2,8.9,2019,IT
Fiorentina,48,538,170,31.6,14.16,4.47,0.07,0.23,18.2,23,9,11,53.6,45.4,0.09,-5.6,-6.4,2019,IT
Genoa,46,420,140,33.3,11.05,3.68,0.08,0.25,19.2,24,11,16,48.7,36.2,0.09,-2.7,-1.2,2019,IT
Hellas Verona,45,435,146,33.6,11.45,3.84,0.09,0.25,17.4,12,8,9,50.5,43.6,0.1,-5.5,-6.6,2019,IT
Inter,80,607,216,35.6,15.97,5.68,0.12,0.32,17.6,22,10,11,69.4,60.8,0.1,10.6,9.2,2019,IT
Juventus,73,665,224,33.7,17.5,5.89,0.09,0.27,19.0,40,13,14,71.1,60.1,0.09,1.9,-0.1,2019,IT
Lazio,77,562,204,36.3,14.79,5.37,0.11,0.3,18.2,21,15,18,68.0,53.9,0.1,9.0,8.1,2019,IT
Lecce,52,513,165,32.2,13.5,4.34,0.08,0.25,19.6,19,11,15,54.7,43.5,0.09,-2.7,-2.5,2019,IT
Milan,60,610,186,30.5,16.05,4.89,0.09,0.28,19.0,24,8,9,62.8,56.0,0.09,-2.8,-4.0,2019,IT
Napoli,60,683,225,32.9,17.97,5.92,0.08,0.24,19.0,17,5,5,61.7,57.8,0.09,-1.7,-2.8,2019,IT
Parma,53,458,145,31.7,12.05,3.82,0.11,0.34,19.0,23,4,6,48.4,43.7,0.1,4.6,5.3,2019,IT
Roma,73,630,198,31.4,16.58,5.21,0.1,0.31,18.7,35,12,14,73.2,62.8,0.1,-0.2,-1.8,2019,IT
Sampdoria,48,549,161,29.3,14.45,4.24,0.07,0.24,19.4,25,9,12,50.2,40.8,0.08,-2.2,-1.8,2019,IT
Sassuolo,69,547,191,34.9,14.39,5.03,0.12,0.34,19.8,32,5,6,52.9,48.2,0.09,16.1,15.8,2019,IT
SPAL,27,462,117,25.3,12.16,3.08,0.05,0.19,19.4,23,5,7,40.7,35.2,0.08,-13.7,-13.2,2019,IT
Torino,44,438,144,32.9,11.53,3.79,0.08,0.26,18.4,21,7,8,44.8,39.4,0.09,-0.8,-2.4,2019,IT
Udinese,37,469,141,30.1,12.34,3.71,0.08,0.26,18.5,12,0,0,41.6,41.6,0.09,-4.6,-4.6,2019,IT
Ath Paranaense,38,439,144,32.8,11.55,3.79,0.09,0.26,18.8,24,0,1,45.6,44.8,0.1,-7.6,-6.8,2020,BR
Atl Goianiense,39,459,143,31.2,12.08,3.76,0.08,0.24,20.2,27,4,4,44.3,41.1,0.09,-5.3,-6.1,2020,BR
Atlético Mineiro,60,621,198,31.9,16.34,5.21,0.08,0.26,19.4,25,8,13,68.5,58.2,0.1,-8.5,-6.2,2020,BR
Bahia,48,506,171,33.8,13.32,4.5,0.08,0.25,19.1,24,5,8,55.9,49.6,0.1,-7.9,-6.6,2020,BR
Botafogo (RJ),32,515,144,28.0,13.55,3.79,0.05,0.18,19.5,30,6,7,51.3,45.8,0.09,-19.3,-19.8,2020,BR
Ceará,52,450,148,32.9,11.84,3.89,0.1,0.31,18.8,22,6,7,51.8,46.4,0.11,0.2,-0.4,2020,BR
Corinthians,44,471,172,36.5,12.39,4.53,0.08,0.23,19.9,24,4,5,44.1,40.2,0.09,-0.1,-0.2,2020,BR
Coritiba,31,387,104,26.9,10.18,2.74,0.07,0.25,21.3,22,5,6,37.9,33.3,0.09,-6.9,-7.3,2020,BR
Flamengo,67,569,199,35.0,14.97,5.24,0.11,0.3,17.9,26,7,10,78.4,71.5,0.13,-11.4,-11.5,2020,BR
Fluminense,52,436,141,32.3,11.47,3.71,0.11,0.33,19.0,18,6,7,41.3,35.9,0.08,10.7,10.1,2020,BR
Fortaleza,33,405,118,29.1,10.66,3.11,0.07,0.24,19.4,20,5,8,43.2,37.4,0.09,-10.2,-9.4,2020,BR
Goiás,39,416,129,31.0,10.95,3.39,0.08,0.27,20.1,29,4,5,39.5,35.6,0.09,-0.5,-0.6,2020,BR
Grêmio,51,507,157,31.0,13.34,4.13,0.09,0.29,19.3,45,5,7,54.3,48.8,0.1,-3.3,-2.8,2020,BR
Internacional,59,441,151,34.2,11.61,3.97,0.11,0.33,17.5,21,9,10,55.3,47.4,0.11,3.7,2.6,2020,BR
Palmeiras,51,515,156,30.3,13.55,4.11,0.09,0.29,20.9,23,5,7,52.6,47.5,0.1,-1.6,-1.5,2020,BR
Red Bull Bragantino,50,581,180,31.0,15.29,4.74,0.08,0.26,20.7,32,4,8,53.3,47.1,0.08,-3.3,-1.1,2020,BR
Santos,49,423,148,35.0,11.13,3.89,0.09,0.26,19.8,39,11,13,50.9,40.9,0.1,-1.9,-2.9,2020,BR
São Paulo,59,549,187,34.1,14.45,4.92,0.1,0.28,19.8,39,6,7,54.3,48.9,0.09,4.7,4.1,2020,BR
Sport Recife,31,368,90,24.5,9.68,2.37,0.06,0.26,19.8,25,8,8,34.7,28.6,0.08,-3.7,-5.6,2020,BR
Vasco da Gama,37,391,134,34.3,10.29,3.53,0.09,0.25,20.0,24,3,4,41.1,38.0,0.1,-4.1,-4.0,2020,BR
Arsenal,53,453,140,30.9,11.92,3.68,0.1,0.34,17.7,23,6,6,51.7,47.0,0.11,1.3,0.0,2020,EN
Aston Villa,52,514,178,34.6,13.53,4.68,0.09,0.26,17.3,16,5,6,52.5,47.9,0.1,-0.5,-0.9,2020,EN
Brighton,39,478,134,28.0,12.58,3.53,0.07,0.25,17.4,15,6,9,50.9,43.8,0.09,-11.9,-10.8,2020,EN
Burnley,32,381,124,32.5,10.03,3.26,0.08,0.23,17.4,15,3,3,39.3,36.9,0.1,-7.3,-7.9,2020,EN
Chelsea,56,546,193,35.3,14.37,5.08,0.09,0.25,17.1,16,8,10,62.4,54.5,0.1,-6.4,-6.5,2020,EN
Crystal Palace,39,345,127,36.8,9.08,3.34,0.1,0.28,17.6,18,3,4,34.1,31.0,0.09,4.9,5.0,2020,EN
Everton,45,395,143,36.2,10.39,3.76,0.1,0.29,17.2,15,4,5,45.7,41.9,0.11,-0.7,-0.9,2020,EN
Fulham,26,436,125,28.7,11.47,3.29,0.05,0.18,18.3,12,3,6,40.5,35.9,0.08,-14.5,-12.9,2020,EN
Leeds United,60,518,193,37.3,13.63,5.08,0.11,0.29,16.9,9,4,4,55.6,52.5,0.1,4.4,3.5,2020,EN
Leicester City,64,473,170,35.9,12.45,4.47,0.11,0.32,18.6,20,10,12,55.8,46.3,0.1,8.2,7.7,2020,EN
Liverpool,65,602,204,33.9,15.84,5.37,0.1,0.29,17.1,22,6,6,67.5,62.9,0.11,-2.5,-3.9,2020,EN
Manchester City,82,590,211,35.8,15.53,5.55,0.13,0.36,17.2,21,5,9,68.2,61.2,0.11,13.8,15.8,2020,EN
Manchester Utd,70,515,196,38.1,13.55,5.16,0.12,0.31,18.1,21,10,11,60.1,51.4,0.1,9.9,8.6,2020,EN
Newcastle Utd,44,390,130,33.3,10.26,3.42,0.1,0.29,18.3,25,6,7,43.4,37.8,0.1,0.6,0.2,2020,EN
Sheffield Utd,19,319,92,28.8,8.39,2.42,0.05,0.17,17.7,5,3,4,32.6,29.5,0.09,-13.6,-13.5,2020,EN
Southampton,47,418,157,37.6,11.0,4.13,0.1,0.27,18.6,20,5,6,41.2,36.6,0.09,5.8,5.4,2020,EN
Tottenham,66,438,167,38.1,11.53,4.39,0.14,0.37,18.0,35,5,5,53.1,49.2,0.12,12.9,11.8,2020,EN
West Brom,33,335,106,31.6,8.82,2.79,0.09,0.27,18.4,16,4,4,35.8,32.7,0.1,-2.8,-3.7,2020,EN
West Ham,60,464,158,34.1,12.21,4.16,0.13,0.37,16.1,17,2,4,55.4,52.1,0.12,4.6,5.9,2020,EN
Wolves,34,459,149,32.5,12.08,3.92,0.07,0.2,18.5,18,4,4,36.5,33.4,0.08,-2.5,-3.4,2020,EN
Alavés,35,339,95,28.0,8.92,2.5,0.09,0.32,17.4,12,5,8,42.6,36.4,0.11,-7.6,-6.4,2020,SP
Athletic Club,43,399,128,32.1,10.5,3.37,0.1,0.3,17.4,15,4,5,43.1,39.2,0.1,-0.1,-0.2,2020,SP
Atlético Madrid,65,452,178,39.4,11.89,4.68,0.13,0.34,17.6,13,5,7,52.8,47.2,0.11,12.2,12.8,2020,SP
Barcelona,80,575,231,40.2,15.13,6.08,0.13,0.33,17.1,43,4,8,73.5,67.1,0.12,6.5,8.9,2020,SP
