Squad,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,season,country
Atlético Madrid,17765,15735,1914,511,62,123,574,835,183,60,92,0,13595,116,283,2019,SP
Barcelona,28227,26418,1726,573,86,183,417,638,185,92,27,2,24758,83,337,2019,SP
Betis,19823,17676,2063,699,30,205,624,799,185,67,41,2,16182,84,337,2019,SP
Celta Vigo,18557,16543,1944,593,38,138,636,749,176,61,78,2,14552,70,367,2019,SP
Eibar,15551,13381,2097,531,11,221,870,1015,189,69,101,1,10439,73,286,2019,SP
Espanyol,16363,14389,1909,543,19,146,710,800,156,59,64,6,11881,65,281,2019,SP
Getafe,13715,11368,2241,630,27,215,833,1094,185,41,69,2,8319,106,377,2019,SP
Granada,14105,12058,1977,582,16,133,670,825,163,64,57,0,9810,70,306,2019,SP
Leganés,14838,12774,1989,565,20,160,771,886,157,42,83,3,10336,75,296,2019,SP
Levante,16332,14321,1930,548,34,227,697,749,189,91,42,6,12415,81,335,2019,SP
Mallorca,15636,13615,1963,577,18,119,682,793,171,64,60,0,11782,58,325,2019,SP
Osasuna,15904,13788,2036,533,16,192,755,926,180,67,72,1,10959,80,316,2019,SP
Real Madrid,23733,21828,1821,534,59,445,776,786,192,51,68,0,20107,84,328,2019,SP
