Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Country
16347.85,14380.15,1913.85,572.1,26.8,131.3,712.85,730.05,182.0,68.0,86.75,1.05,12736.8,53.85,308.1,BR
16266.1,14420.5,1778.7,440.3,34.1,107.7,640.3,752.75,169.45,94.35,48.5,4.5,12093.6,66.9,337.9,EN
15990.25,13977.25,1937.9,553.8,28.35,158.7,729.1,795.6,164.85,62.95,67.1,1.9,11903.7,75.1,322.0,SP
14731.3,12936.6,1732.75,457.9,24.05,110.9,575.25,749.05,146.8,59.2,69.85,1.05,10869.55,61.95,328.75,GE
16123.65,14165.15,1897.85,558.05,22.65,118.35,648.85,734.45,164.1,57.25,69.3,0.65,12254.2,60.65,331.65,IT
