# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,Country
2.7,57.85,1.5215,187.75,130.05,72.485,7.45,10.65,19.9,8.15,21.450000000000003,BR
2.15,71.05,1.8689999999999998,198.0,128.7,66.54,6.9,8.6,22.5,5.75,15.140000000000004,EN
2.55,60.7,1.5975,175.3,114.35,68.665,7.15,11.6,19.25,7.45,19.61,SP
1.95,66.55,1.9579999999999997,178.15,112.75,65.255,6.6,9.25,18.15,5.25,15.445000000000002,GE
2.6,72.4,1.9055000000000004,201.65,130.7,67.065,6.15,10.25,21.6,5.2,13.689999999999998,IT
