Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Country
46.39,20460.6,2253.5,6576.1,9435.25,4689.4,605.35,20454.8,647.75,358.5,55.81999999999999,265.2,40.84499999999999,11424.6,62847.9,32764.65,609.4,482.3,108.45,556.55,322.25,12617.8,1322.05,BR
43.805,20629.85,2548.35,7309.7,8713.85,4821.5,707.2,20625.95,624.65,320.05,51.489999999999995,275.45,44.214999999999996,10776.75,57795.8,28861.9,564.65,401.2,143.05,573.4,338.65,11987.05,1146.8,EN
46.03,20086.1,2309.7,6966.6,8823.6,4510.65,620.85,20080.1,603.35,313.8,52.334999999999994,265.35,43.935,10579.85,56572.85,28183.15,549.25,410.0,117.45,582.1,315.85,11799.5,1143.0,SP
44.82000000000001,18689.25,2329.15,6931.3,8098.35,3862.7,592.6,18684.8,530.15,261.35,49.28500000000001,248.2,46.98,9685.25,50609.45,24962.9,460.25,325.15,106.3,549.8,295.75,10767.05,1037.95,GE
44.825,20239.2,2544.9,7227.15,8787.0,4445.8,650.75,20232.9,565.75,295.0,52.61500000000001,244.2,42.940000000000005,10747.9,57522.1,29090.45,560.5,410.25,116.3,574.15,323.65,12148.5,1161.9,IT
