Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Country
12736.8,16347.85,77.79999999999998,234359.95,88441.7,20.2,28.534999999999997,27.27,-8.335,344.85,1051.4,230.55,80.5,1336.4,5171.0,5991.75,86.32499999999999,4939.75,5969.25,82.7,1382.25,2627.0,52.45,BR
12093.6,16266.1,74.06,212794.95,82353.55,25.0,29.994999999999994,25.44,-4.995,301.75,914.6,240.15,65.5,1160.65,5742.5,6669.375,85.975,4928.25,5966.5,82.3875,1211.5,2659.5,45.599999999999994,EN
11903.7,15990.25,74.285,220097.85,86928.65,23.25,27.790000000000003,26.155,-4.54,294.55,907.3,223.5,88.4,1155.55,5419.75,6247.0,86.7,5082.75,6081.0,83.45,1417.75,2993.25,47.425000000000004,SP
10869.55,14731.3,73.47500000000001,203840.85,82744.05,24.15,25.695,27.179999999999996,-1.545,280.75,790.85,204.2,64.85,1048.3,4632.0,5502.5,84.1,4812.75,5835.5,82.2,1347.25,2695.75,49.95,GE
12254.2,16123.65,75.82500000000002,222716.9,87330.15,23.4,27.360000000000003,24.98,-3.960000000000001,306.35,900.65,244.75,84.45,1172.6,5585.0,6406.0,87.05000000000001,5174.25,6193.25,83.55000000000001,1235.75,2592.75,47.62500000000001,IT
