Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Country
32.9,463.2,134.9,29.154999999999994,12.189,3.5495000000000005,0.06200000000000001,0.2085,20.06,23.05,4.65,5.85,41.620000000000005,37.11,0.0825,-8.719999999999999,-8.86,BR
35.35,408.05,126.3,30.945,10.7385,3.3244999999999996,0.08000000000000002,0.252,17.615000000000002,14.7,3.0,3.8,41.58,38.589999999999996,0.09600000000000002,-6.23,-6.24,EN
35.5,407.8,130.2,31.915,10.732500000000002,3.4264999999999994,0.07900000000000001,0.2405,18.43,18.85,4.35,5.95,41.160000000000004,36.555,0.09300000000000001,-5.66,-5.404999999999999,SP
34.5,391.75,119.5,30.525000000000006,11.521999999999998,3.5149999999999997,0.08,0.26250000000000007,18.355,13.9,3.4,4.45,37.17,33.705,0.08900000000000001,-2.67,-2.6049999999999995,GE
35.85,420.3,126.25,30.05,11.0605,3.3225000000000002,0.07450000000000002,0.24200000000000005,18.509999999999998,19.65,5.2,6.45,40.62,35.65,0.08700000000000001,-4.77,-5.0,IT
