Rk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Squad
2.5,38.0,20.7,8.7,8.6,61.35,38.3,23.05,70.8,1.8550000000000004,58.39,41.265,17.119999999999997,0.45999999999999996,28001.8125,BR
2.5,38.0,23.95,7.5,6.55,79.95,37.7,42.25,79.35,2.09,72.49999999999999,37.955,34.515,0.9,41016.0,EN
2.5,38.0,23.65,8.35,6.0,69.3,33.65,35.65,79.3,2.08,63.185,37.80499999999999,25.38,0.6599999999999999,47000.25,SP
2.5,34.0,21.05,6.25,6.7,79.4,39.5,39.9,69.4,2.035,68.57,39.19,29.375,0.8750000000000002,36293.55,GE
2.5,38.0,23.7,7.95,6.35,75.55,37.4,38.15,79.05,2.0799999999999996,66.79499999999999,39.465,27.345000000000006,0.72,33821.0,IT
