# Pl,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Country
2.6,38.3,4.0,1.1,4.75,1.0,41.55,0.261,4.250000000000001,0.11150000000000002,BR
1.95,37.7,2.7,0.7,5.35,1.3,35.43000000000001,0.2725,-0.9700000000000001,-0.026500000000000003,EN
1.85,33.65,3.3,0.75,3.7,1.1,34.735,0.25000000000000006,2.1849999999999996,0.05800000000000001,SP
2.3,39.5,3.45,0.55,5.15,0.9,38.73,0.2895,0.12999999999999987,0.002,GE
2.6,37.4,4.2,0.75,4.5,1.2,36.325,0.24450000000000002,0.12499999999999996,0.0029999999999999944,IT
