Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Country
14164.71,17775.22,79.383,255684.2,92432.89,29.79,34.016999999999996,31.709,-4.227,371.66,1201.24,266.42,80.14,1493.54,BR
15200.95,19198.57,78.31600000000002,262487.43,92702.42,37.21,37.864000000000004,33.309,-0.654,360.28,1138.86,308.56,70.72,1440.88,EN
14103.56,18086.7,76.998,251863.79,93241.49,32.67,33.73499999999999,32.965999999999994,-1.0650000000000002,326.97,1085.76,278.01,82.28,1383.52,SP
13253.122222222222,17057.166666666668,76.89666666666668,240003.17777777778,90914.5,38.13333333333333,36.29666666666667,38.29,1.836666666666667,328.1333333333333,973.0222222222222,266.65555555555557,72.61111111111111,1284.5777777777778,GE
14866.71,18575.0,79.512,264408.4,95319.34,35.66,35.836000000000006,31.528000000000002,-0.17600000000000002,370.5,1113.62,300.65,83.35,1418.58,IT
