Cl,MP,V,E,D,GP,GC,GD,Pt,Pts/PPJ,xG,xGA,xGD,xGD/90,Público,Gols do artilheiro,Country
10.5,38.0,13.75,10.5,13.75,45.13,45.13,0.0,51.75,136.17,48.53500000000002,48.53499999999999,0.0009999999999999076,-0.01,28.325675,10.56,BR
10.5,38.0,14.68,8.64,14.68,54.59,54.59,0.0,52.58,138.37,52.965999999999994,52.96999999999999,-0.006000000000000014,-0.01,122.04604,13.47,EN
10.5,38.0,13.79,10.42,13.79,48.06,48.06,0.0,51.79,136.32,47.85100000000001,47.851000000000006,0.0010000000000000852,-0.05,32.33289285714285,12.47,SP
9.5,34.0,12.8,8.4,12.8,53.55555555555556,53.55555555555556,0.0,46.8,137.63333333333333,50.29111111111112,50.292222222222236,-0.0011111111111108901,-0.022222222222222223,101.85170000000001,13.166666666666666,GE
10.5,38.0,14.09,9.82,14.09,53.72,53.72,0.0,51.99,136.81,51.221000000000004,51.22999999999999,-0.0010000000000001564,0.06,47.144969999999994,13.28,IT
