# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,Country
2.5,45.13,1.1871,162.68,117.75,75.37200000000001,13.75,10.5,13.75,11.48,30.203999999999997,BR
2.0,54.59,1.4365999999999999,165.79,112.41,69.72,14.68,8.64,14.68,10.07,26.504999999999992,EN
2.2,48.06,1.2643,150.19,102.31,71.4,13.79,10.42,13.79,11.13,29.285999999999998,SP
2.0,53.55555555555556,1.5754444444444446,156.0888888888889,103.21111111111111,68.45111111111112,12.8,8.4,12.8,7.622222222222222,22.418888888888887,GE
2.48,53.69,1.4129999999999998,163.65,110.52,70.86099999999999,14.09,9.82,14.09,9.41,24.763,IT
