# Pl,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Country
2.5,45.13,4.84,0.95,5.52,1.11,48.045,0.268,4.0249999999999995,0.107,BR
2.0,54.59,4.28,0.87,6.91,1.98,50.178000000000004,0.28,-2.4320000000000004,-0.06499999999999999,EN
2.2,48.06,4.91,0.78,5.15,1.33,46.770999999999994,0.27799999999999997,0.04100000000000003,0.0010000000000000009,SP
2.0,53.55555555555556,4.2,0.9,5.955555555555556,1.4777777777777779,49.63111111111111,0.3033333333333333,-2.4466666666666663,-0.07777777777777779,GE
2.48,53.69,5.76,1.05,5.93,1.58,49.378,0.259,-2.7319999999999998,-0.07100000000000001,IT
