,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Augsburg,10545,14262,73.9,199672,80511,35,27.7,37.7,7.3,299,919,284,89,1137
1,Bayern Munich,19987,22946,87.1,340799,109694,71,65.9,72.8,5.1,506,1563,458,86,1941
2,Bochum,9786,14203,68.9,185281,85808,30,30.4,33.0,-0.4,371,902,265,85,1151
3,Darmstadt 98,11807,15336,77.0,223927,86971,21,22.8,28.9,-1.8,302,873,226,65,1083
4,Dortmund,17191,20445,84.1,300426,100507,49,45.6,48.0,3.4,389,1144,301,46,1452
5,Eint Frankfurt,15017,18809,79.8,260025,91225,36,34.1,38.5,1.9,292,1007,276,60,1305
6,Freiburg,12337,16023,77.0,223388,83596,32,32.4,34.7,-0.4,296,936,246,81,1208
7,Gladbach,13544,16946,79.9,232267,84618,43,35.5,37.3,7.5,374,801,261,83,1227
8,Heidenheim,10264,14339,71.6,206040,85936,34,27.5,30.0,6.5,279,730,201,73,983
9,Hoffenheim,13457,17038,79.0,240505,94518,47,39.9,42.6,7.1,346,1069,292,76,1359
10,Köln,11704,15411,75.9,209861,79468,17,27.2,30.9,-10.2,319,821,217,85,1086
11,Leverkusen,21192,24301,87.2,322890,106373,71,55.2,66.8,15.8,490,1716,457,72,1997
12,Mainz 05,10974,15120,72.6,201446,81453,31,32.0,35.2,-1.0,346,939,248,78,1169
13,RB Leipzig,16254,19590,83.0,282017,96743,53,47.7,52.2,5.3,404,1185,334,75,1541
14,Stuttgart,19201,22456,85.5,312129,108823,60,53.3,58.8,6.7,413,1338,356,80,1618
15,Union Berlin,11004,14784,74.4,204399,86273,23,25.0,28.4,-2.0,300,859,233,80,1146
16,Werder Bremen,12821,16418,78.1,237961,91530,33,35.6,38.2,-2.6,321,882,276,83,1172
17,Wolfsburg,13092,16624,78.8,232194,87396,27,28.5,38.6,-1.5,310,954,263,67,1235
