,Squad,# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%
0,Augsburg,2,60,1.8,183,123,71.0,10,9,15,3,8.8
1,Bayern Munich,3,45,1.3,124,78,66.1,23,3,8,11,32.4
2,Bochum,2,74,2.2,189,117,65.6,7,12,15,4,11.8
3,Darmstadt 98,2,86,2.5,215,130,60.5,3,8,23,3,8.8
4,Dortmund,2,43,1.3,145,103,73.8,18,9,7,10,29.4
5,Eint Frankfurt,2,50,1.5,146,94,71.9,11,14,9,7,20.6
6,Freiburg,1,58,1.7,158,99,65.2,11,9,14,10,29.4
7,Gladbach,2,67,2.0,207,140,70.5,7,13,14,4,11.8
8,Heidenheim,1,55,1.6,174,121,72.4,10,12,12,6,17.6
9,Hoffenheim,1,66,1.9,211,143,69.7,13,7,14,2,5.9
10,Köln,1,60,1.8,168,108,66.1,5,12,17,4,11.8
11,Leverkusen,2,24,0.7,105,81,77.1,28,6,0,16,47.1
12,Mainz 05,2,51,1.5,145,95,66.9,7,14,13,8,23.5
13,RB Leipzig,2,39,1.2,117,79,70.1,19,8,7,10,29.4
14,Stuttgart,2,39,1.2,129,93,72.1,23,4,7,12,35.3
15,Union Berlin,2,58,1.7,168,109,68.5,9,6,19,7,20.6
16,Werder Bremen,2,54,1.6,166,113,71.1,11,9,14,7,20.6
17,Wolfsburg,2,56,1.6,151,98,64.2,10,7,17,6,17.6
